analysis_sample,group,rows,n_generated,xsec_pb,weight_pb
VBF_HH4b_SMnorm,signal,694,10000,0.000587,5.8699999999999996e-08
Zbbbb_100k,background,3434,100000,6.912992,6.912992e-05
ggF_HH4b_SMnorm,signal,641,10000,0.01055,1.055e-06
qcd_bbbb_iht100to200_20000,background,319,20000,206.2399139404297,0.010311995697021485
qcd_bbbb_iht200to400_combined220k_bdtv2,background,15038,220000,126.37602476640181,0.0005744364762109174
qcd_bbbb_iht400to600_combined120k_bdtv2,background,17761,120000,9.782172997792562,8.151810831493802e-05
qcd_bbbb_iht600plus_20000,background,3635,20000,1.7876876592636108,8.938438296318055e-05
ttbar_200k,background,737,200000,512.2746276855469,0.0025613731384277346
