seed,qcd_auc,qcd_weighted_auc,top_auc,top_weighted_auc
10,0.8348982119954855,0.8299570781438446,0.7195927375355862,0.7224452993549325
11,0.8458373131277374,0.8454947958140782,0.7312337601882337,0.7472101473625543
12,0.8343681466194841,0.8495694853432432,0.7452775367568041,0.7515279874055704
13,0.8251011093344716,0.825516597461599,0.7438396880692896,0.7615130378095253
14,0.826662367103024,0.8252610806478058,0.7083832133403025,0.7181813308187491
15,0.828205092048886,0.8167168997350387,0.7521329630620985,0.7815911928022281
16,0.8374471847649434,0.8306880982630271,0.7674599006100763,0.774371538651313
17,0.8387485608319519,0.8443485184286712,0.7262296653776088,0.7452079818148377
18,0.8371785021561109,0.8299636371617986,0.7459413488845353,0.7498474353059803
19,0.8176736004894463,0.8325515854833748,0.7348134790938803,0.7632158739454699
20,0.8271921685834409,0.8260185589785737,0.7118669388974653,0.724105924108905
21,0.8440571903166469,0.8430111125394223,0.7400190340233168,0.7481312839355374
22,0.8265653354337626,0.8348495314672646,0.7406274429829034,0.7424022813781014
23,0.8264618433301878,0.8054903450677043,0.696541983689462,0.6898815285969867
24,0.8342616452332273,0.8229544460108793,0.7424861581511214,0.7549249778456459
25,0.8287042987414749,0.8373425612937235,0.7399195619365186,0.7447660201843135
26,0.836265128485696,0.8403328301897733,0.7215574880915964,0.7293835969707759
27,0.8260225993918727,0.8320776856572898,0.7419166933307079,0.7697362522933879
28,0.836968928243018,0.8416403477665862,0.7475631030234884,0.7624327195572684
29,0.8312380623115381,0.827041626707052,0.7606901663646846,0.7700771096857494
