transfer	distribution	predicted	target	predicted_over_target	shape_l1	development_nonzero_cells	closure_source_rows	closure_target_rows	closure_target_neff	fold3_ratio	fold4_ratio
2b_to_3b	yield	67577439.01410784	67215327.27968898	1.0053873387079122		35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	mbb1	67577439.01410758	67215327.2796889	1.0053873387079098	0.10490509427865222	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	mbb2	67577439.0141076	67215327.27968891	1.0053873387079098	0.0746106032649445	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	r_hh_125_125	67577439.01410754	67215327.27968892	1.0053873387079086	0.13743670091317453	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	mhh	67577439.01410745	67215327.2796889	1.0053873387079078	0.08136218801831496	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	ht_candidate_jets	67577439.01410756	67215327.2796889	1.0053873387079093	0.1455786937279496	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	h1_pt	67577439.01410761	67215327.2796889	1.0053873387079102	0.07123003969974233	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	h2_pt	67577439.01410764	67215327.27968891	1.0053873387079104	0.05838444532373291	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_3b	max_drbb	67577439.01410753	67215327.2796889	1.0053873387079089	0.024777537191826845	35	1908	211	117.67760026794073	0.8214011610094817	1.1507184531199295
2b_to_ge4	yield	1703663.5335896634	5788097.488114504	0.2943391221533552		35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	mbb1	1703663.5335896553	5788097.488114503	0.29433912215335384	0.3457953396288404	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	mbb2	1703663.5335896572	5788097.488114504	0.2943391221533541	0.3675650314365534	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	r_hh_125_125	1703663.5335896548	5788097.488114504	0.2943391221533537	0.48438246529213996	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	mhh	1703663.5335896614	5788097.488114504	0.29433912215335484	0.391349737040695	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	ht_candidate_jets	1703663.5335896555	5788097.488114504	0.29433912215335384	0.18543569857822784	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	h1_pt	1703663.5335896565	5788097.488114504	0.294339122153354	0.13362564136742658	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	h2_pt	1703663.53358966	5788097.488114504	0.2943391221533546	0.061181028198880084	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
2b_to_ge4	max_drbb	1703663.5335896602	5788097.488114504	0.2943391221533546	0.09497246135154537	35	1908	24	12.127765653460985	0.6509292889024947	0.2106241451444283
3b_to_ge4	yield	25614395.744263988	5788097.488114504	4.425356655941187		30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	mbb1	25614395.744263984	5788097.488114503	4.425356655941187	0.4955883284289969	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	mbb2	25614395.744263984	5788097.488114504	4.4253566559411865	0.4549921060341441	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	r_hh_125_125	25614395.744263984	5788097.488114504	4.4253566559411865	0.7191739747256936	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	mhh	25614395.74426399	5788097.488114504	4.425356655941188	0.6425821362225683	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	ht_candidate_jets	25614395.744263977	5788097.488114504	4.425356655941186	0.5047864299534143	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	h1_pt	25614395.744263988	5788097.488114504	4.425356655941187	0.33263073084473704	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	h2_pt	25614395.744263984	5788097.488114504	4.4253566559411865	0.1401659700625472	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
3b_to_ge4	max_drbb	25614395.744263984	5788097.488114504	4.4253566559411865	0.06954811744824257	30	211	24	12.127765653460985	0.9402067174125878	5.243548726789381
sequential_2b_3b_ge4	yield	1701985.181067308	5788097.488114504	0.2940491559726193		35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
