campaign	pthat_min_GeV	pthat_max_GeV	physical_sources	generated_events	broad_resolved_rows	2b_rows	3b_rows	ge4_rows	rhh34_rows	rhh34_yield	rhh34_sumw2	maximum_physical_weight	rhh34_neff	fraction_total_selected_qcd_yield	typical_selected_physical_weight
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	100	200	20	200000	29213	920	96	8	26	11799767.998661073	5355316884838.113	456781.996251528	25.999306449339063	0.254015794087135	453837.23071773356
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1000	Inf	1	10000	6139	311	37	8	3	123.50984192522954	5084.89368413173	41.169947308409846	2.9999999999999996	2.6588192732072078e-06	41.169947308409846
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	200	300	1	10000	3371	150	18	2	6	1091357.0594103558	198510038520.80313	181892.8432350593	6.0	0.023493845820543136	181892.8432350593
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	300	500	1	10000	4634	202	25	6	2	62242.885506045095	1937088398.0593193	31121.442753022548	2.0	0.0013399141398277253	31121.442753022548
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	51	510000	6677	158	13	0	5	9378163.021396462	17590499589341.31	1891436.8733218487	4.999854677759119	0.20188545463172983	1875632.6042792923
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	500	700	1	10000	5482	227	39	1	10	21179.93787775642	44858976.8505621	2117.993787775642	10.000000000000002	0.0004559444507167397	2117.993787775642
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	700	1000	1	10000	5992	275	42	1	7	2337.743378605159	780720.5863160378	333.963339800737	6.999999999999997	5.03250352681267e-05	333.96333980073695
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	75	100	36	360000	20437	559	57	1	17	11991276.102405265	8458400776579.677	711739.0203789892	16.99975046846388	0.25813842455344777	705369.1824944273
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	100	200	4	38521	5678	196	12	2	3	1363375.4392171775	619598845030.8057	455338.26534857607	2.999993630020751	0.0293496359310577	454458.47973905917
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	1000	Inf	1	10000	6067	252	43	6	6	244.80337167235922	9988.115130359207	40.8005619453932	6.0	5.269927583120145e-06	40.800561945393206
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	200	300	1	10000	3418	136	16	0	1	180943.73311182487	32740634552.443306	180943.73311182487	1.0	0.0038952093004460953	180943.73311182487
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	300	500	2	12855	5850	235	38	2	4	124709.10817087923	3888090415.1940145	31177.27704271981	4.0	0.002684636100092717	31177.27704271981
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	50	75	26	259163	3362	72	3	0	1	1883503.9704597625	3547587206737.69	1883503.9704597625	1.0	0.04054653928593317	1883503.9704597625
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	500	700	2	12526	6926	327	44	8	10	21012.929131213274	44154375.375074334	2102.479375670097	9.999987247529896	0.00045234922245653426	2101.2929131213273
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	700	1000	1	10000	5891	288	30	5	4	1329.3680389979631	441804.84577732254	332.3420097494908	4.0	2.861755231954068e-05	332.3420097494908
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	75	100	6	57388	3356	91	6	1	3	2112182.9754517027	1487185212730.1152	710871.7905898676	2.999839484416403	0.04546935463710575	704060.9918172342
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	100	200	4	31052	4596	168	15	0	4	1806157.662625411	815559888816.5432	454066.25925375125	3.9999582458552077	0.03888149097256971	451539.41565635276
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	200	300	2	14532	4843	225	20	2	2	364615.42836765567	66473253897.77989	183031.79840385017	1.9999684505916624	0.007849143947892906	182307.71418382783
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	50	75	19	190000	2437	61	7	1	0	0.0	0.0	0.0	0.0	0.0	0.0
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	500	700	1	2527	1372	70	5	2	3	6262.260300729109	13071968.024695944	2087.4201002430364	2.9999999999999996	0.00013480883888992943	2087.4201002430364
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	75	100	5	42809	2381	75	10	0	6	4242105.07765626	2999332538088.7163	713688.4407326546	5.999820047077668	0.0913205827457111	707017.51294271
