threshold	category	low	high	signal_yield	background_yield	background_sumw2	qcd_yield	qcd_sumw2	qcd_rows	qcd_neff
5	exact3tag	0.0	10.0	22.894743994438688	4259032.395523697	2420909847160.6763	3937487.986430553	2420873711603.1006	12	6.40422157049172
5	exact3tag	10.0	20.0	50.47255125170218	13314038.499783667	12170998032069.512	12598809.037275627	12170917337917.998	38	13.041744081460582
5	exact3tag	20.0	30.0	47.425752925327075	23574755.487066675	22576099577841.613	22801304.812874157	22576012702817.01	50	23.02884517356449
5	exact3tag	30.0	34.0	16.048130392109368	6035459.792268061	3264418656966.0107	5763860.691809857	3264387975983.067	17	10.177126713801846
5	ge4tag	0.0	34.0	47.88325924200976	1470056.80343963	744954190979.6766	1351428.4859905671	744941642544.7614	6	2.4516805725987
10	exact3tag	0.0	20.0	73.36729524614087	17573070.895307362	14591907879230.188	16536297.02370618	14591791049521.098	50	18.739928383583074
10	exact3tag	20.0	30.0	47.425752925327075	23574755.487066675	22576099577841.613	22801304.812874157	22576012702817.01	50	23.02884517356449
10	exact3tag	30.0	34.0	16.048130392109368	6035459.792268061	3264418656966.0107	5763860.691809857	3264387975983.067	17	10.177126713801846
10	ge4tag	0.0	34.0	47.88325924200976	1470056.80343963	744954190979.6766	1351428.4859905671	744941642544.7614	6	2.4516805725987
20	exact3tag	0.0	34.0	136.8411785635773	47183286.17464209	40432426114037.805	45101462.52839019	40432191728321.18	117	50.309959347935795
20	ge4tag	0.0	34.0	47.88325924200976	1470056.80343963	744954190979.6766	1351428.4859905671	744941642544.7614	6	2.4516805725987
