campaign	pthat_min_GeV	pthat_max_GeV	rhh_low	rhh_high	rows	yield	sumw2	neff
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	100	200	0	10	1	454432.7827424187	206509154031.0183	1.0
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1000	Inf	0	10	1	41.169947308409846	1694.9645613772432	1.0
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	200	300	10	20	1	181892.8432350593	33085006420.133854	1.0
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	500	700	10	20	1	2102.479375670097	4420419.525118121	1.0
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	75	100	20	30	1	710871.7905898676	505338702656.4446	1.0
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	500	700	20	30	1	2087.4201002430364	4357322.674898648	1.0
