sample,R05_n_events,R05_frac_ge4_jets,R05_frac_ge4_btags,R05_mean_njets,R05_mean_nbtags,R05_median_ht,R05_frac_any_fatjet,AK4AK8_n_events,AK4AK8_frac_ge4_jets,AK4AK8_frac_ge4_btags,AK4AK8_mean_njets,AK4AK8_mean_nbtags,AK4AK8_median_ht,AK4AK8_frac_any_fatjet,delta_frac_ge4_jets,delta_frac_ge4_btags,delta_median_ht
ggf_hh4b_smoke20,20,0.75,0.2,4.35,2.3,330.49432373046875,0.1,20,0.8,0.15,4.5,2.35,324.51312255859375,0.15,0.050000000000000044,-0.05000000000000002,-5.981201171875
vbf_hh4b_smoke1000,1000,0.789,0.105,4.677,2.162,323.26904296875,0.186,1000,0.773,0.111,4.701,2.162,311.5734558105469,0.181,-0.016000000000000014,0.006000000000000005,-11.695587158203125
ttbar_10k,10000,0.7922,0.005,4.8596,1.2914,311.7557678222656,0.1401,10000,0.7806,0.0081,4.8437,1.2935,299.9085998535156,0.1379,-0.011600000000000055,0.0030999999999999995,-11.84716796875
zbbbb_10k,10000,0.5668,0.0574,3.7377,1.9551,184.84910583496094,0.0342,10000,0.5156,0.0588,3.6198,1.9237,174.16189575195312,0.0338,-0.05120000000000002,0.0013999999999999985,-10.687210083007812
qcd_bbbb_10k,10000,0.6,0.0697,3.8042,2.0307,178.23388671875,0.0219,10000,0.5729,0.0687,3.7358,1.9931,168.20745849609375,0.0223,-0.027100000000000013,-0.0010000000000000009,-10.02642822265625
