sampling_mode	purpose	sample_group	process_family	selection_rank_within_group	available_file_count_in_group	selected_file_count_in_group	remote_path	remote_size_bytes	remote_adler32	identity_status	deterministic_rank_sha256	target_valid_events_per_file	physical_weight_status
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	SingleTop_ntuple	single_top	2	10	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleTop_ntuple/selected_ntuples_0002.root	1219133636	788fe387	complete	52604a94ae62b99c41267a1118c341dc038e143092a0d78ecc5f7fc2d5c50c5e	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	SingleTop_ntuple	single_top	3	10	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleTop_ntuple/selected_ntuples_0003.root	1218927758	75df9939	complete	6acedf076dc7af5413272c708f113bad4b848d1921f53ff306cbd491cde30b01	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	SingleTop_ntuple	single_top	4	10	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleTop_ntuple/selected_ntuples_0004.root	1219822143	dca061d0	complete	6b74df87833fe3da44eb1f945b306f31cff476c3c9e79ffe7eaad95a0a458c63	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbarW_ntuple	ttbar	1	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarW_ntuple/selected_ntuples_0000.root	1406280204	870b2921	complete	5bf14a81b6f8ffc68cda49caf5a474a4f943a21e30f97d3804202ac07ffeebfc	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbarW_ntuple	ttbar	2	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarW_ntuple/selected_ntuples_0001.root	599288170	bd9f58f6	complete	baaa3cb0c134e6c61874efe559ad34df50f348bbd5e439caf173a7f34566a129	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbarZ_ntuple	ttbar	1	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarZ_ntuple/selected_ntuples_0000.root	1499428790	b8756221	complete	3bf40ce1453fd864e6ea0d5c5cbb186362d37d81f2b1ce1a983d7fa9e372c5a1	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbarZ_ntuple	ttbar	2	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarZ_ntuple/selected_ntuples_0001.root	1043812732	fed4dc69	complete	f8f752bf0e2fff58c16ca8509cb921c61b8969301f4bef02dece9f5f32a080e8	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer2_ntuple	ttbar	1	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer2_ntuple/selected_ntuples_0002.root	1582446939	8f67b53e	complete	02ec3e5d8df66a6887301189ca9176648af8602f2abcccf3759b774ad94ea14d	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer2_ntuple	ttbar	2	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer2_ntuple/selected_ntuples_0050.root	1583347224	30e96bb4	complete	02f58fef2271a90468187fd4c895e2f95cf7e5517378642cb11b228e4581be09	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer2_ntuple	ttbar	3	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer2_ntuple/selected_ntuples_0011.root	1584699955	2fb2cbd7	complete	060d3d9caa186f17685a396686418911fb646ca1069ae79a3afdfdcd70f90d14	256	blocked_pending_author_clarification
