sample_group	process_family	root_file_count
QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	381
QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	176
SingleHiggs_ntuple	single_higgs	7
SingleTop_ntuple	single_top	10
TTbarW_ntuple	ttbar	2
TTbarZ_ntuple	ttbar	2
TTbar_forInfer2_ntuple	ttbar	60
TTbar_forInfer_ntuple	ttbar	60
TW_ntuple	single_top	3
VBFH_ntuple	single_higgs	1
WW_ntuple	ww	1
WminusH_ntuple	single_higgs	1
WplusH_ntuple	single_higgs	1
ZH_ntuple	other	1
ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	8
ZW_ntuple	other	1
ZZ_ntuple	zz	2
ttH_ntuple	ttH	1
