sampling_mode	sample_group	process_family	available_file_count	selected_file_count	selected_total_bytes	target_valid_events_per_file	target_valid_events_total
balanced_control_multifile_v1	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	381	4	3890234283	256	1024
balanced_control_multifile_v1	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	176	4	3889380872	256	1024
balanced_control_multifile_v1	SingleHiggs_ntuple	single_higgs	7	4	3063506019	256	1024
balanced_control_multifile_v1	SingleTop_ntuple	single_top	10	4	4877593712	256	1024
balanced_control_multifile_v1	TTbarW_ntuple	ttbar	2	2	2005568374	256	512
balanced_control_multifile_v1	TTbarZ_ntuple	ttbar	2	2	2543241522	256	512
balanced_control_multifile_v1	TTbar_forInfer2_ntuple	ttbar	60	4	6331855535	256	1024
balanced_control_multifile_v1	TTbar_forInfer_ntuple	ttbar	60	4	5421441667	256	1024
balanced_control_multifile_v1	TW_ntuple	single_top	3	3	3682240616	256	768
balanced_control_multifile_v1	VBFH_ntuple	single_higgs	1	1	685799527	256	256
balanced_control_multifile_v1	WW_ntuple	ww	1	1	476601734	256	256
balanced_control_multifile_v1	WminusH_ntuple	single_higgs	1	1	395004306	256	256
balanced_control_multifile_v1	WplusH_ntuple	single_higgs	1	1	369458509	256	256
balanced_control_multifile_v1	ZH_ntuple	other	1	1	293471345	256	256
balanced_control_multifile_v1	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	8	4	7029664731	256	1024
balanced_control_multifile_v1	ZW_ntuple	other	1	1	971051797	256	256
balanced_control_multifile_v1	ZZ_ntuple	zz	2	2	1812956845	256	512
balanced_control_multifile_v1	ttH_ntuple	ttH	1	1	1205040432	256	256
high_score_tail_stability_v1	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	381	8	7782130941	512	4096
high_score_tail_stability_v1	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	176	8	7754876584	512	4096
high_score_tail_stability_v1	TTbarW_ntuple	ttbar	2	2	2005568374	512	1024
high_score_tail_stability_v1	TTbarZ_ntuple	ttbar	2	2	2543241522	512	1024
high_score_tail_stability_v1	TTbar_forInfer2_ntuple	ttbar	60	8	12665308880	512	4096
high_score_tail_stability_v1	TTbar_forInfer_ntuple	ttbar	60	8	10847373917	512	4096
high_score_tail_stability_v1	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	8	8	14064846455	512	4096
high_score_tail_stability_v1	ZZ_ntuple	zz	2	2	1812956845	512	1024
