source_uid	group_id	source_group_oof_key	source_index	sample_class	process_or_mode	split	workflow_population	generated_events	candidate_rows_metadata	member_id	transport_id	access_mode	source_locator	archive_locator	root_locator	root_archive_member	root_basename	layout_rule	source_checksum_kind	source_checksum	source_size_bytes	source_locator_assigned	extraction_contract_status	classification_training_eligible	assignment_training_eligible_at_source_level	physical_evaluation_eligible	broad_object_selection	broad_event_ml_eligibility	pre_model_btag_requirement	pre_model_higgs_mass_requirement	validation_gradient_eligible	test_gradient_eligible	primary_registry_match_method
6b17060f283655da93e0921e::background::0::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	6b17060f283655da93e0921e	6b17060f283655da93e0921e	0	background	bbh_hbb_4fs	train	primary_physical_background	10000	344	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	8b59ca913149221d4434722d9d459ee5eaa3c175af7f69158dd5a1e4a8f4c297	856367444	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	2b75740d79c95d2ed01426b1	1	background	bbh_hbb_4fs	train	primary_physical_background	10000	334	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_delphes.root	bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	601ab5c7e9eab37ce985c38c14cf88cb5a3ab30f82ca7d05b55acec6b12c1035	871047263	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
44496f1095922dfadc459546::background::2::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	44496f1095922dfadc459546	44496f1095922dfadc459546	2	background	bbh_hbb_4fs	train	primary_physical_background	10000	334	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_delphes.root	bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	2b9e1aa5bcce9840dcd9f7b64aabe073df3897b13cb779975c322a04982aa7ca	862103436	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
b01df2690d845a4ec70c448d::background::5::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	b01df2690d845a4ec70c448d	b01df2690d845a4ec70c448d	5	background	ggh_hbb	train	primary_physical_background	10000	7	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9701_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9701_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	eb59e230e5556af7e43cefbd2eb82357f9acbf84c2cfe79548ca264b274f2025	775236693	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
6aeca1df086a5ba7b74a5ebf::background::6::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6aeca1df086a5ba7b74a5ebf	6aeca1df086a5ba7b74a5ebf	6	background	ggh_hbb	train	primary_physical_background	10000	1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9702_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9702_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	89896b7f49ae549477a7f085dfddd34f3cdc98f8852ec243bee3c429fbdaa2e9	774130291	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
db851bd542564798669015d6::background::7::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	db851bd542564798669015d6	db851bd542564798669015d6	7	background	ggh_hbb	train	primary_physical_background	10000	7	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9703_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9703_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	a81e56be20fd5fac83f4086ff0aefaac2bf993c729cba90d9c0d389824034067	774270506	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
7dcf83e3d7a9fbe6d951f885::background::8::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	7dcf83e3d7a9fbe6d951f885	7dcf83e3d7a9fbe6d951f885	8	background	ggh_hbb	train	primary_physical_background	10000	6	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9704_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9704_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	1d034de4737ab1d6dc2e7a7e86333ff732448addc735b07cda70869cf3bc6b00	771598994	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
d57b5a8ba73ef272a21399fc::background::9::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	d57b5a8ba73ef272a21399fc	d57b5a8ba73ef272a21399fc	9	background	ggh_hbb	train	primary_physical_background	10000	3	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9705_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9705_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	0b7c321a149b2781e6c7840d63c6c932abb022dc5cae3b23c0d40e75f94fce44	776857707	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
9524da743bed17f1a164de40::background::10::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	9524da743bed17f1a164de40	9524da743bed17f1a164de40	10	background	ggh_hbb	train	primary_physical_background	10000	6	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9706_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9706_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	b7fb793a256c7c1b8a00ca8c1db29b084d1beb3946aa76161b3c4ac788509fbb	777667205	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
5581eba7ecceab1d7eb22b19::background::11::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	5581eba7ecceab1d7eb22b19	5581eba7ecceab1d7eb22b19	11	background	ggh_hbb	train	primary_physical_background	10000	2	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	remote_bundle_extraction_required	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9707_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9707_10k_delphes.root	standard_bundle_root_target_tag	bundle_sha256	e7d1f42355106f23a244e42fd687b12797d0da15150f802e535e4c812723facb	784626037	True	authoritative_primary_contract_closed	True	False	True	Jet.PT>30_GeV_and_abs(Jet.Eta)<2.5	n_selected_AK4_jets>=4	none	none	False	False	candidate_path_exact
