workflow_population	access_mode	extraction_contract_status	source_members	generated_events
auxiliary_qcd_classification_only	remote_bundle_extraction_required	auxiliary_root_member_checksum_pending_representative_canary	23	230000
primary_physical_background	local_direct_root	authoritative_primary_contract_closed	22	220000
primary_physical_background	remote_bundle_extraction_required	authoritative_primary_contract_closed	332	3199873
primary_physical_signal	remote_bundle_extraction_required	authoritative_primary_contract_closed	87	150000
