artifact_type	original_path	size_bytes	sha256	copied_to_repository
events_tree	/tmp/iturkmen_track_b_zh_real_inference_eH7wst/zh_64_ensemble_events.root	139565	6168b549fe24e4b47f17a80c6dfe6eed2389fc1268d38dc2b3b0eb1767a73f11	false
score_archive	/tmp/iturkmen_track_b_zh_real_inference_eH7wst/zh_64_model_scores.npz	133886	d64aee9ce72d7d5cff1965914cddcad83db6dd5eabae68c0485b9151d305a595	false
inference_receipt	/tmp/iturkmen_track_b_zh_real_inference_eH7wst/zh_64_real_inference_receipt.json	26988	573ebc21384da52186b9a53378cc6567313a48c7c27ad90e42a9fd4385056f3a	true
