model,epsS,threshold,role,n_qcd_survive,n_ttbar_survive,n_bg_survive_total,raw_qcd_fraction_of_survivors,raw_ttbar_fraction_of_survivors,preselection_qcd_fraction,preselection_ttbar_fraction,n_flag,NOTE
K,0.6,0.6282615661621094,cross-check,24447,3907,28354,0.862206390632715,0.13779360936728505,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
K,0.5,0.694151759147644,PRIMARY,16254,2923,19177,0.8475778276059863,0.15242217239401365,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
K,0.4,0.7514441609382629,PRIMARY,10192,2100,12292,0.8291571753986332,0.17084282460136674,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
K,0.25,0.826501727104187,TAIL_DIAGNOSTIC,4225,1057,5282,0.7998864066641423,0.20011359333585763,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
K,0.2,0.849765419960022,TAIL_DIAGNOSTIC,2861,767,3628,0.7885887541345094,0.21141124586549062,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
K,0.1,0.8964833617210388,TAIL_DIAGNOSTIC,960,303,1263,0.7600950118764845,0.23990498812351543,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.6,0.9424631595611572,cross-check,1531,166,1697,0.9021803182086034,0.09781968179139658,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.5,0.9669214487075806,PRIMARY,824,93,917,0.8985823336968375,0.10141766630316248,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.4,0.9812032580375671,PRIMARY,398,43,441,0.9024943310657596,0.09750566893424037,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.25,0.9924408197402954,TAIL_DIAGNOSTIC,128,10,138,0.927536231884058,0.07246376811594203,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.2,0.9945337772369385,TAIL_DIAGNOSTIC,79,6,85,0.9294117647058824,0.07058823529411765,0.8443830392659769,0.1556169607340231,LIMITED,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
KF,0.1,0.9974531531333923,TAIL_DIAGNOSTIC,18,0,18,1.0,0.0,0.8443830392659769,0.1556169607340231,EXTREMELY_LIMITED,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.6,0.9543167352676392,cross-check,1352,168,1520,0.8894736842105263,0.11052631578947368,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.5,0.9752855896949768,PRIMARY,665,86,751,0.8854860186418109,0.11451398135818908,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.4,0.9867260456085205,PRIMARY,318,42,360,0.8833333333333333,0.11666666666666667,0.8443830392659769,0.1556169607340231,ok,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.25,0.9952768087387085,TAIL_DIAGNOSTIC,82,10,92,0.8913043478260869,0.10869565217391304,0.8443830392659769,0.1556169607340231,LIMITED,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.2,0.9968541264533997,TAIL_DIAGNOSTIC,44,6,50,0.88,0.12,0.8443830392659769,0.1556169607340231,LIMITED,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET2M,0.1,0.9989651441574097,TAIL_DIAGNOSTIC,10,1,11,0.9090909090909091,0.09090909090909091,0.8443830392659769,0.1556169607340231,EXTREMELY_LIMITED,"RAW DEVELOPMENT-COHORT FRACTIONS, NOT PHYSICALLY NORMALIZED BACKGROUND COMPOSITION"
SPANET10M_SUMMARY_ONLY,0.6,0.9514410495758057,cross-check,1401,155,1556,0.9003856041131105,0.09961439588688946,0.8443830392659769,0.1556169607340231,ok,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
SPANET10M_SUMMARY_ONLY,0.5,0.9733022451400757,PRIMARY,711,83,794,0.8954659949622166,0.10453400503778337,0.8443830392659769,0.1556169607340231,ok,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
SPANET10M_SUMMARY_ONLY,0.4,0.9854204654693604,PRIMARY,366,39,405,0.9037037037037037,0.0962962962962963,0.8443830392659769,0.1556169607340231,ok,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
SPANET10M_SUMMARY_ONLY,0.25,0.9947198629379272,TAIL_DIAGNOSTIC,99,10,109,0.908256880733945,0.09174311926605505,0.8443830392659769,0.1556169607340231,ok,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
SPANET10M_SUMMARY_ONLY,0.2,0.9964361786842346,TAIL_DIAGNOSTIC,47,3,50,0.94,0.06,0.8443830392659769,0.1556169607340231,LIMITED,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
SPANET10M_SUMMARY_ONLY,0.1,0.9986763000488281,TAIL_DIAGNOSTIC,7,0,7,1.0,0.0,0.8443830392659769,0.1556169607340231,EXTREMELY_LIMITED,"SUMMARY COUNTS ONLY (frozen phase4AI classification_evaluation_10M, checkpoint epoch=47) - event-level topology UNAVAILABLE for SPA-Net-10M in this phase; requires a separately governed frozen-checkpoint rescoring pass"
