label,n_selected_total,n_valid4,n_excluded_fewer_than_4_real_jets,n_flag,population_type,process,model,epsS,n_selected_jets_n,n_selected_jets_mean,n_selected_jets_median,n_selected_jets_std,n_selected_jets_min,n_selected_jets_max,HT_n,HT_mean,HT_median,HT_std,HT_min,HT_max,leading_jet_pt_n,leading_jet_pt_mean,leading_jet_pt_median,leading_jet_pt_std,leading_jet_pt_min,leading_jet_pt_max,probB_leading4_mean_n,probB_leading4_mean_mean,probB_leading4_mean_median,probB_leading4_mean_std,probB_leading4_mean_min,probB_leading4_mean_max,probC_leading4_mean_n,probC_leading4_mean_mean,probC_leading4_mean_median,probC_leading4_mean_std,probC_leading4_mean_min,probC_leading4_mean_max,probL_leading4_mean_n,probL_leading4_mean_mean,probL_leading4_mean_median,probL_leading4_mean_std,probL_leading4_mean_min,probL_leading4_mean_max,n_real_jet_slots_n,n_real_jet_slots_mean,n_real_jet_slots_median,n_real_jet_slots_std,n_real_jet_slots_min,n_real_jet_slots_max,m_bb1_n,m_bb1_mean,m_bb1_median,m_bb1_std,m_bb1_min,m_bb1_max,m_bb2_n,m_bb2_mean,m_bb2_median,m_bb2_std,m_bb2_min,m_bb2_max,R_HH_n,R_HH_mean,R_HH_median,R_HH_std,R_HH_min,R_HH_max,mass_asymmetry_n,mass_asymmetry_mean,mass_asymmetry_median,mass_asymmetry_std,mass_asymmetry_min,mass_asymmetry_max,deltaR_bb1_n,deltaR_bb1_mean,deltaR_bb1_median,deltaR_bb1_std,deltaR_bb1_min,deltaR_bb1_max,deltaR_bb2_n,deltaR_bb2_mean,deltaR_bb2_median,deltaR_bb2_std,deltaR_bb2_min,deltaR_bb2_max,deltaR_bb_max_n,deltaR_bb_max_mean,deltaR_bb_max_median,deltaR_bb_max_std,deltaR_bb_max_min,deltaR_bb_max_max,deltaR_bb_min_n,deltaR_bb_min_mean,deltaR_bb_min_median,deltaR_bb_min_std,deltaR_bb_min_min,deltaR_bb_min_max,pT_pair1_n,pT_pair1_mean,pT_pair1_median,pT_pair1_std,pT_pair1_min,pT_pair1_max,pT_pair2_n,pT_pair2_mean,pT_pair2_median,pT_pair2_std,pT_pair2_min,pT_pair2_max,m_HH_n,m_HH_mean,m_HH_median,m_HH_std,m_HH_min,m_HH_max
preselection_qcd,174485,174485,0,ok,preselection,qcd,,,174485,4.470664978027344,4.0,0.6818400025367737,4.0,10.0,174485,455.12359619140625,413.08905029296875,137.20401000976562,330.0021057128906,3153.735595703125,174485,177.92198181152344,160.68092346191406,70.88843536376953,75.042236328125,1530.569580078125,174485,0.38773131370544434,0.475947767496109,0.17746639251708984,0.019593732431530952,0.9990948438644409,174485,0.13807103037834167,0.07334083318710327,0.1454107165336609,0.00019638671074062586,0.9366445541381836,174485,0.4741976261138916,0.47469213604927063,0.1405484974384308,0.00027109854272566736,0.9400966167449951,174485,4.470664978027344,4.0,0.6818400025367737,4.0,10.0,174485,192.751491936944,177.44320678710938,107.04409914408258,24.404237747192383,1665.191650390625,174485,184.41887891276244,169.5485076904297,100.26503816185635,19.656423568725586,1510.9638671875,174485,136.95539820253146,107.022705078125,104.28616292614431,0.12051989138126373,1733.6748046875,174485,0.27685949597092696,0.23828656876624085,0.19924856342864344,1.6371203550639014e-06,0.9249827592033919,174485,1.9517093912417334,1.9774996042251587,0.8898827985820447,0.3785565197467804,5.547985553741455,174485,2.1426062966368686,2.2330474853515625,0.8903430706480226,0.38774073123931885,5.451235771179199,174485,2.4992919382748195,2.595430612564087,0.7602076411696284,0.43476831912994385,5.547985553741455,174485,1.5950237496037822,1.5317314863204956,0.7848928950461915,0.3785565197467804,3.7788093090057373,174485,177.01972026343975,167.36489868164062,79.73435597915513,3.861379623413086,1411.5899658203125,174485,133.38480318285153,126.25350952148438,71.17016997384059,0.5268341302871704,1293.966796875,174485,704.1927490234375,633.4247436523438,292.43304443359375,189.05349731445312,5199.630859375
preselection_ttbar,32157,24567,7590,ok,preselection,ttbar,,,32157,4.317007064819336,4.0,1.1780089139938354,2.0,11.0,32157,350.9919738769531,301.7115478515625,193.49563598632812,62.41437911987305,4412.7294921875,32157,130.8601531982422,109.87018585205078,80.95524597167969,32.25298309326172,2300.166259765625,24567,0.4523174464702606,0.49232572317123413,0.10619499534368515,0.022781819105148315,0.9924719333648682,24567,0.12515002489089966,0.0723220631480217,0.12180010229349136,0.0010503201046958566,0.716922402381897,24567,0.42253246903419495,0.4653871953487396,0.11409232020378113,0.0005091206403449178,0.9171696305274963,32157,4.316914081573486,4.0,1.1775192022323608,2.0,10.0,24567,142.1300532318139,124.63719940185547,79.74390092360109,25.600234985351562,1619.43212890625,24567,141.9965222109833,124.68353271484375,74.09836009786487,25.585716247558594,1159.4296875,24567,69.7492018527065,43.71531677246094,86.98865469420092,0.3108360767364502,1497.35205078125,24567,0.181913284824065,0.1417546777997589,0.15129865947781101,1.2558929453064918e-05,0.8684984791608684,24567,1.8285147146839562,1.8080968856811523,0.748611534571177,0.40093180537223816,4.69195556640625,24567,2.2379405776681485,2.362962007522583,0.795232828676628,0.40090835094451904,5.7205705642700195,24567,2.3921337105582796,2.513164758682251,0.7276945130265283,0.4321327209472656,5.7205705642700195,24567,1.6743215817938253,1.649838924407959,0.6996161946014571,0.40090835094451904,3.943502426147461,24567,151.64763159687257,128.46376037597656,101.42917581358424,4.848705291748047,2167.37939453125,24567,102.41241982534103,82.15540313720703,83.29221948263253,0.27960073947906494,1784.9393310546875,24567,469.40875244140625,395.8902587890625,259.6138610839844,130.44371032714844,4845.21875
preselection_combined_background,206642,199052,7590,ok,preselection,combined_background,,,206642,4.44675350189209,4.0,0.7820559144020081,2.0,11.0,206642,438.9189453125,403.355712890625,152.14031982421875,62.41437911987305,4412.7294921875,206642,170.59837341308594,154.54360961914062,74.525634765625,32.25298309326172,2300.166259765625,199052,0.39570245146751404,0.4793902635574341,0.17161129415035248,0.019593732431530952,0.9990948438644409,199052,0.1364763230085373,0.0731881633400917,0.1427714228630066,0.00019638671074062586,0.9366445541381836,199052,0.4678211510181427,0.4738363027572632,0.13860447704792023,0.00027109854272566736,0.9400966167449951,206642,4.4467387199401855,4.0,0.7819435596466064,2.0,10.0,199052,186.50379342264156,167.8287353515625,105.38648466767481,24.404237747192383,1665.191650390625,199052,179.18311118828538,161.92153930664062,98.41073657952187,19.656423568725586,1510.9638671875,199052,128.66080871975234,98.42304611206055,104.67046705237208,0.12051989138126373,1733.6748046875,199052,0.26514123356087854,0.2226648523429749,0.19647072640856583,1.6371203550639014e-06,0.9249827592033919,199052,1.9365047029241333,1.951450765132904,0.8746228056394598,0.3785565197467804,5.547985553741455,199052,2.154372454636263,2.2504007816314697,0.8797203615552289,0.38774073123931885,5.7205705642700195,199052,2.4860664686472234,2.585410714149475,0.7570913765654614,0.4321327209472656,5.7205705642700195,199052,1.6048106889131728,1.5491822957992554,0.7753147220132169,0.3785565197467804,3.943502426147461,199052,173.88829680488843,163.95116424560547,83.14019118085432,3.861379623413086,2167.37939453125,199052,129.56219129277275,122.39201736450195,73.48515395656932,0.27960073947906494,1784.9393310546875,199052,675.2156372070312,607.7926025390625,298.7384948730469,130.44371032714844,5199.630859375
K_epsS0.5_qcd,16254,16254,0,ok,model_survivors,qcd,K,0.5,16254,4.559554576873779,4.0,0.7251842617988586,4.0,10.0,16254,565.1383056640625,516.6285400390625,195.52261352539062,330.0350646972656,3054.8037109375,16254,211.34078979492188,188.4364013671875,92.94771575927734,78.79254913330078,1530.569580078125,16254,0.4145911931991577,0.4908129572868347,0.1671825349330902,0.020602036267518997,0.9989214539527893,16254,0.1324743628501892,0.06355299055576324,0.14773254096508026,0.00023601220163982362,0.8908708095550537,16254,0.4529344439506531,0.4730674922466278,0.13096770644187927,0.0005860102828592062,0.9192245006561279,16254,4.559554576873779,4.0,0.7251842617988586,4.0,10.0,16254,164.64444984092444,145.07929229736328,93.73918894332775,38.46833038330078,1665.191650390625,16254,165.0066511903549,147.095947265625,93.15998341442891,32.51523208618164,1115.613525390625,16254,106.14347899224143,75.33495712280273,96.80699577918402,0.5022118091583252,1560.73486328125,16254,0.2345579042277219,0.20248406242026104,0.168631862293329,3.7741420169007615e-05,0.7960017251899011,16254,1.3310382263593983,1.2210407257080078,0.662897552547459,0.3975178897380829,4.744482517242432,16254,1.5545667644736365,1.4841481447219849,0.7415340385599747,0.40078204870224,5.444069862365723,16254,1.7843970071844792,1.7305700182914734,0.6788387988987512,0.43748536705970764,5.444069862365723,16254,1.1012079836485555,0.9594055414199829,0.5657673226353196,0.3975178897380829,3.2422966957092285,16254,250.61352275455513,235.58248138427734,100.95078407881454,18.60504722595215,1277.1788330078125,16254,200.9833704545751,189.21102905273438,91.9019430366542,4.84337043762207,1221.7196044921875,16254,613.4292602539062,550.9284057617188,241.8750457763672,251.06349182128906,4199.86962890625
K_epsS0.5_ttbar,2923,2923,0,ok,model_survivors,ttbar,K,0.5,2923,5.211426734924316,5.0,0.9620472192764282,4.0,10.0,2923,597.6587524414062,534.4058837890625,236.65708923339844,327.48284912109375,2636.28515625,2923,204.8740234375,174.76063537597656,109.61759185791016,76.56639862060547,1363.51806640625,2923,0.46774277091026306,0.49827107787132263,0.10081660002470016,0.024766061455011368,0.9798135757446289,2923,0.1332709789276123,0.07371465861797333,0.12923292815685272,0.001535218907520175,0.6985663771629333,2923,0.39898625016212463,0.45776939392089844,0.11924570798873901,0.0010342977475374937,0.882290244102478,2923,5.211426734924316,5.0,0.9620472192764282,4.0,10.0,2923,150.176558691306,127.3573989868164,89.7617186192657,45.62654113769531,1038.0133056640625,2923,160.32001761855062,134.93792724609375,91.50191857537033,37.012298583984375,1073.15673828125,2923,89.07996421426361,53.87905502319336,101.86211240279555,1.2351502180099487,948.8211669921875,2923,0.21090697272564768,0.17594522777951113,0.1610579571832048,3.2647204766064274e-05,0.8460455945864004,2923,1.178253934750849,1.04500412940979,0.5726701162468605,0.402047336101532,3.896144390106201,2923,1.5506915833050365,1.4270960092544556,0.7382124360655532,0.40090835094451904,4.21056604385376,2923,1.697736309400944,1.5946450233459473,0.6994971311268068,0.4321327209472656,4.21056604385376,2923,1.0312092086549414,0.9234299063682556,0.4804561784026179,0.40090835094451904,3.1413214206695557,2923,258.561297275414,233.17788696289062,119.89900607711543,26.833229064941406,1291.0184326171875,2923,196.05290344440076,178.86175537109375,101.91764484495995,0.27960073947906494,1083.8218994140625,2923,600.1841430664062,528.7152709960938,260.8467712402344,287.402099609375,2677.44140625
K_epsS0.5_combined_background,19177,19177,0,ok,model_survivors,combined_background,K,0.5,19177,4.658914089202881,4.0,0.8010643720626831,4.0,10.0,19177,570.0951538085938,518.8355102539062,202.67066955566406,327.48284912109375,3054.8037109375,19177,210.35511779785156,186.46786499023438,95.70459747314453,76.56639862060547,1530.569580078125,19177,0.4226926565170288,0.4925667345523834,0.16001246869564056,0.020602036267518997,0.9989214539527893,19177,0.13259579241275787,0.06491396576166153,0.1450655460357666,0.00023601220163982362,0.8908708095550537,19177,0.4447115957736969,0.47157052159309387,0.1306961327791214,0.0005860102828592062,0.9192245006561279,19177,4.658914089202881,4.0,0.8010643720626831,4.0,10.0,19177,162.43922244193948,140.7136993408203,93.28895553147521,38.46833038330078,1665.191650390625,19177,164.29230432012577,144.56263732910156,92.92443847114723,32.51523208618164,1115.613525390625,19177,103.54262100110469,72.35520935058594,97.78694520147599,0.5022118091583252,1560.73486328125,19177,0.23095297786903374,0.19763880722926624,0.16771513104561755,3.2647204766064274e-05,0.8460455945864004,19177,1.3077505127247429,1.1850351095199585,0.6522702661133813,0.3975178897380829,4.744482517242432,19177,1.553976100941498,1.4758306741714478,0.7410300234534941,0.40078204870224,5.444069862365723,19177,1.7711879953671317,1.7144176959991455,0.682738915357897,0.4321327209472656,5.444069862365723,19177,1.090538618299109,0.9521062970161438,0.554185259697359,0.3975178897380829,3.2422966957092285,19177,251.82493981272222,235.2396697998047,104.10122027811957,18.60504722595215,1291.0184326171875,19177,200.2318579619673,187.79232788085938,93.51468101830753,0.27960073947906494,1221.7196044921875,19177,611.4104614257812,547.9849243164062,244.9080047607422,251.06349182128906,4199.86962890625
K_epsS0.4_qcd,10192,10192,0,ok,model_survivors,qcd,K,0.4,10192,4.550431728363037,4.0,0.7148403525352478,4.0,9.0,10192,587.7105712890625,540.975830078125,199.09103393554688,330.27056884765625,3054.8037109375,10192,218.75961303710938,196.30316162109375,93.81964874267578,80.4723129272461,1530.569580078125,10192,0.4182812571525574,0.49212977290153503,0.16578900814056396,0.020602036267518997,0.9989214539527893,10192,0.13106247782707214,0.06149013340473175,0.14831295609474182,0.00023601220163982362,0.8908708095550537,10192,0.45065629482269287,0.47353512048721313,0.13004270195960999,0.0005860102828592062,0.9192245006561279,10192,4.550431728363037,4.0,0.7148403525352478,4.0,9.0,10192,162.6260490241567,142.59990692138672,91.60886966867123,38.46833038330078,1381.7232666015625,10192,164.52812649915506,145.82005310058594,93.05977290208209,34.122596740722656,1115.613525390625,10192,104.79871978062195,74.55064392089844,95.11954060475553,1.6131540536880493,1318.0482177734375,10192,0.23440193879594232,0.20367132599511956,0.16728315420118303,3.7741420169007615e-05,0.7960017251899011,10192,1.248247401926263,1.1348101496696472,0.6182995669609028,0.40031716227531433,4.5302019119262695,10192,1.4746240273942612,1.3880526423454285,0.7147779878583898,0.4011881351470947,5.444069862365723,10192,1.6901428815141157,1.63078773021698,0.6563047712472924,0.43748536705970764,5.444069862365723,10192,1.0327285478064085,0.8960061967372894,0.5215288667618815,0.40031716227531433,3.2422966957092285,10192,264.84037610369165,249.34744262695312,102.1440530019131,19.640193939208984,1277.1788330078125,10192,214.52746290950984,202.3139877319336,93.42714016862773,4.84337043762207,1221.7196044921875,10192,628.4701538085938,570.95849609375,237.78160095214844,251.06349182128906,3412.88037109375
K_epsS0.4_ttbar,2100,2100,0,ok,model_survivors,ttbar,K,0.4,2100,5.190000057220459,5.0,0.9494835734367371,4.0,10.0,2100,618.712646484375,552.0078125,242.1072540283203,328.7209777832031,2636.28515625,2100,212.39842224121094,181.53140258789062,111.40839385986328,77.27967071533203,1363.51806640625,2100,0.4679281413555145,0.4980865716934204,0.09954293072223663,0.03288605809211731,0.9798135757446289,2100,0.13342250883579254,0.07265297323465347,0.1306404024362564,0.001535218907520175,0.6720594763755798,2100,0.3986493647098541,0.45812225341796875,0.11978637427091599,0.0010342977475374937,0.8754456639289856,2100,5.190000057220459,5.0,0.9494835734367371,4.0,10.0,2100,148.72168247767857,127.01805877685547,86.77303374518382,45.62654113769531,1038.0133056640625,2100,161.082232170105,135.37598419189453,91.6942276436773,41.8333740234375,854.5787963867188,2100,88.15896343168758,53.146474838256836,100.15005564165165,1.2351502180099487,937.5267333984375,2100,0.208780305156243,0.1725280756193086,0.161394850236308,3.2647204766064274e-05,0.7432618267339831,2100,1.1213996547176723,0.9882034659385681,0.5451741205220938,0.402047336101532,3.896144390106201,2100,1.4913322756403968,1.3648322820663452,0.7236424088420806,0.40090835094451904,4.21056604385376,2100,1.6286536444510733,1.503795564174652,0.688773987560155,0.4321327209472656,4.21056604385376,2100,0.9840782859069961,0.8711377084255219,0.4551372619469385,0.40090835094451904,3.1413214206695557,2100,270.4752479843866,245.47792053222656,121.34905956584643,43.90999221801758,1291.0184326171875,2100,207.09496046230907,189.71282958984375,104.05856239765679,0.27960073947906494,1083.8218994140625,2100,614.0707397460938,542.9951782226562,256.883544921875,295.98663330078125,2677.44140625
K_epsS0.4_combined_background,12292,12292,0,ok,model_survivors,combined_background,K,0.4,12292,4.659697532653809,4.0,0.7972819209098816,4.0,10.0,12292,593.0070190429688,543.0399169921875,207.40240478515625,328.7209777832031,3054.8037109375,12292,217.6728515625,193.84695434570312,97.08013153076172,77.27967071533203,1530.569580078125,12292,0.42676305770874023,0.49359676241874695,0.15758240222930908,0.020602036267518997,0.9989214539527893,12292,0.13146567344665527,0.06305937469005585,0.14544861018657684,0.00023601220163982362,0.8908708095550537,12292,0.4417712688446045,0.47170042991638184,0.12983253598213196,0.0005860102828592062,0.9192245006561279,12292,4.659697532653809,4.0,0.7972819209098816,4.0,10.0,12292,160.25058776906366,138.3645477294922,90.95162490514701,38.46833038330078,1381.7232666015625,12292,163.9394201787023,143.37353515625,92.8369616567109,34.122596740722656,1115.613525390625,12292,101.95593680529147,71.25872802734375,96.20170916833014,1.2351502180099487,1318.0482177734375,12292,0.23002466653403472,0.19747900719661726,0.1665713191044392,3.2647204766064274e-05,0.7960017251899011,12292,1.2265763744988272,1.1092824935913086,0.6083078286368866,0.40031716227531433,4.5302019119262695,12292,1.4774785117187719,1.3832914233207703,0.7163277837746622,0.40090835094451904,5.444069862365723,12292,1.6796378865716823,1.6135295033454895,0.6623691359333523,0.4321327209472656,5.444069862365723,12292,1.0244169996459167,0.8917899429798126,0.5111259843230647,0.40031716227531433,3.2422966957092285,12292,265.80305353205637,248.7362518310547,105.6938724727828,19.640193939208984,1291.0184326171875,12292,213.2576731975735,200.7476577758789,95.36849367572337,0.27960073947906494,1221.7196044921875,12292,626.0101318359375,566.2969970703125,241.21310424804688,251.06349182128906,3412.88037109375
KF_epsS0.5_qcd,824,824,0,ok,model_survivors,qcd,KF,0.5,824,4.61771821975708,4.0,0.7589124441146851,4.0,8.0,824,525.6976928710938,472.9375915527344,182.6424560546875,330.1241760253906,1670.15478515625,824,195.18045043945312,172.74082946777344,86.94668579101562,80.7197036743164,823.5829467773438,824,0.7596285939216614,0.7484097480773926,0.13453179597854614,0.32107964158058167,0.9989214539527893,824,0.07930362224578857,0.042676083743572235,0.08673068135976791,0.0002253935526823625,0.4986375570297241,824,0.16106773912906647,0.2166704386472702,0.12892724573612213,0.0004209495091345161,0.4903827905654907,824,4.61771821975708,4.0,0.7589124441146851,4.0,8.0,824,163.6873908598446,141.81780242919922,96.92351094508716,43.027244567871094,1141.6678466796875,824,166.40600513254554,153.64146423339844,87.12425724393889,34.88820266723633,665.533203125,824,108.03895245246517,79.3475456237793,92.32312494765749,7.056375026702881,1124.9783935546875,824,0.24845634947194908,0.21814387748033834,0.1767772135100958,0.0007124437017838934,0.7923680451721885,824,1.4616910268019125,1.3590106964111328,0.7504393442521262,0.4028782248497009,4.074068546295166,824,1.756367920635684,1.7410336136817932,0.8270615348765624,0.4142799973487854,4.102952003479004,824,1.9994458447309953,2.0313920974731445,0.7373210423954112,0.4523957371711731,4.102952003479004,824,1.2186131027066014,1.0321584343910217,0.6649173051485229,0.4028782248497009,3.3368120193481445,824,223.3238083158882,209.30370330810547,97.79087285291678,26.041746139526367,708.7770385742188,824,174.1890498498111,161.89580535888672,91.36711387329915,1.9709064960479736,700.0580444335938,824,593.4104614257812,526.0860595703125,232.71322631835938,266.0173034667969,2810.924560546875
