campaign,shard,tag,run_name,seed,events_per_shard,root_file,event_parquet,candidate_parquet,root_kept,hepmc_deleted,lhe_deleted,status
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,000,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard000,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_000,852000,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard000_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard000_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard000_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,001,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard001,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_001,852001,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard001_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard001_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard001_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,002,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard002,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_002,852002,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard002_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard002_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard002_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,003,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard003,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_003,852003,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard003_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard003_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard003_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,004,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard004,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_004,852004,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard004_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard004_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard004_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,005,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard005,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_005,852005,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard005_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard005_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard005_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,006,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard006,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_006,852006,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard006_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard006_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard006_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,007,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard007,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_007,852007,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard007_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard007_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard007_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,008,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard008,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_008,852008,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard008_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard008_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard008_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,009,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard009,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_009,852009,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard009_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard009_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard009_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,010,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard010,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_010,852010,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard010_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard010_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard010_hh4b_candidates.parquet,yes,yes,yes,done
qcd_bbbb_iht200to400_extra200k_rootkeep_v1,011,qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard011,run_qcd_bbbb_iht200to400_extra200k_rootkeep_v1_011,852011,10000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard011_pythia8_delphes.root,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard011_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_extra200k_rootkeep_v1_shard011_hh4b_candidates.parquet,yes,yes,yes,done
