checkpoint_relative_path	bytes	sha256
README.md	1284	036fedf4b12be98262aef587fc65163cc1508e526dcb20c5b22287b0deda4bf1
category_canary_acceptance_summary.tsv	611	374014767dd9f25823e6ff5f8490473ce995e5e56e0f5ffeb79d38db18dfd811
evidence/diagnostic/DIAGNOSTIC_SHA256SUMS	804	ab6b47272e3f36220fd45a93322ff7caa44b4be6acff0bc42e87621c0d93bd06
evidence/diagnostic/diagnostic_fold_category_class_support.tsv	1366	f09f2845f44aa699b15c81765c52ce12d76eaef08bad9bf89006d07c5ff1b6a8
evidence/diagnostic/diagnostic_inner_crossfit_results.tsv	13449	c497b5b3dc2e1c8c45fbf356c889828f224ff60cf98d8c62cf1b2abe8152b719
evidence/diagnostic/diagnostic_outer_category_evaluation.json	4760	56c5b5bd385a7276e6ef318195c4b8912ea185b4d5561718ea228ec72a22cd7f
evidence/diagnostic/diagnostic_pooled_inner_oof_metrics.tsv	1504	1fded652d2b0deb1b5c76b11fc4149cd34f516ac45f0130c2c9870fe26ce4921
evidence/diagnostic/diagnostic_source_category_sample_manifest.tsv	404712	b2318b78dd4350a8a3d835e6831addcb28eaa64fc8ba003af51519d4f5af712e
evidence/diagnostic/multivariate_cut_category_conditional_diagnostic_summary.json	8207	37bf0c9aae38def1c21346c2606396f621ee292d0f176734831f806c85588e4b
evidence/diagnostic/multivariate_cut_category_conditional_diagnostic_v2.log	9149	18ce6461cf996ec3dfa484cd993b146a431b146ba5ea5282b00be22c50df7ca0
evidence/execution/hh4b_multivariate_cut_category_conditional_diagnostic_v2.sh	61210	2d720b8587fc11edb02557e4c18de5ab2040ed1eb04c241fe55c934b797b7f7b
multivariate_cut_canary_acceptance_repair.json	3275	732d18f57de9c9f046f2f5caf8a22f23f6cc632b2882fff85ad01531c369e622
