category_id	target_category_conditional_signal_efficiency	open_control_signal_efficiency	maximum_pooled_inner_oof_signal_efficiency	minimum_pooled_inner_oof_signal_efficiency	target_minus_maximum_pooled_oof	canary_absolute_oof_tolerance	passes_repaired_canary_acceptance	diagnostic_family_not_physics_result
exact3tag	0.585957	1.0	0.5859409522899954	0.5849038144743506	1.6047710004518656e-05	0.001	True	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt
ge4tag	0.585957	1.0	0.5852521138723843	0.5784655593774727	0.0007048861276156559	0.001	True	ge4tag::symmetric_rectangular_mass__category__plus_h2_pt
