qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,mode
0.5,0.5,71.24469510729614,784437.1907037086,9.082268912235463e-05,0.0804402560621664,0.0009082268912235463,98,1329,57.52856585036235,187.7677470690706,lbn_p4_only
0.5,0.525,69.86552656817433,778166.3154480259,8.978225500283902e-05,0.07920028107432102,0.0008978225500283901,96,1305,56.40805284171753,184.97448733778052,lbn_p4_only
0.5,0.55,68.40767987454605,769417.3016462855,8.890842424283598e-05,0.07798730040047708,0.0008890842424283598,93,1282,55.16460942992386,181.15059028070985,lbn_p4_only
0.5,0.575,68.32900172003961,761306.748543119,8.975226063711897e-05,0.07831144470287306,0.0008975226063711897,92,1259,55.041805302456055,177.62887200363366,lbn_p4_only
0.5,0.6,64.42753056619347,739468.6306416723,8.712679334387264e-05,0.07492238745059301,0.0008712679334387263,89,1230,52.04903448722862,178.29499717842006,lbn_p4_only
0.5,0.625,61.82654979696268,726806.7297126097,8.506601173245854e-05,0.07252129349650253,0.0008506601173245854,87,1202,50.05438761583372,173.27563992260534,lbn_p4_only
0.5,0.65,60.36870310333443,709948.14794034,8.503255241734567e-05,0.07164708585142499,0.0008503255241734566,84,1171,48.810590767804335,166.50950538816264,lbn_p4_only
0.5,0.675,55.16674156487291,700739.3598121302,7.872647767304414e-05,0.06590207316998126,0.0007872647767304412,80,1150,44.822256893873046,162.54892049425104,lbn_p4_only
0.5,0.7,53.8662511802575,669980.6301229941,8.039971419825796e-05,0.0658090510478937,0.0008039971419825796,79,1120,43.825545941278186,160.42882040087653,lbn_p4_only
0.5,0.725,51.107914102013865,659720.245536291,7.74690703336956e-05,0.06292283045268533,0.000774690703336956,75,1095,41.5844375245982,155.92864409505955,lbn_p4_only
0.5,0.75,49.72874556289205,643634.6977400018,7.72623752844663e-05,0.06198516759762696,0.0007726237528446629,73,1059,40.46388350074007,149.5188331762357,lbn_p4_only
0.5,0.775,48.34957702377021,609556.1081504748,7.931932167897274e-05,0.06192782616070661,0.0007931932167897273,71,1022,39.343329613924126,145.96505216216008,lbn_p4_only
0.5,0.8,41.76844694618687,563400.015342187,7.413639653669225e-05,0.055646762219596406,0.0007413639653669225,65,986,34.23817162461398,148.32406953503593,lbn_p4_only
0.5,0.825,40.31060025255859,545648.9825029387,7.38764325512904e-05,0.054571085206913145,0.0007387643255129039,62,944,32.99295252878465,139.89507457032207,lbn_p4_only
0.5,0.85,38.93143171343677,524892.156425326,7.417034382561852e-05,0.05373599981212961,0.0007417034382561853,60,900,31.872459006062908,130.92344226253695,lbn_p4_only
0.5,0.875,33.57211386596235,494441.2149853812,6.789910073931631e-05,0.0477442807194409,0.000678991007393163,54,840,27.64072416921318,119.02127288073335,lbn_p4_only
0.5,0.9,33.41475755694948,453457.9203231769,7.368877256159727e-05,0.0496214920152041,0.0007368877256159727,52,776,27.390537299691175,112.07072869205862,lbn_p4_only
0.5,0.925,30.577742324199413,408347.9504035166,7.488158638725492e-05,0.04785091277475028,0.0007488158638725491,47,709,25.024838491682157,103.42540803818967,lbn_p4_only
0.5,0.95,26.518914861340384,358648.13005379564,7.394131640213114e-05,0.044281412290074346,0.0007394131640213114,42,610,21.788315018590627,84.11377188801535,lbn_p4_only
0.525,0.5,71.0086606437768,759287.177059077,9.352016310720854e-05,0.08149074502930027,0.0009352016310720854,95,1258,57.160042704506466,176.77604558786646,lbn_p4_only
0.525,0.525,69.629492104655,753505.5442330365,9.240740514461391e-05,0.08021396815348653,0.0009240740514461391,93,1239,56.03958400452513,174.27791604606716,lbn_p4_only
0.525,0.55,68.17164541102674,744963.2995219979,9.151007231466134e-05,0.07898349322087818,0.0009151007231466133,90,1218,54.796581198610106,170.64315520994137,lbn_p4_only
0.525,0.575,68.09296725652031,736852.7464188315,9.241054958057504e-05,0.0793253334486981,0.0009241054958057503,89,1195,54.67416127831325,167.20996921830752,lbn_p4_only
0.525,0.6,64.19149610267415,715859.8583066607,8.96704785969096e-05,0.07586884853072734,0.0008967047859690958,86,1168,51.680397423145855,167.92577237307526,lbn_p4_only
0.525,0.625,61.59051533344338,704771.1922622425,8.739079577833509e-05,0.07336514259092916,0.0008739079577833509,84,1143,49.68501532901518,163.68614299563953,lbn_p4_only
0.525,0.65,60.211346794321564,688654.455733898,8.743332202817801e-05,0.07255672314829427,0.00087433322028178,82,1113,48.564517062496726,157.37639000353383,lbn_p4_only
0.525,0.675,55.00938525586001,681032.742638889,8.077348093824059e-05,0.06665807926567148,0.0008077348093824059,78,1095,44.575049407843345,154.17063458765082,lbn_p4_only
0.525,0.7,53.70889487124463,650495.0246104955,8.256618857831316e-05,0.06659233245856448,0.0008256618857831315,77,1067,43.578018869748576,151.90774536052334,lbn_p4_only
0.525,0.725,50.950557793000996,640338.0245691435,7.956822153000125e-05,0.06367138501360431,0.0007956822153000124,73,1043,41.33691045476986,147.55772132908294,lbn_p4_only
0.525,0.75,49.571389253879154,625083.8664135741,7.930358135508371e-05,0.06269919218442553,0.000793035813550837,71,1009,40.216356431870615,141.63062118147766,lbn_p4_only
