category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,mode,fraction_of_category_background
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,106,78635.59585604796,106.0,0.9334376,0.9645823,lbn_p4_only,0.39596176284460255
CAT0_high_purity_diagnostic,qcd_bbbb_iht100to200_20000,4,55337.831114296605,4.0,0.93404514,0.9624787,lbn_p4_only,0.27864817353359606
CAT0_high_purity_diagnostic,ttbar_200k,13,46205.99254257011,13.000000000000007,0.92563695,0.96886355,lbn_p4_only,0.23266570389615054
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,101,10441.839080446582,100.99999999999997,0.92710483,0.96235824,lbn_p4_only,0.05257884758960973
CAT0_high_purity_diagnostic,Zbbbb_100k,47,4208.586649347863,46.99999999999998,0.9328671,0.95799655,lbn_p4_only,0.021191921681507436
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,32,3764.0676925379903,32.0,0.93478,0.9729587,lbn_p4_only,0.018953590454533667
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,61,45252.559879423825,61.00000000000001,0.9223649,0.70077,lbn_p4_only,0.7488376674573891
CAT1_tight,ttbar_200k,2,7108.614237318478,2.0,0.88410026,0.75887513,lbn_p4_only,0.1176330823827802
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,52,5375.996358249726,52.00000000000001,0.9262142,0.6766387,lbn_p4_only,0.08896178655744151
CAT1_tight,qcd_bbbb_iht600plus_20000,13,1529.1525000935585,12.999999999999996,0.9323663,0.71346515,lbn_p4_only,0.025304358348075737
CAT1_tight,Zbbbb_100k,13,1164.07715833026,13.000000000000002,0.91510236,0.69797015,lbn_p4_only,0.019263105254313333
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,58,43027.02414764888,58.0,0.82646596,0.8880694,lbn_p4_only,0.5798046886958933
CAT2_medium_tight,ttbar_200k,7,24880.149830614675,7.000000000000001,0.8240803,0.87230235,lbn_p4_only,0.335269003911231
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,38,3928.6127233363377,37.99999999999998,0.8239296,0.89342767,lbn_p4_only,0.05293947518295238
CAT2_medium_tight,Zbbbb_100k,16,1432.7103487141662,16.0,0.82014656,0.90427953,lbn_p4_only,0.019306289342182946
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,8,941.0169231344976,8.0,0.8180056,0.8023603,lbn_p4_only,0.01268054286774044
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,103,76410.06012427302,103.00000000000004,0.7518545,0.8869427,lbn_p4_only,0.488892761973823
CAT3_medium,ttbar_200k,10,35543.071186592395,10.000000000000002,0.7608972,0.895446,lbn_p4_only,0.22741442963379277
CAT3_medium,qcd_bbbb_iht100to200_20000,2,27668.915557148302,2.0,0.7401594,0.63495064,lbn_p4_only,0.17703339750753028
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,106,10958.761807201363,105.99999999999994,0.7482491,0.89384115,lbn_p4_only,0.07011719816765283
CAT3_medium,qcd_bbbb_iht600plus_20000,28,3293.5592309707417,28.000000000000007,0.74723876,0.8763972,lbn_p4_only,0.02107310564256654
CAT3_medium,Zbbbb_100k,27,2417.6987134551555,26.999999999999986,0.7524523,0.9024947,lbn_p4_only,0.015469107074634633
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,196,145401.66780929622,196.0,0.60128886,0.8569539,lbn_p4_only,0.49303525930581876
CAT4_loose,qcd_bbbb_iht100to200_20000,7,96841.20445001905,7.000000000000002,0.6070161,0.8873757,lbn_p4_only,0.3283740074434711
CAT4_loose,ttbar_200k,7,24880.149830614675,7.000000000000001,0.6219797,0.87064654,lbn_p4_only,0.08436485845123473
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,179,18505.833617821172,178.9999999999999,0.5992372,0.8595333,lbn_p4_only,0.06275050770668984
CAT4_loose,Zbbbb_100k,59,5283.119410883488,59.000000000000036,0.5999197,0.82742625,lbn_p4_only,0.017914265963612352
