mode,category,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,neff_signal,neff_background
lbn_p4_only,CAT0_high_purity_diagnostic,25,303,14.185076163750415,198593.9129352471,7.142754757229421e-05,0.0318308844128293,0.0007142754757229419,11.83235596460024,39.83656317641625
lbn_p4_only,CAT1_tight,17,141,15.999275387916807,60430.400133415846,0.0002647554103993063,0.06508375159300081,0.0026475541039930627,12.593408067391357,61.19382864710366
lbn_p4_only,CAT2_medium_tight,18,127,12.412516852096402,74209.51397344851,0.00016726314710183236,0.04556486181407965,0.0016726314710183235,10.085007801121435,45.514246115372764
lbn_p4_only,CAT3_medium,15,276,10.954670158468144,156292.06661964097,7.009101866397285e-05,0.027709637141883636,0.0007009101866397285,8.84108744569304,43.04075519949702
lbn_p4_only,CAT4_loose,23,482,17.69315654506438,294911.2970419562,5.999484157620189e-05,0.03258064032372718,0.0005999484157620188,14.198156941148302,56.51614867751163
lbn_p4_plus_topology,CAT0_high_purity_diagnostic,58,348,42.43951209475075,166778.06170192786,0.00025446699440961407,0.10392042670698426,0.0025446699440961405,34.24384494732465,120.53707952517391
lbn_p4_plus_topology,CAT1_tight,16,53,9.811536082865633,29313.450672691542,0.0003347110578150417,0.05730645357275572,0.0033471105781504172,8.093246100150479,17.25982438629151
lbn_p4_plus_topology,CAT2_medium_tight,15,91,8.51104569825025,70184.23930119038,0.00012126719307629364,0.03212647851805223,0.0012126719307629364,7.099413578760144,11.168914170773808
lbn_p4_plus_topology,CAT3_medium,14,141,9.654179773852759,84488.97531835845,0.00011426555639330875,0.03321355481396584,0.0011426555639330873,7.843894956427784,24.706901882965337
lbn_p4_plus_topology,CAT4_loose,16,250,12.255160543083527,152033.0822301782,8.060851206403356e-05,0.0314304033776822,0.0008060851206403356,9.83890205521088,43.049990790198834
lbn_p4_plus_topology_btag,CAT0_high_purity_diagnostic,69,342,43.30497179432155,219508.92108674103,0.00019728114729883431,0.0924297274653962,0.001972811472988343,35.60864057479851,72.48753336938324
lbn_p4_plus_topology_btag,CAT1_tight,10,40,6.8958426956091134,28724.508083217264,0.00024006826072116847,0.04068750375903704,0.0024006826072116845,5.602782111734132,13.73359421794849
lbn_p4_plus_topology_btag,CAT2_medium_tight,4,52,3.9801493083525923,43508.387208933535,9.148004703643329e-05,0.019081515818721598,0.0009148004703643329,3.1184131309119616,7.832599259975818
lbn_p4_plus_topology_btag,CAT3_medium,8,102,5.51667415648729,44806.41230011013,0.00012312242541395643,0.02606197042368837,0.0012312242541395644,4.482225689387304,40.53822596974718
lbn_p4_plus_topology_btag,CAT4_loose,16,223,8.589723852756686,90626.30027458908,9.478179983879556e-05,0.02853330487136939,0.0009478179983879556,7.2268931762598605,92.51260543250628
lbn_p4_plus_massaware_btag,CAT0_high_purity_diagnostic,88,432,60.6834157213602,323608.28874515445,0.00018752120335566912,0.10667439777098249,0.001875212033556691,49.304482583260345,63.67200469778081
lbn_p4_plus_massaware_btag,CAT1_tight,3,42,1.4578466936282601,26757.275997758945,5.448412214122103e-05,0.00891232277909734,0.0005448412214122102,1.2475037806325369,14.744557855058172
lbn_p4_plus_massaware_btag,CAT2_medium_tight,7,93,4.216183771871906,63514.10410991579,6.638185062920028e-05,0.01672955711815645,0.0006638185062920028,3.48649665909034,15.784445683474802
lbn_p4_plus_massaware_btag,CAT3_medium,13,119,7.131877159128427,84869.9065034377,8.403305073559315e-05,0.024480878153225163,0.0008403305073559314,5.97981195015035,23.950965915046687
lbn_p4_plus_massaware_btag,CAT4_loose,25,213,19.072325084186204,125789.98952670145,0.0001516203726222405,0.05377502241781789,0.0015162037262224047,15.318555091176389,48.21665677845571
