seed,threshold,unweighted_auc,physics_weighted_auc,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows
10,0.84,0.7889254652541019,0.7858112477872791,55.90596322338665,108960.0707841455,0.0005130867006698144,0.16936530405621877,0.005130867006698144,89,105
10,0.85,0.7889254652541019,0.7858112477872791,48.677904759514604,97419.73207460521,0.0004996719219288806,0.15595827078631536,0.004996719219288806,79,94
10,0.86,0.7889254652541019,0.7858112477872791,41.1505481731936,73806.44077009456,0.0005575468447445752,0.15147065159123643,0.005575468447445752,65,71
10,0.87,0.7889254652541019,0.7858112477872791,35.21845234087147,49353.96390565532,0.0007135891335535847,0.15852919255146886,0.007135891335535846,55,47
10,0.885,0.7889254652541019,0.7858112477872791,21.983473514065082,23305.182636763337,0.0009432869013172508,0.144002509045059,0.009432869013172506,34,24
10,0.91,0.7889254652541019,0.7858112477872791,5.707622240485383,2764.220371128158,0.002064821712516335,0.10855976385841741,0.020648217125163352,7,4
11,0.84,0.7900968491352283,0.8008189686460058,60.50952302390483,132261.82670383438,0.00045749801384038053,0.16638205011919177,0.004574980138403805,94,120
11,0.85,0.7900968491352283,0.8008189686460058,56.089614538794855,116131.06179573119,0.00048298546204161743,0.16459182359326377,0.004829854620416174,86,102
11,0.86,0.7900968491352283,0.8008189686460058,47.63012972625125,97068.19277852602,0.0004906873030481335,0.15287740153210008,0.004906873030481335,75,89
11,0.87,0.7900968491352283,0.8008189686460058,41.78762936712812,73709.99389964691,0.0005669194522525702,0.1539162757857196,0.005669194522525702,65,67
11,0.885,0.7900968491352283,0.8008189686460058,29.874429354276064,44674.666242724015,0.0006687107451897661,0.14134126048545403,0.006687107451897661,42,42
11,0.91,0.7900968491352283,0.8008189686460058,12.575127571512503,9688.143830327213,0.0012979914204151305,0.12775917852917254,0.012979914204151306,15,10
12,0.84,0.794156278396587,0.8067173094160861,56.58567363281251,82919.43293040595,0.0006824175182228358,0.19650713719219273,0.0068241751822283574,82,96
12,0.85,0.794156278396587,0.8067173094160861,51.5428294921875,67274.45337675775,0.0007661575368517929,0.19872072686588665,0.007661575368517928,69,79
12,0.86,0.794156278396587,0.8067173094160861,43.90192300781249,57142.53336017426,0.0007682880059078748,0.18365544065775266,0.007682880059078747,58,63
12,0.87,0.794156278396587,0.8067173094160861,33.51973535156249,45485.19161334126,0.0007369373231733471,0.157168521159485,0.007369373231733472,47,48
12,0.885,0.794156278396587,0.8067173094160861,17.010500625,22113.4891339419,0.0007692363933148231,0.11439010511951872,0.00769236393314823,27,30
12,0.91,0.794156278396587,0.8067173094160861,6.1270470703125,2757.1947787952945,0.002222203203572582,0.11668566162167672,0.02222203203572582,9,4
13,0.84,0.7919615912381749,0.7989655997312071,63.52118709843129,105287.67422027171,0.0006033107632859189,0.19576265188534367,0.006033107632859188,94,112
13,0.85,0.7919615912381749,0.7989655997312071,58.83505612682281,92462.60216789412,0.0006363119223055154,0.19348759046257077,0.006363119223055152,84,94
13,0.86,0.7919615912381749,0.7989655997312071,54.2967639455369,78991.27694490062,0.0006873767084865705,0.1931898829710175,0.006873767084865704,76,78
13,0.87,0.7919615912381749,0.7989655997312071,45.66369595393283,58408.89552747451,0.000781793518633706,0.18894332889426096,0.00781793518633706,66,59
13,0.885,0.7919615912381749,0.7989655997312071,29.861044434379146,37208.96375672593,0.0008025228713600344,0.15480365344941807,0.008025228713600344,48,31
13,0.91,0.7919615912381749,0.7989655997312071,7.3174223182722065,114.93168683800586,0.06366757958217373,0.6825559081752717,0.6366757958217372,10,1
14,0.84,0.7742752733176433,0.7724547478202684,61.581609625570294,123463.07337325715,0.0004987856526088168,0.17525987374693464,0.0049878565260881675,87,109
14,0.85,0.7742752733176433,0.7724547478202684,55.33107806998998,105762.81943866445,0.000523161904756883,0.17013850885483792,0.00523161904756883,77,94
14,0.86,0.7742752733176433,0.7724547478202684,50.465543647490826,81500.42852434624,0.0006192058687447943,0.1767726245659177,0.006192058687447943,67,69
14,0.87,0.7742752733176433,0.7724547478202684,38.177643443307,70749.65449921135,0.0005396159700501797,0.14353141154775143,0.005396159700501797,50,58
14,0.885,0.7742752733176433,0.7724547478202684,24.646854710693223,41374.52823435436,0.0005957011659707166,0.12116996364062671,0.0059570116597071655,35,33
14,0.91,0.7742752733176433,0.7724547478202684,13.459734430288195,13674.824913404775,0.0009842710612765699,0.11510007424932682,0.009842710612765699,14,8
15,0.84,0.7715507796491153,0.7694521485222653,63.58020305402122,127338.95039511139,0.0004992989407933906,0.17817274774864278,0.004992989407933906,77,112
15,0.85,0.7715507796491153,0.7694521485222653,56.33670013091031,102822.15167396462,0.0005479043106347988,0.1756904119428997,0.005479043106347988,68,90
15,0.86,0.7715507796491153,0.7694521485222653,47.85147092962882,96079.35266761816,0.0004980411462093073,0.15437616859345124,0.004980411462093073,60,83
15,0.87,0.7715507796491153,0.7694521485222653,41.99753307501105,76917.99920587431,0.0005460039718740325,0.1514292569745592,0.005460039718740325,52,66
15,0.885,0.7715507796491153,0.7694521485222653,31.5313836439461,43795.82996846641,0.0007199631486981551,0.15066995138747785,0.00719963148698155,35,39
15,0.91,0.7715507796491153,0.7694521485222653,8.559148596442776,6771.917647533652,0.001263917998110925,0.10400991279464611,0.012639179981109248,9,7
16,0.84,0.7863913609333687,0.7983242942806189,55.72040275605727,106135.73587450746,0.0005249919105657291,0.17103438455583844,0.005249919105657291,84,108
16,0.85,0.7863913609333687,0.7983242942806189,51.46947179405286,81204.27210074254,0.0006338271431113809,0.18061768535964667,0.006338271431113808,78,90
16,0.86,0.7863913609333687,0.7983242942806189,45.64879709471366,59086.123789861915,0.0007725806698212644,0.18779610814915432,0.007725806698212642,68,67
16,0.87,0.7863913609333687,0.7983242942806189,39.980889145374455,44035.89440191448,0.000907915910154337,0.1905237133723839,0.00907915910154337,60,51
16,0.885,0.7863913609333687,0.7983242942806189,29.75651673403084,18450.21783373287,0.0016128002933182967,0.21906921033494356,0.016128002933182967,42,23
16,0.91,0.7863913609333687,0.7983242942806189,7.008501561674009,658.2163701524438,0.010647716889889613,0.27317492646847014,0.10647716889889614,9,1
17,0.84,0.7892412021492843,0.7977054103751302,59.10575543372785,123090.34066382283,0.0004801819144781965,0.16846814179793018,0.004801819144781965,83,104
17,0.85,0.7892412021492843,0.7977054103751302,54.786441464566636,99518.56250531113,0.0005505147993033237,0.1736684969342719,0.005505147993033237,77,86
17,0.86,0.7892412021492843,0.7977054103751302,43.418533257185906,75608.18337612465,0.0005742570621118308,0.15790313280450263,0.005742570621118308,63,64
17,0.87,0.7892412021492843,0.7977054103751302,37.584316776446364,46945.823125541436,0.0008005891530741564,0.17346353027920883,0.008005891530741565,54,40
17,0.885,0.7892412021492843,0.7977054103751302,20.231929711276923,18905.09715604251,0.001070183852761123,0.14714579330448618,0.010701838527611229,29,20
17,0.91,0.7892412021492843,0.7977054103751302,5.759085292214953,3352.1229014597293,0.0017180412119457429,0.09947032660615869,0.01718041211945743,8,2
18,0.84,0.7858609229494626,0.7805345647258854,53.691373982796904,100254.7073636189,0.0005355496554197792,0.16957121464299707,0.005355496554197791,83,84
18,0.85,0.7858609229494626,0.7805345647258854,50.5329191736959,71649.1519995901,0.0007052828646734716,0.18878559795476255,0.007052828646734716,77,62
18,0.86,0.7858609229494626,0.7805345647258854,42.92434309211987,54847.02220400303,0.0007826193905744444,0.18328508731362522,0.007826193905744443,66,51
18,0.87,0.7858609229494626,0.7805345647258854,30.93753597336293,43906.973684937555,0.0007046155400133205,0.14764507650630498,0.007046155400133205,51,37
18,0.885,0.7858609229494626,0.7805345647258854,21.174610604883465,18958.601110087973,0.0011168867619466049,0.15378440192024853,0.011168867619466049,29,17
18,0.91,0.7858609229494626,0.7805345647258854,8.900242544950055,1465.497068074222,0.006073190277102138,0.2324927235159016,0.060731902771021376,10,2
19,0.84,0.7727152173185475,0.7901258608067724,64.82657668126872,111798.6917595321,0.0005798509415539876,0.1938807662620391,0.005798509415539875,90,90
19,0.85,0.7727152173185475,0.7901258608067724,60.323933638682504,93979.35950085404,0.0006418849198278938,0.19677658221284589,0.0064188491982789374,84,73
19,0.86,0.7727152173185475,0.7901258608067724,55.53259752523013,71323.62696212529,0.0007786003024596519,0.2079367625734187,0.007786003024596518,74,54
19,0.87,0.7727152173185475,0.7901258608067724,46.599484707774224,52555.53342127188,0.0008866713298149697,0.2032693461261056,0.008866713298149696,63,38
19,0.885,0.7727152173185475,0.7901258608067724,35.588104734390605,31148.56700292431,0.0011425278322129394,0.20164424156109778,0.011425278322129393,42,21
19,0.91,0.7727152173185475,0.7901258608067724,16.076651549850283,8602.31141476545,0.0018688757910176896,0.17333569996438186,0.018688757910176896,16,6
20,0.84,0.7687441943878399,0.7633849105246602,59.60813581710136,131393.19740941728,0.0004536622670910747,0.1644444040758423,0.004536622670910747,87,135
20,0.85,0.7687441943878399,0.7633849105246602,54.22716441729944,111537.48603737573,0.00048617882959212615,0.16237025382902628,0.004861788295921261,81,116
20,0.86,0.7687441943878399,0.7633849105246602,45.99902347144272,99737.14444800958,0.0004612025311735372,0.14565323908701905,0.0046120253117353715,70,102
20,0.87,0.7687441943878399,0.7633849105246602,38.52856095245956,87255.58139208959,0.0004415598445138832,0.1304326085896917,0.004415598445138832,53,87
20,0.885,0.7687441943878399,0.7633849105246602,25.154474376031693,55900.59583272828,0.00044998580071134827,0.10639152359831922,0.004499858007113482,39,49
20,0.91,0.7687441943878399,0.7633849105246602,9.92592244965335,6817.090316073785,0.001456035051530615,0.1202185135720364,0.014560350515306146,17,5
21,0.84,0.7983505273121887,0.8110020185293954,67.61304773763202,105374.0687970969,0.0006416478789276359,0.2082877064751652,0.0064164787892763584,98,101
21,0.85,0.7983505273121887,0.8110020185293954,53.857679241245144,73825.21998894992,0.0007295295462621921,0.19821899076425611,0.00729529546262192,79,75
21,0.86,0.7983505273121887,0.8110020185293954,49.2250025569761,56746.5944197781,0.0008674529821620367,0.20664069121299125,0.008674529821620366,72,56
21,0.87,0.7983505273121887,0.8110020185293954,43.07187723735409,33336.76981679232,0.0012920231166385538,0.23590222777176015,0.012920231166385536,63,35
21,0.885,0.7983505273121887,0.8110020185293954,23.377375755975535,17093.27417902711,0.0013676359199022744,0.1788064282874772,0.013676359199022742,38,17
21,0.91,0.7983505273121887,0.8110020185293954,7.530912398554752,113.5236416700058,0.0663378331400419,0.7068128536519394,0.6633783314004189,9,1
22,0.84,0.7761201239961933,0.7818295493182478,58.47797335572689,135333.72479900494,0.0004321020014972414,0.15896052758629087,0.004321020014972414,87,124
22,0.85,0.7761201239961933,0.7818295493182478,55.33848588105727,105961.1065455933,0.0005222528122358371,0.17000199962428478,0.0052225281223583706,79,102
22,0.86,0.7761201239961933,0.7818295493182478,49.670577931718064,87880.93575879488,0.0005652031069405992,0.16755287216440728,0.0056520310694059914,71,83
22,0.87,0.7761201239961933,0.7818295493182478,44.002669982378855,63750.97523954861,0.0006902274014952061,0.17427520925475448,0.00690227401495206,63,63
22,0.885,0.7761201239961933,0.7818295493182478,27.228096259361234,42435.917276493776,0.0006416285544614232,0.1321753533894668,0.006416285544614232,42,37
22,0.91,0.7761201239961933,0.7818295493182478,5.7442913243392075,10348.150952895487,0.0005551031629212863,0.05646834761954699,0.005551031629212863,9,6
23,0.84,0.7701378570431745,0.7394687928655161,48.571213712524305,152799.06632155043,0.0003178763776626162,0.12425635385610675,0.003178763776626162,78,123
23,0.85,0.7701378570431745,0.7394687928655161,44.0453808342813,122430.19670207059,0.0003597591282276882,0.12587981494821784,0.0035975912822768814,68,96
23,0.86,0.7701378570431745,0.7394687928655161,39.750623712340825,97190.34077115133,0.0004089976781328445,0.12750652062808313,0.004089976781328445,61,79
23,0.87,0.7701378570431745,0.7394687928655161,33.74185495871711,68657.16267526364,0.0004914542582878087,0.1287733602186071,0.004914542582878086,48,58
23,0.885,0.7701378570431745,0.7394687928655161,27.964161961395913,40884.97526896128,0.0006839716002622978,0.13829928635654645,0.006839716002622977,38,32
23,0.91,0.7701378570431745,0.7394687928655161,10.785133473633998,5141.772488662242,0.0020975516706380013,0.15040736263785368,0.02097551670638001,10,3
24,0.84,0.7883940800595101,0.7819320366033964,55.5120676898386,104394.3138051677,0.0005317537485177729,0.17181021530178006,0.0053175374851777285,87,107
24,0.85,0.7883940800595101,0.7819320366033964,46.36835572450477,89621.92280225444,0.0005173773812777243,0.15488685695984103,0.005173773812777243,79,88
24,0.86,0.7883940800595101,0.7819320366033964,39.26143553374908,70382.74703022238,0.0005578275527792372,0.14799023786179624,0.005578275527792373,66,71
24,0.87,0.7883940800595101,0.7819320366033964,33.29143715700659,57678.505604853075,0.000577189662039466,0.13861988804446768,0.00577189662039466,52,56
24,0.885,0.7883940800595101,0.7819320366033964,26.18451696625092,20956.514853282828,0.0012494690624643215,0.18087770416749174,0.012494690624643213,39,26
24,0.91,0.7883940800595101,0.7819320366033964,8.480893858217168,2109.0166976200676,0.0040212549610382335,0.18467224074395824,0.04021254961038233,15,5
25,0.84,0.7855281362619403,0.7902627191117648,57.14699819643251,149186.09563768716,0.00038305847439844206,0.1479548645552959,0.00383058474398442,89,126
25,0.85,0.7855281362619403,0.7902627191117648,50.08991426392864,129018.56753073499,0.0003882380282357123,0.13945181801727624,0.0038823802823571224,79,106
