feature,importance_top
n_extra_selected_jets,0.084746544771351
r_hh_125_120,0.08451500633040387
n_selected_jets,0.06600416588508234
avg_mbb,0.06255499209075648
hh_pt,0.044974746874612996
ht_over_mhh,0.04086032242994718
j1_mass,0.03713540763591866
j3_mass,0.03674764927872054
mbb1,0.0324528880816952
hh_eta,0.03067031146776906
h_delta_phi,0.030062739914358625
mbb2,0.02888009765462577
ht_selected_jets,0.026564439344777663
j1_eta,0.025609060838875517
pt_asym_12,0.02322018323839785
h_pt_balance,0.021931278887000433
r_hh,0.020500476545439
h_delta_r,0.02042606038478177
h1_pt,0.019347611140236226
drbb2,0.018405331062682644
h1_eta,0.01745280423663363
j2_mass,0.017417355881804805
h_delta_eta,0.0168051361202692
delta_mbb,0.0153522960657057
j2_pt,0.013619095001407743
j4_mass,0.013006361764866721
j4_eta,0.012875609524982406
r_hh_125_125,0.012862359224930522
j2_eta,0.012501058163304489
j1_pt,0.012066238247132254
mhh,0.011844528535535928
ht_selected_bjets,0.011675773905270092
avg_drbb,0.011651047698619807
max_drbb,0.010691446260388864
min_drbb,0.007879065803899618
pt_asym_34,0.007586885078235356
j4_pt,0.007423391386134344
drbb1,0.006993666962083134
h2_eta,0.0062200802151016485
j3_eta,0.00570471524584658
h2_pt,0.004927500761019591
j3_pt,0.004546997041299482
ht_candidate_jets,0.0017317134118637197
pt_sum4,0.0012115236565581585
n_selected_bjets,0.00034403594967343545
n_extra_selected_bjets,0.0
