analysis_sample,group,rows,n_generated,xsec_pb
VBF_HH4b_SMnorm,signal,694,10000,0.000587
Zbbbb_100k,background,3434,100000,6.912992
ggF_HH4b_SMnorm,signal,641,10000,0.01055
qcd_bbbb_iht100to200_20000,background,319,20000,206.2399139404297
qcd_bbbb_iht200to400_combined120k,background,8196,120000,126.35226440429688
qcd_bbbb_iht400to600_20000,background,3038,20000,9.774867057800293
qcd_bbbb_iht600plus_20000,background,3635,20000,1.7876876592636108
ttbar_200k,background,737,200000,512.2746276855469
