file_index	basename	entries	ratio_min	ratio_median	ratio_mean	ratio_max	fraction_near_1e_minus_5	physical_semantics	physical_use_allowed
0	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id0-9.root	140035	9.999999019122898e-06	9.999999996367503e-06	9.999999999976225e-06	1.0000001012213167e-05	1.0	undefined	false
1	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id620-629.root	139929	9.999998988665457e-06	9.999999995761036e-06	9.999999998060875e-06	1.0000001012213167e-05	1.0	undefined	false
2	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1250-1259.root	136808	9.999999038244096e-06	1.0000000007865134e-05	9.999999999082903e-06	1.0000000965982171e-05	1.0	undefined	false
3	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1870-1879.root	136845	9.999998988665457e-06	1.0000000004415224e-05	1.0000000005154344e-05	1.0000001012213167e-05	1.0	undefined	false
4	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id2500-2509.root	139072	9.999998988665457e-06	9.999999989613066e-06	9.999999991756935e-06	1.0000001012213167e-05	1.0	undefined	false
5	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3120-3129.root	139781	9.999999037293861e-06	1e-05	9.999999999172121e-06	1.0000001012213167e-05	1.0	undefined	false
6	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3740-3749.root	136811	9.999999038244096e-06	1.000000000068764e-05	9.999999999710393e-06	1.0000000955983159e-05	1.0	undefined	false
7	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4370-4379.root	142160	9.999999042927265e-06	9.999999999291299e-06	1.0000000004047272e-05	1.0000000955983159e-05	1.0	undefined	false
8	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4990-4999.root	139871	9.999999041932696e-06	1.0000000003873322e-05	1.0000000002247569e-05	1.0000001012213167e-05	1.0	undefined	false
9	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3440-3449.root	134856	9.999999035443965e-06	1.0000000008327295e-05	1.0000000009315535e-05	1.0000001012213167e-05	1.0	undefined	false
