score_set	signal_probability_strictly_greater_than	selected_count	selected_fraction	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	median_target_rank
model0	0.0	840	1.0	0.1	0.2761904761904762	0.3773809523809524	0.4666666666666667	0.6297619047619047	9.0
model0	0.5	784	0.9333333333333333	0.10331632653061225	0.2844387755102041	0.39158163265306123	0.48596938775510207	0.6517857142857143	8.0
model0	0.9	659	0.7845238095238095	0.10773899848254932	0.2943854324734446	0.4157814871016692	0.5189681335356601	0.6919575113808801	7.0
model0	0.997	346	0.4119047619047619	0.13583815028901733	0.35260115606936415	0.4913294797687861	0.6011560693641619	0.7832369942196532	6.0
model1	0.0	840	1.0	0.10714285714285714	0.2619047619047619	0.3726190476190476	0.4595238095238095	0.6071428571428571	9.0
model1	0.5	780	0.9285714285714286	0.11282051282051282	0.27307692307692305	0.38974358974358975	0.4807692307692308	0.6294871794871795	8.0
model1	0.9	658	0.7833333333333333	0.12462006079027356	0.2917933130699088	0.4209726443768997	0.5151975683890577	0.6747720364741642	8.0
model1	0.997	347	0.41309523809523807	0.14121037463976946	0.345821325648415	0.484149855907781	0.5878962536023055	0.7636887608069164	6.0
model2	0.0	840	1.0	0.1	0.25595238095238093	0.3619047619047619	0.4357142857142857	0.6178571428571429	10.0
model2	0.5	787	0.9369047619047619	0.10546378653113088	0.2655654383735705	0.3761118170266836	0.4548919949174079	0.639135959339263	9.0
model2	0.9	656	0.780952380952381	0.11432926829268293	0.2804878048780488	0.4024390243902439	0.4893292682926829	0.6753048780487805	8.0
model2	0.997	336	0.4	0.13988095238095238	0.34226190476190477	0.47619047619047616	0.5803571428571429	0.7767857142857143	6.0
ensemble	0.0	840	1.0	0.10595238095238095	0.2726190476190476	0.3821428571428571	0.4654761904761905	0.6309523809523809	9.0
ensemble	0.5	785	0.9345238095238095	0.10955414012738854	0.28152866242038216	0.3961783439490446	0.4840764331210191	0.6496815286624203	8.0
ensemble	0.9	656	0.780952380952381	0.12042682926829268	0.2972560975609756	0.4268292682926829	0.5213414634146342	0.6966463414634146	7.0
ensemble	0.997	340	0.40476190476190477	0.14705882352941177	0.36764705882352944	0.5029411764705882	0.6147058823529412	0.7911764705882353	5.0
