first_cell_low_gev	second_cell_low_gev	output_index_zero_based	count
40	40	0	146
40	50	1	312
40	60	2	414
40	70	3	682
40	80	4	975
40	90	5	1151
40	100	6	1570
40	110	7	1947
40	120	8	2433
40	130	9	2757
40	140	10	3330
40	150	11	3716
40	160	12	4755
40	170	13	5220
40	180	14	5558
40	190	15	10123
50	50	16	327
50	60	17	814
50	70	18	1239
50	80	19	1408
50	90	20	1620
50	100	21	2346
50	110	22	2706
50	120	23	3286
50	130	24	3904
50	140	25	3784
50	150	26	5243
50	160	27	5659
50	170	28	7027
50	180	29	7756
50	190	30	12483
60	60	31	706
60	70	32	1771
60	80	33	1859
60	90	34	2916
60	100	35	3259
60	110	36	3465
60	120	37	4390
60	130	38	4730
60	140	39	5522
60	150	40	6491
60	160	41	7421
60	170	42	8718
60	180	43	10254
60	190	44	15087
70	70	45	1270
70	80	46	2304
70	90	47	3306
70	100	48	3892
70	110	49	4635
70	120	50	4964
70	130	51	5567
70	140	52	6222
70	150	53	7129
70	160	54	8361
70	170	55	9393
70	180	56	10987
70	190	57	17731
80	80	58	1347
80	90	59	3569
80	100	60	4417
80	110	61	5024
80	120	62	5573
80	130	63	6537
80	140	64	7544
80	150	65	9748
80	160	66	9652
80	170	67	10794
80	180	68	11793
80	190	69	20067
90	90	70	2328
90	100	71	5382
90	110	72	5464
90	120	73	6899
90	130	74	7793
90	140	75	8448
90	150	76	9619
90	160	77	11469
90	170	78	12653
90	180	79	13537
90	190	80	22937
100	100	81	3017
100	110	82	7447
100	120	83	7484
100	130	84	8679
100	140	85	10220
100	150	86	11232
100	160	87	12112
100	170	88	14187
100	180	89	14501
100	190	90	23002
110	110	91	4771
110	120	92	8397
110	130	93	10633
110	140	94	11342
110	150	95	12608
110	160	96	14932
110	170	97	15394
110	180	98	16438
110	190	99	26369
120	120	100	5530
120	130	101	10891
120	140	102	11384
120	150	103	12967
120	160	104	13935
120	170	105	17866
120	180	106	16008
120	190	107	29524
130	130	108	6258
130	140	109	13389
130	150	110	15477
130	160	111	15753
130	170	112	18551
130	180	113	17804
130	190	114	30836
140	140	115	7106
140	150	116	15680
140	160	117	17149
140	170	118	17351
140	180	119	20520
140	190	120	31229
150	150	121	8009
150	160	122	17735
150	170	123	18862
150	180	124	20232
150	190	125	32051
160	160	126	10321
160	170	127	20064
160	180	128	22505
160	190	129	34405
170	170	130	9778
170	180	131	22069
170	190	132	38132
180	180	133	12011
180	190	134	39811
190	190	135	32575
