first_mass_gev	second_mass_gev	count
40.0	40.0	22
40.0	45.0	70
40.0	50.0	49
40.0	55.0	63
40.0	60.0	84
40.0	65.0	101
40.0	70.0	79
40.0	75.0	172
40.0	80.0	190
40.0	85.0	282
40.0	90.0	234
40.0	95.0	242
40.0	100.0	308
40.0	105.0	350
40.0	110.0	516
40.0	115.0	509
40.0	120.0	497
40.0	125.0	527
40.0	130.0	600
40.0	135.0	713
40.0	140.0	671
40.0	145.0	724
40.0	150.0	846
40.0	155.0	902
40.0	160.0	961
40.0	165.0	1163
40.0	170.0	1410
40.0	175.0	1226
40.0	180.0	1335
40.0	185.0	1419
40.0	190.0	1444
40.0	195.0	1666
40.0	200.0	1551
45.0	45.0	54
45.0	50.0	105
45.0	55.0	95
45.0	60.0	106
45.0	65.0	123
45.0	70.0	199
45.0	75.0	232
45.0	80.0	224
45.0	85.0	279
45.0	90.0	294
45.0	95.0	381
45.0	100.0	391
45.0	105.0	521
45.0	110.0	431
45.0	115.0	491
45.0	120.0	634
45.0	125.0	775
45.0	130.0	700
45.0	135.0	744
45.0	140.0	981
45.0	145.0	954
45.0	150.0	955
45.0	155.0	1013
45.0	160.0	1317
45.0	165.0	1314
45.0	170.0	1174
45.0	175.0	1410
45.0	180.0	1245
45.0	185.0	1559
45.0	190.0	1483
45.0	195.0	1889
45.0	200.0	2090
50.0	50.0	39
50.0	55.0	197
50.0	60.0	152
50.0	65.0	161
50.0	70.0	252
50.0	75.0	274
50.0	80.0	305
50.0	85.0	309
50.0	90.0	333
50.0	95.0	404
50.0	100.0	515
50.0	105.0	573
50.0	110.0	597
50.0	115.0	620
50.0	120.0	637
50.0	125.0	826
50.0	130.0	1002
50.0	135.0	910
50.0	140.0	785
50.0	145.0	1076
50.0	150.0	1145
50.0	155.0	1353
50.0	160.0	1078
50.0	165.0	1397
50.0	170.0	1594
50.0	175.0	1863
50.0	180.0	1783
50.0	185.0	1607
50.0	190.0	1945
50.0	195.0	1792
50.0	200.0	2121
55.0	55.0	91
55.0	60.0	228
55.0	65.0	273
55.0	70.0	438
55.0	75.0	275
55.0	80.0	309
55.0	85.0	485
55.0	90.0	427
55.0	95.0	456
55.0	100.0	609
55.0	105.0	649
55.0	110.0	695
55.0	115.0	794
55.0	120.0	943
55.0	125.0	880
55.0	130.0	938
55.0	135.0	1054
55.0	140.0	1035
55.0	145.0	888
55.0	150.0	1257
55.0	155.0	1488
55.0	160.0	1654
55.0	165.0	1530
55.0	170.0	1628
55.0	175.0	1942
55.0	180.0	1988
55.0	185.0	2378
55.0	190.0	1972
55.0	195.0	2295
55.0	200.0	2358
60.0	60.0	145
60.0	65.0	362
60.0	70.0	384
60.0	75.0	478
60.0	80.0	512
60.0	85.0	366
60.0	90.0	709
60.0	95.0	750
60.0	100.0	673
60.0	105.0	904
60.0	110.0	820
60.0	115.0	981
60.0	120.0	1053
60.0	125.0	979
60.0	130.0	948
60.0	135.0	1072
60.0	140.0	1237
60.0	145.0	1379
60.0	150.0	1442
60.0	155.0	1648
60.0	160.0	1530
60.0	165.0	1645
60.0	170.0	1804
60.0	175.0	2348
60.0	180.0	2108
60.0	185.0	2625
60.0	190.0	2194
60.0	195.0	2715
60.0	200.0	2447
65.0	65.0	199
65.0	70.0	439
65.0	75.0	470
65.0	80.0	387
65.0	85.0	594
65.0	90.0	671
65.0	95.0	786
65.0	100.0	704
65.0	105.0	978
65.0	110.0	787
65.0	115.0	877
65.0	120.0	1246
65.0	125.0	1112
65.0	130.0	1284
65.0	135.0	1426
65.0	140.0	1228
65.0	145.0	1678
65.0	150.0	1583
65.0	155.0	1818
65.0	160.0	2011
65.0	165.0	2235
65.0	170.0	2276
65.0	175.0	2290
65.0	180.0	2708
65.0	185.0	2813
65.0	190.0	2177
65.0	195.0	2489
65.0	200.0	3065
70.0	70.0	278
70.0	75.0	617
70.0	80.0	469
70.0	85.0	572
70.0	90.0	915
70.0	95.0	777
70.0	100.0	976
70.0	105.0	1018
70.0	110.0	1106
70.0	115.0	1169
70.0	120.0	983
70.0	125.0	1320
70.0	130.0	1321
70.0	135.0	1257
70.0	140.0	1329
70.0	145.0	1845
70.0	150.0	1585
70.0	155.0	1671
70.0	160.0	1913
70.0	165.0	2031
70.0	170.0	2113
70.0	175.0	2281
70.0	180.0	2374
70.0	185.0	2667
70.0	190.0	2597
70.0	195.0	3085
70.0	200.0	3493
75.0	75.0	375
75.0	80.0	615
75.0	85.0	648
75.0	90.0	717
75.0	95.0	897
75.0	100.0	979
75.0	105.0	919
75.0	110.0	1297
75.0	115.0	1063
75.0	120.0	1299
75.0	125.0	1362
75.0	130.0	1493
75.0	135.0	1496
75.0	140.0	1442
75.0	145.0	1606
75.0	150.0	2179
75.0	155.0	1694
75.0	160.0	2254
75.0	165.0	2163
75.0	170.0	2664
75.0	175.0	2335
75.0	180.0	2841
75.0	185.0	3105
75.0	190.0	2685
75.0	195.0	2573
75.0	200.0	3298
80.0	80.0	294
80.0	85.0	688
80.0	90.0	567
80.0	95.0	973
80.0	100.0	981
80.0	105.0	1071
80.0	110.0	1071
80.0	115.0	1192
80.0	120.0	1143
80.0	125.0	1657
80.0	130.0	1277
80.0	135.0	1571
80.0	140.0	1776
80.0	145.0	1978
80.0	150.0	2417
80.0	155.0	2261
80.0	160.0	2354
80.0	165.0	2446
80.0	170.0	2098
80.0	175.0	3069
80.0	180.0	2904
80.0	185.0	2939
80.0	190.0	2682
80.0	195.0	2890
80.0	200.0	3763
85.0	85.0	365
85.0	90.0	924
85.0	95.0	1105
85.0	100.0	1096
85.0	105.0	1269
85.0	110.0	1251
85.0	115.0	1510
85.0	120.0	1578
85.0	125.0	1195
85.0	130.0	1944
85.0	135.0	1745
85.0	140.0	1896
85.0	145.0	1894
85.0	150.0	2713
85.0	155.0	2357
85.0	160.0	2261
85.0	165.0	2591
85.0	170.0	3195
85.0	175.0	2432
85.0	180.0	3102
85.0	185.0	2848
85.0	190.0	3575
85.0	195.0	3300
85.0	200.0	3857
90.0	90.0	518
90.0	95.0	1027
90.0	100.0	1424
90.0	105.0	1253
90.0	110.0	1422
90.0	115.0	1239
90.0	120.0	1421
