file_index	basename	remote_path	remote_size_bytes	remote_adler32	entries	branch_count	schema_sha256	m1_min	m1_max	m2_min	m2_max	mhh_min	mhh_max	m1_le_m2_fraction	unordered_unique_mass_pair_count	occupied_released_cell_count	diagonal_cell_event_fraction	gen_weight_ratio_median	gen_weight_ratio_near_1e_minus_5_fraction
0	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id0-9.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id0-9.root	955309186	d7a11c92	140035	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	112.61701965332031	1774.9052734375	0.528446459813618	561	136	0.07557396365194416	9.999999996367503e-06	1.0
1	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id620-629.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id620-629.root	954757319	ffec5512	139929	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	111.49223327636719	1870.1168212890625	0.5207212229059023	561	136	0.07951889887014128	9.999999995761036e-06	1.0
2	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1250-1259.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1250-1259.root	934819828	65533e97	136808	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	112.59870910644531	1820.097900390625	0.5170092392257762	561	136	0.08697590784164669	1.0000000007865134e-05	1.0
3	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1870-1879.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1870-1879.root	933832621	65ff439b	136845	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	88.13619232177734	2001.21240234375	0.5087288538127078	561	136	0.07632723153933282	1.0000000004415224e-05	1.0
4	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id2500-2509.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id2500-2509.root	948741728	4425dfe6	139072	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	100.02387237548828	1637.1278076171875	0.5124539806718822	561	136	0.07265301426599172	9.999999989613066e-06	1.0
5	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3120-3129.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3120-3129.root	953499193	0698ede6	139781	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	111.40462493896484	1650.1419677734375	0.5111138137515113	560	136	0.07293552056431131	1e-05	1.0
6	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3740-3749.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3740-3749.root	935254424	3e999e1f	136811	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	92.80815124511719	1700.2742919921875	0.5294603504104202	561	136	0.0765143153693782	1.000000000068764e-05	1.0
7	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4370-4379.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4370-4379.root	970352260	57536f32	142160	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	115.34494018554688	1892.0526123046875	0.5272791221159258	561	136	0.07190489589195273	9.999999999291299e-06	1.0
8	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4990-4999.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4990-4999.root	954265522	2ffbffea	139871	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	92.19409942626953	1776.1815185546875	0.5047079094308327	561	136	0.06991442114519808	1.0000000003873322e-05	1.0
9	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3440-3449.root	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3440-3449.root	920264712	b49cd58c	134856	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	40.0	200.0	40.0	200.0	108.97874450683594	1906.71826171875	0.5169217535741828	560	136	0.07918075576911669	1.0000000008327295e-05	1.0
