file_slot	source_40J5B_file_index	remote_path	basename	remote_size_bytes	remote_adler32	tree_entries	schema_sha256
0	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id620-629.root	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id620-629.root	954757319	ffec5512	139929	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2
1	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1250-1259.root	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id1250-1259.root	934819828	65533e97	136808	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2
2	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id2500-2509.root	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id2500-2509.root	948741728	4425dfe6	139072	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2
3	6	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3740-3749.root	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id3740-3749.root	935254424	3e999e1f	136811	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2
4	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/training/HH4b_2HDM_H3VAR_H1H2_40to200_merged_ntuple/HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4990-4999.root	HH4b_2HDM_H3VAR_H1H2_40to200_ntuple_id4990-4999.root	954265522	2ffbffea	139871	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2
