score_set	metric	successes	total	fraction	wilson95_low	wilson95_high
model0	top1_exact	30	272	0.11029411764705882	0.07835773226984465	0.15308484744110856
model0	top3_contains_target	72	272	0.2647058823529412	0.2158164728502665	0.3201488582959694
model0	top5_contains_target	100	272	0.36764705882352944	0.31256022364327246	0.42642027512648534
model0	within_chebyshev_1	108	272	0.39705882352941174	0.34073376623457424	0.45625106614190397
model0	within_chebyshev_2	162	272	0.5955882352941176	0.5363251179282089	0.6521889662936327
model1	top1_exact	32	272	0.11764705882352941	0.08457921689390824	0.16136444621872512
model1	top3_contains_target	73	272	0.26838235294117646	0.21921629106224844	0.3239995817848275
model1	top5_contains_target	99	272	0.3639705882352941	0.30905408091793407	0.42267587615098356
model1	within_chebyshev_1	118	272	0.4338235294117647	0.37625201752318943	0.4932382318616894
model1	within_chebyshev_2	168	272	0.6176470588235294	0.5586369446980957	0.6733803897287864
model2	top1_exact	26	272	0.09558823529411764	0.06606816703752749	0.1363722458700655
model2	top3_contains_target	68	272	0.25	0.2022633428128378	0.3046998215300379
model2	top5_contains_target	99	272	0.3639705882352941	0.30905408091793407	0.42267587615098356
model2	within_chebyshev_1	115	272	0.4227941176470588	0.3655621352671579	0.48217648901520077
model2	within_chebyshev_2	160	272	0.5882352941176471	0.5289145979518503	0.6450984028683112
ensemble	top1_exact	29	272	0.10661764705882353	0.07526532685675436	0.14892671115335882
ensemble	top3_contains_target	71	272	0.2610294117647059	0.2124212069833372	0.31629358246205863
ensemble	top5_contains_target	101	272	0.3713235294117647	0.3160698687967311	0.43016117167386675
ensemble	within_chebyshev_1	116	272	0.4264705882352941	0.36912218365237826	0.4858669823308205
ensemble	within_chebyshev_2	160	272	0.5882352941176471	0.5289145979518503	0.6450984028683112
