score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model2	22	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	3.8	54.0
model2	23	False	5	0	0	1	0.0	0.0	0.2	0.4	0.4	3.0	22.4
model2	24	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	3.2	19.8
model2	25	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	2.4	30.2
model2	26	False	5	1	1	1	0.2	0.2	0.2	0.4	0.6	2.2	10.4
model2	27	False	5	1	1	1	0.2	0.2	0.2	0.2	0.2	5.4	36.2
model2	28	False	5	0	2	3	0.0	0.4	0.6	0.4	0.8	1.8	27.0
model2	29	False	5	0	0	1	0.0	0.0	0.2	0.6	0.8	1.6	16.2
model2	30	False	5	0	1	2	0.0	0.2	0.4	0.4	0.6	4.0	12.6
model2	31	True	15	0	0	2	0.0	0.0	0.13333333333333333	0.2	0.3333333333333333	6.866666666666666	62.13333333333333
model2	32	False	5	0	0	1	0.0	0.0	0.2	0.2	0.6	5.8	11.0
model2	33	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	5.2	40.2
model2	34	False	5	0	1	1	0.0	0.2	0.2	0.0	0.6	3.4	16.6
model2	35	False	5	0	1	1	0.0	0.2	0.2	0.6	0.8	1.8	11.4
model2	36	False	5	1	1	2	0.2	0.2	0.4	0.2	0.4	3.8	53.0
model2	37	False	5	1	1	2	0.2	0.2	0.4	0.4	0.6	2.0	9.8
model2	38	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	3.0	39.8
model2	39	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	4.2	40.0
model2	40	False	5	0	0	1	0.0	0.0	0.2	0.0	0.4	3.8	30.8
model2	41	False	5	1	2	2	0.2	0.4	0.4	0.6	0.8	1.4	10.2
model2	42	False	5	0	0	1	0.0	0.0	0.2	0.0	0.4	6.6	44.8
model2	43	False	5	1	2	3	0.2	0.4	0.6	0.4	1.0	1.4	11.4
model2	44	False	5	3	3	4	0.6	0.6	0.8	0.8	0.8	1.0	4.2
model2	45	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.5333333333333333	0.6	3.3333333333333335	32.4
model2	46	False	5	1	2	2	0.2	0.4	0.4	0.6	0.6	1.8	15.4
model2	47	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	3.0	13.0
model2	48	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	4.2	35.4
model2	49	False	5	2	2	2	0.4	0.4	0.4	0.6	0.8	1.4	12.8
model2	50	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	6.0	50.8
model2	51	False	5	2	2	3	0.4	0.4	0.6	0.8	0.8	1.8	10.0
model2	52	False	5	2	2	3	0.4	0.4	0.6	0.6	0.8	1.2	22.4
model2	53	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	2.0	19.6
model2	54	False	5	0	1	2	0.0	0.2	0.4	0.6	1.0	1.4	8.4
model2	55	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	2.8	18.4
model2	56	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	4.6	32.2
model2	57	False	5	2	4	4	0.4	0.8	0.8	0.6	0.8	2.8	4.2
model2	58	True	15	2	5	7	0.13333333333333333	0.3333333333333333	0.4666666666666667	0.6	0.7333333333333333	2.2666666666666666	17.666666666666668
model2	59	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	8.2
model2	60	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	5.4	39.0
model2	61	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	4.6	17.8
model2	62	False	5	1	4	4	0.2	0.8	0.8	1.0	1.0	0.8	3.0
model2	63	False	5	0	0	1	0.0	0.0	0.2	0.2	0.6	2.4	38.8
model2	64	False	5	0	0	0	0.0	0.0	0.0	0.2	0.8	2.4	17.2
model2	65	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	3.2	41.4
model2	66	False	5	1	2	2	0.2	0.4	0.4	0.6	0.8	1.4	12.2
model2	67	False	5	0	0	1	0.0	0.0	0.2	0.2	0.6	4.0	28.0
model2	68	False	5	1	3	3	0.2	0.6	0.6	0.8	0.8	1.6	20.4
model2	69	False	5	3	3	3	0.6	0.6	0.6	0.6	0.6	2.2	5.2
model2	70	True	15	1	5	7	0.06666666666666667	0.3333333333333333	0.4666666666666667	0.5333333333333333	0.7333333333333333	2.8666666666666667	22.733333333333334
model2	71	False	5	3	4	4	0.6	0.8	0.8	0.8	0.8	1.8	11.8
model2	72	False	5	0	1	2	0.0	0.2	0.4	0.2	0.8	2.8	9.2
model2	73	False	5	0	1	1	0.0	0.2	0.2	0.6	0.8	2.2	20.0
model2	74	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	2.8	15.4
model2	75	False	5	1	1	1	0.2	0.2	0.2	0.4	0.6	2.2	37.0
model2	76	False	5	2	3	3	0.4	0.6	0.6	0.8	0.8	1.2	6.2
model2	77	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	2.4	33.8
model2	78	False	5	0	0	1	0.0	0.0	0.2	0.4	0.6	3.2	21.8
model2	79	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	3.0	19.0
model2	80	False	5	0	2	4	0.0	0.4	0.8	0.8	0.8	2.6	9.8
model2	81	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.4	0.6	3.1333333333333333	38.733333333333334
model2	82	False	5	0	3	4	0.0	0.6	0.8	0.8	1.0	1.2	4.6
model2	83	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	3.8	14.0
model2	84	False	5	0	0	1	0.0	0.0	0.2	0.4	0.8	2.4	13.2
model2	85	False	5	0	3	3	0.0	0.6	0.6	0.6	0.6	2.4	9.8
model2	86	False	5	0	1	3	0.0	0.2	0.6	0.4	0.8	1.8	22.6
model2	87	False	5	1	1	2	0.2	0.2	0.4	0.6	0.8	2.4	13.6
model2	88	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.0	20.8
model2	89	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	4.8
model2	90	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	4.0	7.4
model2	91	True	15	1	2	4	0.06666666666666667	0.13333333333333333	0.26666666666666666	0.4666666666666667	0.6666666666666666	3.1333333333333333	26.133333333333333
model2	92	False	5	1	2	2	0.2	0.4	0.4	0.6	0.8	1.4	19.6
model2	93	False	5	0	0	2	0.0	0.0	0.4	0.2	0.8	2.2	20.8
model2	94	False	5	1	3	4	0.2	0.6	0.8	0.8	1.0	1.0	5.0
model2	95	False	5	0	0	0	0.0	0.0	0.0	0.2	0.2	3.6	19.6
model2	96	False	5	0	0	0	0.0	0.0	0.0	0.0	0.4	3.6	22.6
model2	97	False	5	1	1	3	0.2	0.2	0.6	0.2	0.6	2.6	21.2
model2	98	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	4.2	17.4
model2	99	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	2.8	14.6
model2	100	True	15	0	4	7	0.0	0.26666666666666666	0.4666666666666667	0.7333333333333333	0.8	1.8	21.133333333333333
model2	101	False	5	0	2	2	0.0	0.4	0.4	0.4	0.6	3.0	10.0
model2	102	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	4.4	33.0
model2	103	False	5	0	0	1	0.0	0.0	0.2	0.2	0.8	2.0	27.0
model2	104	False	5	0	0	1	0.0	0.0	0.2	0.2	0.2	4.4	23.2
model2	105	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	5.0	20.4
model2	106	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	3.4	27.8
model2	107	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	29.8
model2	108	True	15	0	4	6	0.0	0.26666666666666666	0.4	0.4666666666666667	0.6	2.8666666666666667	28.466666666666665
model2	109	False	5	2	4	4	0.4	0.8	0.8	0.8	1.0	0.8	3.6
model2	110	False	5	0	1	3	0.0	0.2	0.6	0.8	0.8	1.8	12.2
model2	111	False	5	0	1	3	0.0	0.2	0.6	0.4	0.6	2.2	15.8
model2	112	False	5	1	1	1	0.2	0.2	0.2	0.4	0.8	2.0	15.2
model2	113	False	5	0	0	1	0.0	0.0	0.2	0.2	0.2	3.4	12.0
model2	114	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	3.0	20.6
model2	115	True	15	1	1	2	0.06666666666666667	0.06666666666666667	0.13333333333333333	0.26666666666666666	0.6666666666666666	3.6	35.266666666666666
model2	116	False	5	0	2	2	0.0	0.4	0.4	0.6	1.0	1.4	9.2
model2	117	False	5	0	0	1	0.0	0.0	0.2	0.2	0.6	2.8	20.8
model2	118	False	5	0	1	1	0.0	0.2	0.2	0.6	0.6	2.0	13.6
model2	119	False	5	1	2	4	0.2	0.4	0.8	0.8	0.8	1.2	4.8
model2	120	False	5	0	0	1	0.0	0.0	0.2	0.4	0.4	2.6	18.4
model2	121	True	15	0	2	5	0.0	0.13333333333333333	0.3333333333333333	0.6666666666666666	0.8666666666666667	1.6666666666666667	12.0
model2	122	False	5	0	3	3	0.0	0.6	0.6	0.8	0.8	1.8	11.8
model2	123	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	3.0	11.0
model2	124	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	2.8	25.0
model2	125	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	4.2	30.8
model2	126	True	15	0	0	1	0.0	0.0	0.06666666666666667	0.13333333333333333	0.5333333333333333	3.8666666666666667	30.4
model2	127	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	4.8	11.8
model2	128	False	5	1	2	4	0.2	0.4	0.8	0.8	1.0	1.0	3.8
model2	129	False	5	0	0	1	0.0	0.0	0.2	0.4	0.4	4.6	19.8
model2	130	True	15	0	1	1	0.0	0.06666666666666667	0.06666666666666667	0.4	0.6666666666666666	4.0	20.133333333333333
model2	131	False	5	0	1	2	0.0	0.2	0.4	0.4	0.6	3.0	19.0
model2	132	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	3.6	42.4
model2	133	True	15	0	1	4	0.0	0.06666666666666667	0.26666666666666666	0.5333333333333333	0.7333333333333333	3.0	17.0
model2	134	False	5	2	3	3	0.4	0.6	0.6	0.6	0.8	3.0	3.4
model2	135	True	15	3	4	7	0.2	0.26666666666666666	0.4666666666666667	0.4	0.7333333333333333	3.6	18.466666666666665
ensemble	0	True	15	2	2	4	0.13333333333333333	0.13333333333333333	0.26666666666666666	0.13333333333333333	0.2	9.866666666666667	47.6
ensemble	1	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	6.2	46.2
ensemble	2	False	5	0	3	4	0.0	0.6	0.8	0.6	0.8	3.6	14.0
ensemble	3	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	2.4	13.6
ensemble	4	False	5	0	3	4	0.0	0.6	0.8	0.4	0.4	2.4	5.6
ensemble	5	False	5	1	3	3	0.2	0.6	0.6	0.8	0.8	1.4	14.6
ensemble	6	False	5	1	4	4	0.2	0.8	0.8	0.6	0.6	3.0	11.2
ensemble	7	False	5	2	2	3	0.4	0.4	0.6	0.6	0.8	2.2	4.0
ensemble	8	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	1.6	10.0
ensemble	9	False	5	1	1	2	0.2	0.2	0.4	0.4	0.6	4.4	9.4
ensemble	10	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	4.6	25.0
ensemble	11	False	5	1	3	4	0.2	0.6	0.8	0.8	0.8	3.0	10.0
ensemble	12	False	5	1	2	4	0.2	0.4	0.8	0.4	0.6	3.6	15.2
ensemble	13	False	5	0	2	3	0.0	0.4	0.6	0.2	0.6	3.0	5.2
ensemble	14	False	5	2	4	4	0.4	0.8	0.8	0.8	0.8	1.4	20.4
ensemble	15	False	5	3	4	4	0.6	0.8	0.8	0.6	0.6	3.0	13.2
ensemble	16	True	15	0	1	2	0.0	0.06666666666666667	0.13333333333333333	0.4666666666666667	0.5333333333333333	5.533333333333333	60.93333333333333
ensemble	17	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	4.4	28.6
ensemble	18	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	4.6	18.4
ensemble	19	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	7.0	28.2
ensemble	20	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	5.6	39.0
ensemble	21	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	3.2	41.2
ensemble	22	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	3.8	54.6
ensemble	23	False	5	0	1	1	0.0	0.2	0.2	0.6	0.6	2.6	26.6
ensemble	24	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	3.2	18.4
ensemble	25	False	5	0	0	0	0.0	0.0	0.0	0.6	0.8	1.6	25.8
ensemble	26	False	5	0	1	1	0.0	0.2	0.2	0.4	0.8	2.0	10.6
ensemble	27	False	5	1	1	1	0.2	0.2	0.2	0.2	0.2	5.4	29.6
ensemble	28	False	5	0	3	3	0.0	0.6	0.6	0.0	0.8	2.2	24.4
ensemble	29	False	5	0	0	1	0.0	0.0	0.2	0.4	0.8	1.8	14.8
ensemble	30	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	4.0	9.4
ensemble	31	True	15	0	0	2	0.0	0.0	0.13333333333333333	0.2	0.3333333333333333	6.333333333333333	58.6
ensemble	32	False	5	0	3	3	0.0	0.6	0.6	0.2	0.6	5.8	7.8
ensemble	33	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	5.2	34.4
ensemble	34	False	5	0	1	1	0.0	0.2	0.2	0.0	0.6	3.6	22.0
ensemble	35	False	5	0	1	3	0.0	0.2	0.6	0.4	0.8	2.0	9.6
ensemble	36	False	5	1	1	2	0.2	0.2	0.4	0.2	0.4	3.8	51.4
ensemble	37	False	5	1	1	2	0.2	0.2	0.4	0.4	0.8	2.0	9.4
ensemble	38	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	3.0	38.2
ensemble	39	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	4.2	40.6
ensemble	40	False	5	0	0	1	0.0	0.0	0.2	0.0	0.2	4.0	28.6
ensemble	41	False	5	2	2	2	0.4	0.4	0.4	0.6	0.8	1.2	9.4
ensemble	42	False	5	0	0	0	0.0	0.0	0.0	0.0	0.4	6.6	46.0
ensemble	43	False	5	1	2	3	0.2	0.4	0.6	0.4	0.8	1.6	10.6
ensemble	44	False	5	3	3	4	0.6	0.6	0.8	0.8	0.8	1.0	4.4
ensemble	45	True	15	0	3	5	0.0	0.2	0.3333333333333333	0.6666666666666666	0.6666666666666666	3.2	31.866666666666667
ensemble	46	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.4	15.8
ensemble	47	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.2	12.0
ensemble	48	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	3.8	35.2
ensemble	49	False	5	2	2	2	0.4	0.4	0.4	0.8	1.0	0.8	12.8
ensemble	50	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	5.4	48.8
ensemble	51	False	5	2	2	3	0.4	0.4	0.6	0.8	0.8	1.8	9.6
ensemble	52	False	5	2	2	4	0.4	0.4	0.8	0.6	0.8	1.2	22.4
ensemble	53	False	5	1	1	2	0.2	0.2	0.4	0.2	0.6	2.0	20.0
ensemble	54	False	5	0	1	2	0.0	0.2	0.4	0.8	1.0	1.2	7.0
ensemble	55	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.6	16.4
ensemble	56	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	4.8	33.0
ensemble	57	False	5	2	3	4	0.4	0.6	0.8	0.6	0.8	2.8	4.8
ensemble	58	True	15	2	6	7	0.13333333333333333	0.4	0.4666666666666667	0.6666666666666666	0.8	2.1333333333333333	16.933333333333334
ensemble	59	False	5	3	3	3	0.6	0.6	0.6	0.8	1.0	0.6	9.0
ensemble	60	False	5	1	1	2	0.2	0.2	0.4	0.6	0.6	4.0	40.2
ensemble	61	False	5	0	1	2	0.0	0.2	0.4	0.2	0.6	3.8	13.6
ensemble	62	False	5	2	4	4	0.4	0.8	0.8	1.0	1.0	0.6	3.0
ensemble	63	False	5	0	0	1	0.0	0.0	0.2	0.2	0.4	3.0	37.4
ensemble	64	False	5	0	0	0	0.0	0.0	0.0	0.4	0.8	2.2	16.2
ensemble	65	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	3.4	39.2
ensemble	66	False	5	1	1	2	0.2	0.2	0.4	0.6	0.6	1.6	15.8
ensemble	67	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	4.0	30.2
ensemble	68	False	5	1	3	4	0.2	0.6	0.8	0.8	0.8	1.8	22.2
ensemble	69	False	5	3	3	3	0.6	0.6	0.6	0.6	0.6	2.2	5.4
ensemble	70	True	15	1	5	8	0.06666666666666667	0.3333333333333333	0.5333333333333333	0.6	0.8	2.7333333333333334	21.066666666666666
ensemble	71	False	5	3	4	4	0.6	0.8	0.8	0.8	0.8	1.8	11.4
ensemble	72	False	5	0	1	1	0.0	0.2	0.2	0.4	1.0	1.6	7.6
ensemble	73	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.2	16.4
ensemble	74	False	5	1	1	2	0.2	0.2	0.4	0.4	0.6	2.6	15.2
ensemble	75	False	5	1	1	1	0.2	0.2	0.2	0.6	0.6	2.2	37.0
ensemble	76	False	5	2	3	3	0.4	0.6	0.6	0.8	0.8	1.2	5.8
ensemble	77	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	2.4	36.6
ensemble	78	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	25.2
ensemble	79	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	3.0	17.8
ensemble	80	False	5	0	4	4	0.0	0.8	0.8	0.8	0.8	2.6	8.8
ensemble	81	True	15	0	1	4	0.0	0.06666666666666667	0.26666666666666666	0.4	0.6	3.1333333333333333	37.06666666666667
ensemble	82	False	5	0	3	4	0.0	0.6	0.8	0.8	1.0	1.2	4.6
ensemble	83	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	3.8	18.8
ensemble	84	False	5	0	0	1	0.0	0.0	0.2	0.4	0.8	2.4	13.4
ensemble	85	False	5	1	3	3	0.2	0.6	0.6	0.6	0.6	2.2	10.0
ensemble	86	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	1.8	22.4
ensemble	87	False	5	1	1	2	0.2	0.2	0.4	0.6	0.8	2.4	13.8
ensemble	88	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	1.8	19.8
ensemble	89	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	4.8
ensemble	90	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	4.0	7.2
ensemble	91	True	15	1	3	4	0.06666666666666667	0.2	0.26666666666666666	0.5333333333333333	0.6666666666666666	2.8666666666666667	27.0
ensemble	92	False	5	1	2	2	0.2	0.4	0.4	0.6	0.8	1.4	20.6
ensemble	93	False	5	0	0	2	0.0	0.0	0.4	0.4	0.8	2.0	19.0
ensemble	94	False	5	1	3	4	0.2	0.6	0.8	1.0	1.0	0.8	5.0
ensemble	95	False	5	0	0	1	0.0	0.0	0.2	0.2	0.2	3.6	13.8
ensemble	96	False	5	0	0	0	0.0	0.0	0.0	0.0	0.4	3.4	19.0
ensemble	97	False	5	1	1	3	0.2	0.2	0.6	0.4	0.6	2.6	20.6
ensemble	98	False	5	0	0	0	0.0	0.0	0.0	0.2	0.2	3.8	17.8
ensemble	99	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.6	14.8
ensemble	100	True	15	0	3	8	0.0	0.2	0.5333333333333333	0.8	0.8	1.8666666666666667	22.8
ensemble	101	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	2.0	9.8
ensemble	102	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	4.4	36.4
ensemble	103	False	5	0	1	1	0.0	0.2	0.2	0.2	0.8	2.0	26.4
ensemble	104	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	4.4	21.8
ensemble	105	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	4.8	19.6
ensemble	106	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.2	27.8
ensemble	107	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	27.0
ensemble	108	True	15	0	4	5	0.0	0.26666666666666666	0.3333333333333333	0.4	0.6	2.933333333333333	29.6
ensemble	109	False	5	2	4	4	0.4	0.8	0.8	0.8	1.0	0.8	4.0
ensemble	110	False	5	0	1	4	0.0	0.2	0.8	0.8	0.8	1.8	11.6
ensemble	111	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	2.0	15.2
ensemble	112	False	5	0	1	1	0.0	0.2	0.2	0.4	0.8	2.4	15.8
ensemble	113	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	2.6	13.0
ensemble	114	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	3.2	18.6
ensemble	115	True	15	1	1	3	0.06666666666666667	0.06666666666666667	0.2	0.4	0.6666666666666666	3.4	34.333333333333336
ensemble	116	False	5	0	2	2	0.0	0.4	0.4	0.6	1.0	1.4	7.6
ensemble	117	False	5	0	0	0	0.0	0.0	0.0	0.2	0.6	3.4	24.6
ensemble	118	False	5	0	1	1	0.0	0.2	0.2	0.6	0.6	2.0	14.4
ensemble	119	False	5	1	2	4	0.2	0.4	0.8	0.8	0.8	1.2	5.0
ensemble	120	False	5	0	0	2	0.0	0.0	0.4	0.4	0.4	2.8	24.2
ensemble	121	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.6	0.8666666666666667	1.6	11.333333333333334
ensemble	122	False	5	3	3	3	0.6	0.6	0.6	0.8	0.8	1.2	11.2
ensemble	123	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	3.0	12.4
ensemble	124	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	3.0	24.8
ensemble	125	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	4.2	28.4
ensemble	126	True	15	0	0	1	0.0	0.0	0.06666666666666667	0.13333333333333333	0.3333333333333333	4.533333333333333	30.533333333333335
ensemble	127	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	4.6	11.0
ensemble	128	False	5	1	2	3	0.2	0.4	0.6	1.0	1.0	0.8	4.0
ensemble	129	False	5	0	0	2	0.0	0.0	0.4	0.4	0.4	4.6	17.8
ensemble	130	True	15	0	0	2	0.0	0.0	0.13333333333333333	0.4	0.7333333333333333	3.2666666666666666	19.2
ensemble	131	False	5	0	2	2	0.0	0.4	0.4	0.4	0.8	3.2	16.8
ensemble	132	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	3.8	42.0
ensemble	133	True	15	0	0	4	0.0	0.0	0.26666666666666666	0.5333333333333333	0.8	2.933333333333333	16.6
ensemble	134	False	5	2	3	4	0.4	0.6	0.8	0.6	0.8	3.0	3.6
ensemble	135	True	15	1	4	6	0.06666666666666667	0.26666666666666666	0.4	0.4	0.6	4.6	18.666666666666668
