score_set	subset	metric	successes	total	fraction	wilson95_low	wilson95_high
model0	all	top1_exact	84	840	0.1	0.08149787258856189	0.12214400471484793
model0	diagonal	top1_exact	7	240	0.029166666666666667	0.014198730672500263	0.05896954393913429
model0	off_diagonal	top1_exact	77	600	0.12833333333333333	0.1039165192128853	0.15747901187396557
model0	all	top3_contains_target	232	840	0.2761904761904762	0.24702499296483682	0.30739367647873783
model0	diagonal	top3_contains_target	42	240	0.175	0.1321545485103242	0.22808549945168904
model0	off_diagonal	top3_contains_target	190	600	0.31666666666666665	0.2807120720494366	0.35495388498892033
model0	all	top5_contains_target	317	840	0.3773809523809524	0.3452290397520166	0.41064927382611205
model0	diagonal	top5_contains_target	71	240	0.29583333333333334	0.24167259820926645	0.3564269191002034
model0	off_diagonal	top5_contains_target	246	600	0.41	0.3713396167716497	0.44980548941081644
model0	all	within_chebyshev_1	392	840	0.4666666666666667	0.4331575808915773	0.5004792422170403
model0	diagonal	within_chebyshev_1	113	240	0.4708333333333333	0.4086406930629839	0.5339449522669404
model0	off_diagonal	within_chebyshev_1	279	600	0.465	0.42543972667536817	0.5050055923955911
model0	all	within_chebyshev_2	529	840	0.6297619047619047	0.5965861793011309	0.6617561878831797
model0	diagonal	within_chebyshev_2	147	240	0.6125	0.5495538698365403	0.6719014981766092
model0	off_diagonal	within_chebyshev_2	382	600	0.6366666666666667	0.597425907290115	0.6741685610994735
model1	all	top1_exact	90	840	0.10714285714285714	0.08798633223859197	0.12987622582725694
model1	diagonal	top1_exact	8	240	0.03333333333333333	0.01698546425790705	0.06438486102088117
model1	off_diagonal	top1_exact	82	600	0.13666666666666666	0.111483490917006	0.16647267848628314
model1	all	top3_contains_target	220	840	0.2619047619047619	0.23330377662264173	0.2926735312960546
model1	diagonal	top3_contains_target	38	240	0.15833333333333333	0.11758132712042738	0.20985051817297115
model1	off_diagonal	top3_contains_target	182	600	0.30333333333333334	0.2678974928892395	0.3412714428428163
model1	all	top5_contains_target	313	840	0.3726190476190476	0.3405713806564865	0.4058264790800161
model1	diagonal	top5_contains_target	64	240	0.26666666666666666	0.21471633827843417	0.32596882436095986
model1	off_diagonal	top5_contains_target	249	600	0.415	0.37623738126559547	0.4548441079067337
model1	all	within_chebyshev_1	386	840	0.4595238095238095	0.4260827473819752	0.4933333949642032
model1	diagonal	within_chebyshev_1	106	240	0.44166666666666665	0.3802501224037211	0.5049211682561274
model1	off_diagonal	within_chebyshev_1	280	600	0.4666666666666667	0.427086743461777	0.5066707032724699
model1	all	within_chebyshev_2	510	840	0.6071428571428571	0.5736995981730519	0.6396106132635346
model1	diagonal	within_chebyshev_2	146	240	0.6083333333333333	0.5453363415836218	0.6679169757623736
model1	off_diagonal	within_chebyshev_2	364	600	0.6066666666666667	0.5670201021394037	0.6449560683110069
model2	all	top1_exact	84	840	0.1	0.08149787258856189	0.12214400471484793
model2	diagonal	top1_exact	10	240	0.041666666666666664	0.022787422709248207	0.07498700390384737
model2	off_diagonal	top1_exact	74	600	0.12333333333333334	0.09939360586276594	0.15206554223422195
