transport_row_index	transport_id	sample_class	process_or_mode	campaign	candidate_transport_path	candidate_provenance_path	candidate_provenance_paths_json	candidate_path_relation	candidate_sha256	candidate_provenance_sha256	candidate_rows	candidate_provenance_rows	candidate_identity_contract_verified	candidate_payload_deserialized_in_current_step
249	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard051_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0419_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard051_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0419_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard051_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0419_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard051_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	d2700409e9d21d19cc4b44492cb1df29712abad2fbc9a9b3264d8e0e19ee81f2	d2700409e9d21d19cc4b44492cb1df29712abad2fbc9a9b3264d8e0e19ee81f2	23	23	True	False
250	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard052_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0420_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard052_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0420_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard052_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0420_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard052_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	5757013c84899ed9034c46b3b43873b5ac46a47bc84cb06edf6d151f0a35c159	5757013c84899ed9034c46b3b43873b5ac46a47bc84cb06edf6d151f0a35c159	32	32	True	False
251	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard053_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0421_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard053_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0421_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard053_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0421_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard053_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	e66f03c79f176b25f2e2811b933cd17f32f3b356711b38c2e26f9c7e9b92877e	e66f03c79f176b25f2e2811b933cd17f32f3b356711b38c2e26f9c7e9b92877e	27	27	True	False
252	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard055_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0422_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard055_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0422_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard055_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0422_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard055_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	1f012866f301336e599f8db026d8ebc73c8f02167846784a10761aa148cb402c	1f012866f301336e599f8db026d8ebc73c8f02167846784a10761aa148cb402c	34	34	True	False
253	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard056_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0423_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard056_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0423_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard056_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0423_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard056_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	647fe2973242c7eca31e8679a996c6ab7da221ceb008d7be35d706a43f71e23c	647fe2973242c7eca31e8679a996c6ab7da221ceb008d7be35d706a43f71e23c	30	30	True	False
254	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard057_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0424_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard057_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0424_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard057_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0424_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard057_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	d106b1130b860a4389a435dbbcc8f65604a70bd6cb800caf4e3249e7cfeabad6	d106b1130b860a4389a435dbbcc8f65604a70bd6cb800caf4e3249e7cfeabad6	34	34	True	False
255	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard058_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0425_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard058_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0425_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard058_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0425_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard058_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	b1fa5e7f6f8d53ea0132c8385d6ea9452b815cfb49bc667f99348d90fba7c747	b1fa5e7f6f8d53ea0132c8385d6ea9452b815cfb49bc667f99348d90fba7c747	30	30	True	False
256	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0427_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0427_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0427_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	05d9045ac102af71e41c38e52a20e26ed91a9bedd90866c35258e647e25d2ea7	05d9045ac102af71e41c38e52a20e26ed91a9bedd90866c35258e647e25d2ea7	23	23	True	False
257	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard061_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0428_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard061_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0428_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard061_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0428_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard061_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	b9c36c62d07d002379f5b3096e24993c16820e3e136731acf1ceaeffb361cb31	b9c36c62d07d002379f5b3096e24993c16820e3e136731acf1ceaeffb361cb31	29	29	True	False
258	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_bundle.tar.gz	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0429_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_hh4b_candidates_v2.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0429_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_hh4b_candidates_v2.parquet	"[""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttbar_inclusive/0429_ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_hh4b_candidates_v2.parquet""]"	exact_path_string	48da2b2af3b7d4ed4931bcdf2d461a3ea6b2aa5e96e9c81b9eb837fc389734b2	48da2b2af3b7d4ed4931bcdf2d461a3ea6b2aa5e96e9c81b9eb837fc389734b2	25	25	True	False
