category_id	replica_category_count	fold_winner_count	modal_replica_selected_structure_id	modal_replica_selected_count	modal_replica_selected_frequency	second_replica_selected_count	second_replica_selected_frequency	top_two_frequency_gap	modal_frequency_below_0p70	top_two_frequency_gap_below_0p15	nominal_structure_id	nominal_structure_recovery_count	nominal_structure_recovery_frequency	unique_modal_replica_category_count	unique_modal_replica_category_fraction	tie_resolution_replica_category_count	tie_resolution_replica_category_fraction	no_unique_five_fold_modal_structure_count	no_unique_five_fold_modal_structure_fraction	infeasible_fold_winner_count	infeasible_fold_winner_frequency	fold_winner_support_failure_count	fold_winner_support_failure_frequency	all1000_aggregation_complete	initial200_retained_separately	nominal_deployment_candidate_changed	validation_payloads_opened	test_payloads_opened
exact3tag	1000	5000	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	185	0.185	134	0.134	0.0509999999999999	True	True	radial_mass__category__plus_ht_candidate_jets	119	0.119	620	0.62	380	0.38	380	0.38	2776	0.5552	0	0.0	True	True	False	0	0
ge4tag	1000	5000	asymmetric_rectangular_mass__category__mass_only	207	0.207	125	0.125	0.0819999999999999	True	True	radial_mass__category__plus_mhh_and_abs_h_delta_eta	34	0.034	620	0.62	380	0.38	380	0.38	786	0.1572	0	0.0	True	True	False	0	0
