role,process,source_tag,n_generated_events,n_events_ge4_selected_jets,n_events_ge3_tags_in_chosen_four,n_region_rows_before_trigger_proxy,n_region_rows_after_trigger_and_lepton_proxies
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,10000,3762,1487,1487,980
signal,VBF_HH_4b,vbf_hh4b_ak4ak8_10k,10000,4390,1645,1645,1204
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard000,10000,4362,318,318,232
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard001,10000,4392,349,349,250
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard002,10000,4409,293,293,217
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard003,10000,4413,296,296,226
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard004,10000,4422,313,313,227
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard000,10000,1114,517,517,218
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard001,10000,1078,488,488,221
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard002,10000,1081,550,550,245
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard003,10000,1077,513,513,224
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard004,10000,1095,538,538,243
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard000,10000,1226,533,533,278
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard001,10000,1188,542,542,291
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard002,10000,1175,505,505,243
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard003,10000,1294,572,572,270
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,10000,1117,501,501,242
validation,ZZ_4b,zz4b_ak4ak8_pilot10k,10000,700,234,234,135
validation,ZH_4b,zh4b_ak4ak8_pilot10k,10000,1536,694,694,432
