role,process,source_tag,source_root,event_index,n_selected_jets,n_selected_btags_four_jets,btag_region,trigger_proxy_2018,lepton_veto_proxy,analysis_chi,analysis_mass_region,analysis_region,validation_chi,validation_mass_region,validation_region,mk,m_perp,pairing_mode,pairing_delta_distance,mbb1,mbb2,avg_mbb,delta_mbb,mhh,h1_pt,h2_pt,h1_eta,h2_eta,delta_eta_hh,delta_phi_hh,drbb1,drbb2,j1_pt,j1_eta,j1_phi,j1_mass,j1_btag,j2_pt,j2_eta,j2_phi,j2_mass,j2_btag,j3_pt,j3_eta,j3_phi,j3_mass,j3_btag,j4_pt,j4_eta,j4_phi,j4_mass,j4_btag
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,2,5,3,3b,True,True,159.5120020529919,outside,A_outside,91.41899224740824,outside,V_outside,324.7991361872309,49.85170119027646,minimum_distance,96.19933501832531,268.82986849094317,188.9713544076937,228.90061144931843,79.85851408324947,618.8932014063022,212.854020020071,193.43148047228007,-0.650720092791891,-0.1659916516494685,0.48472844114242253,2.96773035577894,1.8584280231833343,2.0652275068425014,168.1211395263672,-0.8131847381591797,-1.364457368850708,13.492374420166016,1.0,146.03944396972656,0.025981124490499496,-3.0226356983184814,9.930190086364746,1.0,53.969722747802734,0.23857782781124115,-0.9097380042076111,7.349985599517822,1.0,210.39315795898438,-0.2134682536125183,1.1054093837738037,22.106773376464844,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,12,5,3,3b,True,True,72.65036966515784,outside,A_outside,74.00584537064596,outside,V_outside,209.53169081247398,62.95784788900118,four_jet_com_pt,18.90938151943726,194.75381860375614,99.69037167552369,147.22209513963992,95.06344692823245,392.46946442077797,121.07880611065592,58.86195511113568,1.162049022657472,-0.8141060101569447,1.9761550328144168,2.966618532131066,2.2222870704729583,2.1779340877372184,70.78025817871094,0.03615488111972809,-1.8879741430282593,18.58521842956543,1.0,69.46754455566406,-0.29043710231781006,0.37290480732917786,7.910701274871826,1.0,43.1657829284668,-0.7034240961074829,-1.765514850616455,6.1540632247924805,1.0,127.63658905029297,1.107192873954773,2.448049783706665,18.411502838134766,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,17,5,3,3b,True,True,46.808889750903035,CR,A3bCR,47.333352912771936,CR,V3bCR,210.475049427154,28.414692066305328,minimum_distance,33.069403169971565,171.51211069423792,125.26267218047582,148.38739143735688,46.2494385137621,353.03236944188654,230.9877537068482,47.60565874963571,-0.000589524200133662,0.13077471355391007,0.13136423775404374,1.6770920504766451,1.9950331748884447,2.6029941121496116,82.41545104980469,-0.04645051434636116,2.3329575061798096,7.290389537811279,1.0,50.02840042114258,0.2000093162059784,-0.25834253430366516,5.457343101501465,1.0,40.391998291015625,-0.20697316527366638,-1.035620927810669,9.017037391662598,1.0,244.084228515625,0.03393137454986572,-3.0160558223724365,24.66188621520996,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,20,4,3,3b,False,True,50.99482390764507,outside,A_outside,53.00417693028339,outside,V_outside,209.31129347931363,-36.08349566887272,minimum_distance,36.488887392054714,126.00554404152533,170.98490900798276,148.49522652475406,44.97936496645744,422.11134874775627,90.63661935549082,81.45349327317003,-0.8585341499317234,-2.6939470131127576,1.8354128631810342,2.8289735622603844,1.982346731895696,2.62918210876044,96.5241470336914,-2.4365737438201904,-1.5428987741470337,13.143936157226562,1.0,87.17508697509766,-0.24618977308273315,1.191059947013855,16.4315128326416,1.0,56.24698257446289,-0.9994453191757202,3.024718761444092,6.155141830444336,1.0,50.26028060913086,-0.9055631160736084,0.5945307612419128,6.4046430587768555,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,22,4,4,4b,False,True,54.76160008468056,outside,A_outside,80.00401174550117,outside,V_outside,188.15291159890734,52.70243898558846,four_jet_com_pt,20.61546260920369,172.2292412632556,92.28300857719799,132.2561249202268,79.94623268605761,309.1337007907273,65.58016444089441,63.714011647358696,1.66228452155246,1.9469021521451415,0.2846176305926815,2.9153117623502434,2.712405571518045,2.0193235447032,79.29008483886719,0.1205957755446434,1.016473412513733,12.264719009399414,1.0,58.25216293334961,1.717626690864563,-3.074307680130005,7.101624965667725,1.0,51.824493408203125,0.930485188961029,-2.331739902496338,6.56368350982666,1.0,45.64994812011719,1.9860488176345825,-0.6102716326713562,5.589373588562012,1.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,24,4,3,3b,False,True,52.34967054350801,outside,A_outside,24.301902519112407,SR,V3bSR,225.0881700268796,-7.490992394132559,minimum_distance,59.80453260412091,157.18800131378615,161.2846288276585,159.23631507072233,4.096627513872363,421.46351368477406,98.54188321856951,90.85672485360523,0.14804949176896684,1.7642603886952077,1.616210896926241,2.7345746857564484,2.1698640560296054,2.62855671336255,84.87139892578125,0.653700053691864,0.4709891378879547,8.120123863220215,1.0,68.5364990234375,-0.6152071952819824,2.2311551570892334,5.742122650146484,1.0,41.38914489746094,-0.2523055970668793,-1.861869215965271,5.204654693603516,1.0,56.934452056884766,2.253141164779663,-2.6568830013275146,6.961881160736084,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,25,4,3,3b,True,True,128.52110643188047,outside,A_outside,80.15874125101179,outside,V_outside,277.9574831590902,-74.5635322498982,minimum_distance,62.25239827091522,148.87738483133725,246.28359074753527,197.58048778943626,97.40620591619802,561.4363253297948,205.4918496564132,188.8452606766222,-0.7633920011078894,-0.7644919757618208,0.0010999746539314126,2.80427053750863,1.3840636779754898,3.3736185315594125,156.75125122070312,-0.9558757543563843,1.7618762254714966,14.857357025146484,1.0,71.99638366699219,0.016109010204672813,0.7765448689460754,7.656173229217529,1.0,45.062992095947266,-1.4973734617233276,1.1277645826339722,4.687239646911621,1.0,233.9082489013672,-0.266911119222641,-2.013455629348755,15.477117538452148,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,32,5,3,3b,True,True,174.25116055856296,outside,A_outside,142.57071164615712,outside,V_outside,277.9186979478178,139.33280692622253,minimum_distance,33.273305232087466,296.9794284844078,91.95462365767655,194.46702607104217,205.0248048267312,579.4032520920254,305.85425400371844,145.44318131679495,-1.7709038077933255,-2.0503434887922913,0.2794396809989659,2.6621363018168482,2.7843768280550205,1.1393049030255726,79.18588256835938,-1.4641845226287842,-0.53538978099823,10.97936725616455,1.0,76.3994369506836,-2.3420093059539795,-1.261639952659607,5.587766647338867,1.0,58.809593200683594,-1.8814743757247925,-1.845099687576294,12.661532402038574,1.0,359.1860656738281,-1.400119662284851,1.695631980895996,31.505176544189453,0.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,37,6,4,4b,True,True,204.12026679626035,outside,A_outside,136.54898087647138,outside,V_outside,364.1808545292398,-72.25573459006779,minimum_distance,54.37321394985665,212.6760550467606,304.33120378387895,258.5036294153198,91.65514873711834,611.1999125062263,194.96935961630476,66.10265123484719,-0.2787290673502112,-2.136519236836533,1.8577901694863217,2.5671049294815758,1.8692308260473134,3.1529292386143455,143.5616912841797,-1.435843825340271,2.714205265045166,8.653741836547852,1.0,104.09590911865234,-1.072007417678833,-0.2866284251213074,15.116433143615723,1.0,94.52900695800781,0.09076258540153503,-0.8102782368659973,21.17122459411621,1.0,93.4001235961914,0.769500732421875,-0.6073644757270813,13.557080268859863,1.0
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,38,4,3,3b,True,True,17.293271469257835,SR,A3bSR,89.51053392251711,outside,V_outside,159.3014744343424,-10.185056130007958,four_jet_com_pt,3.994475936996521,107.8645883365416,117.66871167950833,112.76665000802497,9.804123342966733,442.34047439977815,192.3914109003812,182.71110298351317,-0.5366099555918674,-0.9225807417491484,0.385970786157281,2.95542937909324,1.0929011171268208,1.2791533752133257,145.98219299316406,-0.5840632319450378,-1.9947209358215332,14.54350757598877,1.0,70.63204956054688,-1.0847591161727905,0.3492937982082367,6.080362796783447,1.0,58.03093719482422,-1.3409228324890137,-3.0259323120117188,8.121423721313477,1.0,127.828369140625,-0.12260227650403976,0.8676441311836243,9.208314895629883,0.0
