stat,seed,auc_all,auc_vs_ttbar,auc_vs_qcd_bbbb,auc_vs_zbbbb,threshold,selected_signal_rows,selected_background_rows,selected_ttbar_rows,selected_qcd_bbbb_rows,selected_zbbbb_rows,S_over_sqrtB_rows,S_over_B_rows
mean,74.5,0.7637914132881963,0.6536332284683444,0.7863018167827909,0.7540912159908809,0.7360333333333333,157.36666666666667,69.24666666666667,11.813333333333333,28.833333333333332,28.6,20.00395413201749,2.753973983964971
std,43.445367992456916,0.01209343782824253,0.025204425971409147,0.012631951689029199,0.013659737282294658,0.06358236392457532,40.93658816461485,43.49125294555274,5.871540582702097,19.11267075646913,19.797972915013904,1.5863165622052615,0.8796341922247041
min,0.0,0.726557113495038,0.5672166559426417,0.7450343428498154,0.7159034681300886,0.545,100.0,25.0,3.0,8.0,6.0,17.080747582717102,1.2177777777777778
max,149.0,0.7966954328156297,0.7089671530964782,0.8218173035300909,0.7856168587601446,0.8300000000000001,274.0,225.0,33.0,100.0,101.0,26.0,5.2
