job_index	proc_id	outer_fold	category_id	structure_id	mass_family	condor_job_status	condor_exit_code	worker_rc	runtime_seconds	pooled_inner_oof_signal_efficiency	pooled_inner_oof_background_efficiency	pooled_inner_oof_feasible	all_inner_support_pass	inner_support_pass_count	inner_support_failure_count	pooled_support_pass	pooled_support_failures	outer_signal_total_rows	outer_signal_selected_rows	outer_background_total_rows	outer_background_selected_rows	canonical_payload_sha256	outer_selected_event_uid_sha256	result_bundle_sha256	worker_log_sha256	validation_payloads_opened	test_payloads_opened	execution_integrity_pass
0	0	0	exact3tag	radial_mass__category__mass_only	radial	4	0	0	98.47111463546753	0.5858210457148635	0.44392420235799573	False	True	4	0	True	[]	5405	3214	16005	7959	6ea10c80e1333c57b08a244ffee517dc799639cee82f8f64e390b992add430da	a5724f04e695cf782b2fa2d01df21ea33d63e5d50793e861467a7c7c8080c8ad	2d3cdeda1aeaa68544a102b51d20c86e06e452feb3268a90b9e6d45b867bd8eb	5cf92015ae9241266d1f1ee03b386ea9f00dca818751e93d5a57309f1c177028	0	0	True
1	1	1	exact3tag	symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular	4	0	0	254.52671670913696	0.5841827130152214	0.4409208371584834	False	True	4	0	True	[]	5750	3272	15827	7736	6a119d965e037bcc642fc9f72d666b91c3339eb9ec2331e73769c96f7210f1f0	8ce3a5aa179340644b1c0f6b9df37bbea94e65988f24325a8ff7da6183270038	dad968e6df5cd45099596a3cdb91bb6df8d0e67e2d4cb66e739fdfe0de7f5f53	2e718586ab48b9259bd4886cf92a1cf287cb3045ef3c91a479c182bd16213cde	0	0	True
2	2	2	exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular	4	0	0	292.8854522705078	0.5853982781981704	0.45035051537180115	False	True	4	0	True	[]	5715	3263	16759	9010	550c06dbda02c56f012a47c0ece5de0c4a7b23a75dd68852adbb00aafda25bd9	4f2da953ef301e80d8844baff6fb5a08829aad979071cbc78234c91b3bdf121e	48a76fced86ac5992f815cddc4787584ffac6156b4503f685c8ed0f0df5de1c2	6c2d5570377d58fb8a6cf259c8cd75eea109dc8b715b92896be0110117977426	0	0	True
3	3	3	ge4tag	radial_mass__category__mass_only	radial	4	0	0	45.92489314079285	0.5872031857238176	0.29165637984649373	True	True	4	0	True	[]	1846	1086	4266	1203	ea226f69ece32d8b38c0423530240c14d5a8850f73d2384f24dadd108a4a9f9f	e2d83d232cf907358181f7a75b9d526107fcae79a79185c302f94b666fab5a6d	aa5167585c59e26c5b82b287ad98a3ea3a0481fe826cf31e2464f5e46f5d2d76	8fb19f7fd380c2b51f9fe35876b5e2e8e8818d06bf8121f2308ecf483338ed5d	0	0	True
4	4	4	ge4tag	symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular	4	0	0	36.8087055683136	0.5825049888909357	0.2947941170556232	False	True	4	0	True	[]	1837	1133	4241	1432	102ce7bdb0f47bb4bafde8481c876764070cb8e0d894d6126fb30b5b285494b1	a7ee8807eba6522a9cbe52fc2c01a9c9e99846f732c95b6db9507aac8faa503e	6343973230f7083e717f5108bd1ecf38259b8e4ec39692f7de9299ca60a62604	2e30c3a56a376e316aab7ba1f3b6ad99f97461bedf81e4129f24371b080b398b	0	0	True
5	5	0	ge4tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular	4	0	0	47.08843684196472	0.5812491467608318	0.2986916688603943	False	True	4	0	True	[]	1834	1061	4361	1273	31df8f4295aa71569950124efab71cc336655ee6a9f7a789648a6a96e54d41a4	9c0189f11732cdb849f6dcef77fabb6296ddfee817decaa5789484756a93527b	2307b2d2d1e2b81c3d29328f406a51988dd200a965f96cc1c6f91ab2a8d69a9a	289e5586804464a6715dd711fb4bfe4cce21b62bc7169c5fdf8d4515fd0e5cd3	0	0	True
