query	hit_count	git_grep_status	interpretation
np\.arange\(40.*,.*201.*,.*10\)	7	0	public_matches_recorded
range\(i.*,.*n_bins\)	6	0	public_matches_recorded
136	57	0	public_matches_recorded
138	68	0	public_matches_recorded
score_0	5	0	public_matches_recorded
score_135	0	1	no_public_match
label	160	0	public_matches_recorded
class	18	0	public_matches_recorded
mass.*grid	0	1	no_public_match
lower.*triang	0	1	no_public_match
upper.*triang	2	0	public_matches_recorded
