100644 blob 4f384d670ba132d00d9e704244ed0645ea9d6df1    8266	README.md
100644 blob f53d8e90f7017d3d0d3f48b2aeddbc75dc61d6f1  144535	ana_scripts/AppendixFIGS11_MaxBinBkgSplitROC.ipynb
100644 blob 36efb7f438f004a5a60e838ff0cb60842073ab1a  183244	ana_scripts/AppendixFIGS4_PlotsFromTensorboard.ipynb
100644 blob fff988b0b281461a1d1a4b1f3dfc6ff5bbd6498d  368845	ana_scripts/AppendixFIGS5_dcbFitSingleEvent.ipynb
100644 blob d53eb36a56d824b243a9d9aa708c3bd08e0480fd  209065	ana_scripts/AppendixFIGS6_ggHHScatter.ipynb
100644 blob f98be7bf188ad29bc22606b389252380a5577ee4  172177	ana_scripts/AppendixFIGS7_ModelComparison.ipynb
100644 blob 85da9409ff41c0786d88f6bb92fdba27c962f89b  151313	ana_scripts/AppendixFIGS8_QCDSpectraComparison.ipynb
100644 blob b1fabd766cd66ba136b09944b82e9f199a64444c  264997	ana_scripts/AppendixFIGS9S10_BkgSplitROC.ipynb
100644 blob 1b765d304912ecf7a4958e086f8e3b8a151fc9e5  179965	ana_scripts/FIG1_ggHHvsQCD_ROC.ipynb
100644 blob 5bd7c6d27a9e60e2febf68f61899b0f62f9cf0c7  108849	ana_scripts/FIG2_2DHistForMainProcesses.ipynb
100644 blob bdc934e036935282c495d0e2a030a3af4ebb0415  125031	ana_scripts/FIG3a_LorentzBoostTest.ipynb
100644 blob 3139cc725886688646aa30e8a4ff34a38534e6f8   48154	ana_scripts/FIG3b_HadronizationTest.ipynb
100644 blob f498f0f32e92d1b3c814a5606c5e4d2bf186bbee   65423	ana_scripts/PreProcessing.ipynb
100755 blob c7949bdff342c9c7c224ef77c90de06bc3ce9dc7   42991	ana_scripts/dcb_fit/dcb_fit_single_job.py
100644 blob 1da84962bb0abecaee9638009293335a968d3b0c    6148	delphes/ana/EventData.h
100644 blob ddeacb55416d76d4676c4b267c18e18c198bd2d6   45327	delphes/ana/FatJetMatching.h
