relative_path	size_bytes	sha256	selection_reason
README.md	8266	4d50141282166d4a11315f6fe4cfc9a025637c3f499b331464a413d614baf36f	official_commit_text_source
ana_scripts/AppendixFIGS11_MaxBinBkgSplitROC.ipynb	144535	2e4ba2ebc26983eb7fff3a6f72cd207afbc2631f733f8cf298b726197bf76bbc	official_commit_text_source
ana_scripts/AppendixFIGS4_PlotsFromTensorboard.ipynb	183244	ddd974ba7b6bcc43a5211f675d1026c5e582994c5d5fd6423c5a379440d87ac8	official_commit_text_source
ana_scripts/AppendixFIGS5_dcbFitSingleEvent.ipynb	368845	3dfac8ae3076a6bf8b8009bdb532503438421fa4af637e394c74242ee3da2cb3	official_commit_text_source
ana_scripts/AppendixFIGS6_ggHHScatter.ipynb	209065	ba5ba0e353399f8760d851af8103a763bf06cf1bc60434044205ec2e228df6e5	official_commit_text_source
ana_scripts/AppendixFIGS7_ModelComparison.ipynb	172177	e1af95a8e50297b9021829f08ba71d043114569db600b2ec13256c9dd8ff73a8	official_commit_text_source
ana_scripts/AppendixFIGS8_QCDSpectraComparison.ipynb	151313	55702c9f26c95281631dd23e9b2ce6afaa0e98fe38c0ffbd7ef34542de523a0d	official_commit_text_source
ana_scripts/AppendixFIGS9S10_BkgSplitROC.ipynb	264997	d39e6222ded0b4c9e0cd45db393545a825fc44e7fa71acec8907cd46b4a78d5d	official_commit_text_source
ana_scripts/FIG1_ggHHvsQCD_ROC.ipynb	179965	5de7cbbe9668106244c83cabb786bab7ecf4b8c61f035ee49a264531bb83f5d8	official_commit_text_source
ana_scripts/FIG2_2DHistForMainProcesses.ipynb	108849	898b7fb0cef3c4f39000aba85f03b5c048d5a0f842a183b77fe5b42560f6e3ae	official_commit_text_source
ana_scripts/FIG3a_LorentzBoostTest.ipynb	125031	3d64ff19ae04c3aba09670f405ec3e5b4b623d621218f80d26399c9a91d4c33a	official_commit_text_source
ana_scripts/FIG3b_HadronizationTest.ipynb	48154	b598f2c2e443b0ccffef290a7f1a11645ced0244c3a3b2ac8d79f02f35d46249	official_commit_text_source
ana_scripts/PreProcessing.ipynb	65423	cadec78fb441046d783fadf76c51ad48fdb4d684b1c93a4e7592f84f3a4c90f7	official_commit_text_source
ana_scripts/dcb_fit/dcb_fit_single_job.py	42991	c4814da1cf2b53e33c9c717a213224d179271216300cf955a201893eb18b05e6	official_commit_text_source
delphes/models/HH4b/model0.onnx	35810954	7b7de7ba1bfbbf00117b251661320afabe166c74c8687e3673d97590a3745786	official_commit_hh4b_onnx
delphes/models/HH4b/model1.onnx	35810954	5514875d359fd4d6516e3367eb3264e6b4fea21f82755fc45851d06f788d429f	official_commit_hh4b_onnx
delphes/models/HH4b/model2.onnx	35810954	2d02df9702bfa13f8c20b467087121abab2556fa654e12084b73cee968f3566e	official_commit_hh4b_onnx
