signal_mode	members	generated_events	candidate_rows_metadata	unique_member_ids	unique_candidate_references	development_members	sealed_test_members	source_coverage_complete
ggf_hh4b	100	100000	6112	100	100	97	3	True
vbf_hh4b	10	100000	6283	10	10	10	0	True
