process_or_mode	campaign	active_filter_line
ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	committed:ggf_generation_decay_convention_freeze.tsv:additional_generator_filter=none_identified;generator_filter_efficiency_symbolic=1
ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	committed:ggf_generation_decay_convention_freeze.tsv:additional_generator_filter=none_identified;generator_filter_efficiency_symbolic=1
