member_name	member_size_bytes	member_type	bounded_text_candidate	content_opened	event_payload_member
payload	0	directory	False	False	False
payload/repo	0	directory	False	False	False
payload/repo/scripts	0	directory	False	False	False
payload/repo/scripts/delphes	0	directory	False	False	False
payload/repo/scripts/delphes/audit_ak4ak8_btag_information.py	6872	regular_file	True	True	False
payload/repo/scripts/delphes/audit_ak4ak8_constituent_cloud_feasibility.py	9287	regular_file	True	True	False
payload/repo/scripts/delphes/audit_ak4ak8_normalization_inputs.py	5561	regular_file	True	True	False
payload/repo/scripts/delphes/audit_hh4b_fatjet_readiness.py	4458	regular_file	True	True	False
payload/repo/scripts/delphes/audit_hh4b_sample_usage.py	6792	regular_file	True	True	False
payload/repo/scripts/delphes/audit_hh4b_signal_normalization.py	2480	regular_file	True	True	False
payload/repo/scripts/delphes/audit_hh4b_spanet_readiness_v2.py	3382	regular_file	True	True	False
payload/repo/scripts/delphes/audit_spanet_npz_current.py	3365	regular_file	True	True	False
payload/repo/scripts/delphes/audit_spanet_qcdplus_root_inputs.py	4432	regular_file	True	True	False
payload/repo/scripts/delphes/audit_v2_root_availability.py	4218	regular_file	True	True	False
payload/repo/scripts/delphes/build_cms_run2_regions_ak4ak8.py	14610	regular_file	True	True	False
payload/repo/scripts/delphes/build_hh4b_candidate_training_table.py	2770	regular_file	True	True	False
payload/repo/scripts/delphes/build_hh4b_spanet_npz.py	18816	regular_file	True	True	False
payload/repo/scripts/delphes/build_hh4b_spanet_qcdplus_npz.py	19028	regular_file	True	True	False
payload/repo/scripts/delphes/check_python_stack.py	399	regular_file	True	True	False
payload/repo/scripts/delphes/collect_condor_hh4b_outputs.py	3245	regular_file	True	True	False
payload/repo/scripts/delphes/combine_qcd_iht200to400_120k.py	3306	regular_file	True	True	False
payload/repo/scripts/delphes/compare_bdt_v3_mass_aware_vs_topology_only.py	3106	regular_file	True	True	False
payload/repo/scripts/delphes/compare_bdt_v3_mass_sculpting.py	2390	regular_file	True	True	False
payload/repo/scripts/delphes/compare_hh4b_cut_and_bdt_baselines.py	9757	regular_file	True	True	False
payload/repo/scripts/delphes/compare_hh4b_reco_v1_v2.py	1804	regular_file	True	True	False
payload/repo/scripts/delphes/compare_r05_vs_ak4ak8_mass_plane_smoke.py	4599	regular_file	True	True	False
payload/repo/scripts/delphes/compare_r05_vs_ak4ak8_smoke.py	3203	regular_file	True	True	False
payload/repo/scripts/delphes/compare_signal_normalization_scenarios.py	6230	regular_file	True	True	False
payload/repo/scripts/delphes/compare_ttbar_100k_200k.py	2933	regular_file	True	True	False
payload/repo/scripts/delphes/convert_delphes_root_to_parquet.py	254	regular_file	True	True	False
payload/repo/scripts/delphes/diagnose_delphes_hh4b_smoke.py	3485	regular_file	True	True	False
payload/repo/scripts/delphes/estimate_hh4b_region_mc_stats.py	2860	regular_file	True	True	False
payload/repo/scripts/delphes/inspect_ak4ak8_candidate_bdt_v1.py	3285	regular_file	True	True	False
payload/repo/scripts/delphes/inspect_delphes_root.py	1149	regular_file	True	True	False
