sample_class	process_or_mode	campaign	generated_events	higgs_mass_GeV	hard_process_definition	decay_scope	decay_scope_complete	explicit_external_BR_H_to_bb_power	decay_scope_reason	matching_scope	matching_efficiency	matching_scope_frozen	filter_scope	filter_efficiency	filter_scope_frozen	generator_cut_assignments	generator_cut_reference_scope_blocker	internal_semantics_frozen	final_reference_candidate_selected	physical_weight_application_authorized
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	10000	125.00	generate p p > b b~ h QCD=2 QED=1	unforced_internal_Pythia_SM_Higgs_decay_sampling	True	0	empty SLHA DECAY 25 table was explicitly ignored by Pythia; no active Higgs decay-forcing control was present; Pythia internal decay table therefore remained authoritative. EMPTY_TABLE=metadata/generation_banner.txt:346:DECAY 25 6.382339e-03 # WH; PYTHIA_WARNING=logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log:53:PYTHIA Warning in SLHAinterface::initSLHA: ignoring empty DECAY tables for id = {6,25} (total width provided but no Branching Ratios)	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True		False	True	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	40000	125.00	generate p p > b b~ h QCD=2 QED=1	unforced_internal_Pythia_SM_Higgs_decay_sampling	True	0	empty SLHA DECAY 25 table was explicitly ignored by Pythia; no active Higgs decay-forcing control was present; Pythia internal decay table therefore remained authoritative. EMPTY_TABLE=metadata/generation_banner.txt:346:DECAY 25 6.382339e-03 # WH; PYTHIA_WARNING=logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log:53:PYTHIA Warning in SLHAinterface::initSLHA: ignoring empty DECAY tables for id = {6,25} (total width provided but no Branching Ratios)	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True		False	True	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20000	125.00	generate p p > h h, (h > b b~), (h > b b~)	matrix_element_forced_Hbb_count_2	True	2	imported frozen ggF generation/decay convention and exact generator configuration archive	matching_and_merging_disabled	1	True	imported_frozen_no_additional_generator_filter	1	True		False	True	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80000	125.00	generate p p > h h, (h > b b~), (h > b b~)	matrix_element_forced_Hbb_count_2	True	2	imported frozen ggF generation/decay convention and exact generator configuration archive	matching_and_merging_disabled	1	True	imported_frozen_no_additional_generator_filter	1	True		False	True	False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	10000	125.00	generate g g > h [noborn=QCD]	unforced_internal_Pythia_SM_Higgs_decay_sampling	True	0	empty SLHA DECAY 25 table was explicitly ignored by Pythia; no active Higgs decay-forcing control was present; Pythia internal decay table therefore remained authoritative. EMPTY_TABLE=metadata/generation_banner.txt:331:DECAY 25 6.382339e-03 # WH; PYTHIA_WARNING=logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log:55:PYTHIA Warning in SLHAinterface::initSLHA: ignoring empty DECAY tables for id = {6,25} (total width provided but no Branching Ratios)	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True		False	True	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	90000	125.00	generate g g > h [noborn=QCD]	unforced_internal_Pythia_SM_Higgs_decay_sampling	True	0	empty SLHA DECAY 25 table was explicitly ignored by Pythia; no active Higgs decay-forcing control was present; Pythia internal decay table therefore remained authoritative. EMPTY_TABLE=metadata/generation_banner.txt:331:DECAY 25 6.382339e-03 # WH; PYTHIA_WARNING=logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log:55:PYTHIA Warning in SLHAinterface::initSLHA: ignoring empty DECAY tables for id = {6,25} (total width provided but no Branching Ratios)	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True		False	True	False	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	125.00	generate p p > t t~ h, h > b b~	matrix_element_forced_Hbb_count_1	True	1	exact MadGraph decay-chain syntax	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True	ptj=0.0;etaj=-1.0;cut_decays=False	False	True	False	False
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	125.00	generate p p > t t~ h, h > b b~	matrix_element_forced_Hbb_count_1	True	1	exact MadGraph decay-chain syntax	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True	ptj=0.0;etaj=-1.0;cut_decays=False	False	True	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	125.00	generate p p > h j j QCD=0, h > b b~	matrix_element_forced_Hbb_count_1	True	1	exact MadGraph decay-chain syntax	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True	ptj=20.0;etaj=5.0;cut_decays=False	True	True	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	40000	125.00	generate p p > h j j QCD=0, h > b b~	matrix_element_forced_Hbb_count_1	True	1	exact MadGraph decay-chain syntax	matching_and_merging_disabled	1	True	no_explicit_generator_filter_formal_efficiency_1	1	True	ptj=20.0;etaj=5.0;cut_decays=False	True	True	False	False
