feature,auc_signal_vs_ttbar,sep,median_sig,median_ttbar
pT_H1,0.12645481356843516,0.37354518643156487,173.02210795532966,406.1153676240428
jet1_pt,0.1437696520911063,0.35623034790889374,165.21066284179688,454.782958984375
HT,0.1448954349572752,0.3551045650427248,456.4609069824219,910.3163452148438
pT_H2,0.17207001800441638,0.32792998199558365,146.84365588884523,391.9775643248522
jet2_pt,0.18968154298636364,0.31031845701363636,113.97019958496094,309.1064758300781
met_pt,0.2613037004521175,0.23869629954788252,49.178260803222656,106.86653137207031
DeltaR_bb_H2,0.7356455910902258,0.23564559109022576,1.721702320637262,0.9477223420101608
mHH,0.2836891538745813,0.21631084612541868,587.7125880198049,1063.191322438464
n_btag_loose,0.32364496249425023,0.17635503750574977,2.0,3.0
mass_asym,0.3707998206334229,0.12920017936657707,0.21167231054010943,0.3298232713047138
DeltaR_bb_H1,0.6243272058773409,0.12432720587734092,2.1259487870126463,1.7050513080514254
n_selected_jets,0.40118037859361655,0.09881962140638345,5.0,5.0
