point_id	jet_pt_min_GeV	jet_abs_eta_max	rhh_sr_max	selected_signal	selected_background	unweighted_signal_efficiency	unweighted_background_efficiency	ggf_signal_efficiency	vbf_signal_efficiency	balanced_signal_efficiency	family_balanced_background_efficiency	background_family_efficiency_std	minimum_background_family_efficiency	maximum_background_family_efficiency	raw_count_proxy_s_over_sqrt_b	balanced_proxy_s_over_sqrt_b	balanced_proxy_s_over_b	eligible_for_ranking	pareto_frontier	fraction_of_best_proxy	near_optimal_plateau	reference_point
pt30_eta2p5_rhh34	30.0	2.5	34.0	6136	11042	0.6151378446115289	0.23319465270004858	0.6382587369711833	0.5928768201495475	0.6155677785603654	0.2444506323585033	0.07903214399430473	0.125	0.4084609773887673	58.393092961073634	1.245031376543508	2.518168075988422	True	True	1.0	True	False
pt30_eta2p5_rhh36	30.0	2.5	36.0	6422	12064	0.6438095238095238	0.25477814618487465	0.6693235234007766	0.6192443919716647	0.6442839576862207	0.2721981395096051	0.08411990730069237	0.125	0.4427425237053246	58.468861444538916	1.2349083909083174	2.3669667942880475	True	True	0.9918692927536539	True	False
pt30_eta2p5_rhh32	30.0	2.5	32.0	5789	10034	0.5803508771929825	0.21190682350953519	0.6049458409973432	0.5566706021251476	0.5808082215612453	0.2227369672408952	0.074922861630682	0.10714285714285714	0.3836615609044493	57.79183724422495	1.2306558041578202	2.6075968832469907	True	True	0.9884536465052008	True	False
pt30_eta2p5_rhh30	30.0	2.5	30.0	5431	9040	0.5444611528822055	0.19091465861333445	0.5675454731248722	0.5222353404171586	0.5448904067710154	0.19765436741142198	0.07039211259784749	0.10094620167612868	0.350109409190372	57.120971808557165	1.225620324731506	2.756784046349018	True	True	0.9844091866456479	True	False
pt30_eta2p5_rhh38	30.0	2.5	38.0	6687	13056	0.6703759398496241	0.27572807332474497	0.6948702227672184	0.6467926013380558	0.6708314120526371	0.2997106491516291	0.0931854778345259	0.125	0.46316557257476293	58.52295576184563	1.2253560611310788	2.23826351833515	True	True	0.9841969320748748	True	False
pt30_eta2p5_rhh40	30.0	2.5	40.0	6934	14112	0.6951378446115288	0.2980296086671876	0.7202125485387288	0.670995670995671	0.6956041097671999	0.32467292840510276	0.10104954771134088	0.125	0.4923413566739606	58.369981199375246	1.2207847632029385	2.1424764706568844	True	True	0.980525299364034	True	False
