table_label	table_path	split_field	development_rows	field_name	nonempty_values	rootlike_values	remote_root_values	existing_local_files	complete_nonempty_coverage	complete_rootlike_coverage
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	source_role	581	0	0	0	True	False
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	registered_path	581	0	0	571	True	False
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	local_path	581	0	0	581	True	False
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	candidate_sha256_source_field	581	0	0	0	True	False
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	source_schema_columns	361	0	0	0	False	False
canonical_development_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	dataset_split	581	extra_source_columns	581	0	0	0	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_campaign	107	0	0	0	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_bundle	107	0	0	0	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_registry	107	0	0	107	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_registry_sha256	107	0	0	0	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_summary	107	0	0	107	True	False
signal_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	immutable_split	107	source_summary_sha256	107	0	0	0	True	False
background_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/background_frozen_v2_strict493_final_payload_audit_20260724_v1/strict493_final_payload_audit.tsv	dataset_split	474	destination_path	474	0	0	474	True	False
background_registry	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/background_frozen_v2_strict493_final_payload_audit_20260724_v1/strict493_final_payload_audit.tsv	dataset_split	474	materialization_receipt_path	474	0	0	474	True	False
vbf_cache_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_vbf_signal_local_cache_audit_20260725_v1/vbf_signal_local_cache_manifest.tsv	dataset_split	10	eos_url	10	10	10	0	True	True
vbf_cache_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_vbf_signal_local_cache_audit_20260725_v1/vbf_signal_local_cache_manifest.tsv	dataset_split	10	eos_size_bytes	10	0	0	0	True	False
vbf_cache_manifest	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_vbf_signal_local_cache_audit_20260725_v1/vbf_signal_local_cache_manifest.tsv	dataset_split	10	local_cache_path	10	0	0	10	True	False
