member_index	sample_class	dataset_split	candidate_rows	local_path	metadata_opened	schema_columns	has_source_root_column	has_source_root_index_column	has_analysis_sample_column	parquet_metadata_keys_json
1	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard000_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
2	signal	train	60	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard001_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
3	signal	train	65	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard002_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
4	signal	train	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard003_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
5	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard004_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
6	signal	train	62	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard005_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
7	signal	train	67	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard006_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
8	signal	train	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard007_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
9	signal	train	77	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard008_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
10	signal	train	56	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard009_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
11	signal	train	74	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard010_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
12	signal	train	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard011_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
