roc,auc_unweighted,auc_weighted
signal_vs_all_background,0.7436843781875749,0.7231001790241316
signal_vs_qcd,0.7538328724334084,0.7586867909124071
signal_vs_ttbar,0.4423492349234923,0.459550061835456
