epoch,train_loss,train_cls_loss,train_assignment_loss,train_assignment_acc_batch_mean,val_auc_unweighted
1,2.923428806765326,1.311261204809978,3.224335185412703,0.2799133821551142,0.6295263456370047
2,2.5260454128528465,1.2390089754400582,2.57407284605092,0.3992151425316416,0.6732204058485589
3,2.4253926955420395,1.1964947098288043,2.457795934430484,0.4191447010841863,0.68379728941161
4,2.3084404098576514,1.18305648606399,2.250767839365992,0.4457002243605153,0.6936689926112221
5,2.274702174910184,1.1816673607661807,2.186069621094342,0.4612822945004907,0.6969622999728776
6,2.1531630363957635,1.1499921895306686,2.0063416916748573,0.5099463593857042,0.6882576784936427
7,2.17282273851592,1.153406164769469,2.0388331536589,0.4835024118937295,0.7171897987194977
8,2.13263862502986,1.1489125962915092,1.9674520574767012,0.4935193797894593,0.7147257768901383
9,2.035939991474152,1.1409362359293576,1.7900074905362622,0.5300810164932547,0.7184661916150931
10,1.932789582630684,1.1115540461293585,1.6424710719749844,0.5763263340140211,0.7247873363414453
11,1.9167368288697868,1.109368501038387,1.6147366515521346,0.5691157319936259,0.7193505436792662
12,1.8420783897926067,1.0986142990917995,1.4869281659866205,0.5875973732307039,0.7186831701884591
13,1.8128595866006,1.0854517868880569,1.4548155922314217,0.5927785971555216,0.7196562862144635
14,1.7305273598638071,1.0835387408733368,1.2939772251351127,0.6140760318215551,0.7283699484675887
15,1.8344504011088405,1.066133134323975,1.5366345366527294,0.5610116084331068,0.7330111530274264
16,1.6661995433527848,1.0466926920002904,1.2390137155508172,0.6425430851763693,0.726770553377551
17,1.59320101039163,1.043494989132059,1.0994120553649704,0.6816752095674646,0.7278801029004447
18,1.5968995587579136,1.049615967890312,1.094567169917041,0.688200049873056,0.7427743669403556
19,1.53582095688787,1.0206037215117751,1.030434467669191,0.6744744202186321,0.7199365502050612
20,1.521035480088201,1.02242649423665,0.99721798609043,0.6922612375226515,0.7343269965727248
21,1.4255171705936562,0.9936049333934126,0.8638244702898222,0.7409922680978117,0.7296759293504615
22,1.3978215034665733,0.9949479236684996,0.8057471536870661,0.7588572425061259,0.7210345932884583
23,1.3373911216341217,0.983966723598283,0.7068487891349299,0.7801640691428349,0.737655645141406
24,1.3518312419282978,0.9550737173392856,0.7935150301661985,0.754195621301388,0.7308947900485736
25,1.272569577241766,0.9425878699483544,0.6599634174129059,0.7950968541975679,0.7229660313468287
26,1.24479331538595,0.9232429522892523,0.6431007303040603,0.811765748365172,0.732617468418933
27,1.2051232004987782,0.928834365359668,0.5525776593592661,0.8281084124384255,0.7381652160334016
28,1.157093196079649,0.9152578577913087,0.4836706790173876,0.8641254542202785,0.7172629467991551
29,1.1244857002948891,0.881239830419935,0.4864917571560062,0.8301293567336839,0.7289863648691965
30,1.1020731186044628,0.8756416450286734,0.4528629398776282,0.8541622316015178,0.734403432206524
31,1.0690101693416465,0.863966671557262,0.410086989852375,0.8689693294722458,0.7166884467128568
32,1.045760147530457,0.8322618891452921,0.4269965174768505,0.8499817858482229,0.7169292600537515
33,1.014210730791092,0.8517912677649794,0.3248389364894608,0.9027970381851854,0.7344223356428401
34,0.9932830467306334,0.8079653906411138,0.3706353093529569,0.8979714286738428,0.7243657075227458
35,0.9515478251309232,0.7923028366319065,0.3184899754685767,0.8944114775493227,0.7189519277395601
36,0.9999077998358628,0.8006308181532498,0.3985539511616888,0.8792128675970537,0.7262544073772715
37,0.9797300018113236,0.7914848820916538,0.3764902261439068,0.8942860210763997,0.7101388169736421
38,0.90160900457152,0.7727049085600622,0.2578081954912892,0.9174856769627538,0.7140690879502922
39,0.8913285701439299,0.7534749364030773,0.2757072804078203,0.909372517774845,0.7068175654017802
40,0.8500574724427585,0.7171934997213298,0.2657279528372375,0.9066230726653132,0.7226463167065285
41,0.8504542502863653,0.7048728142319054,0.2911628759867544,0.9006943116927969,0.7287767832926499
42,0.878381531814049,0.7174424750023874,0.3218781245262201,0.913380706104739,0.7277658603940134
43,0.8469321779136,0.6991968247397192,0.2954707070863966,0.91890595082579,0.7251284200836683
44,0.7956281150209492,0.6802269872920267,0.2308022447235496,0.9347667375515248,0.719163974981713
45,0.7639153579185749,0.6622399225317198,0.2033508689351508,0.9449264047474696,0.7191228805549391
46,0.7613231827472818,0.6436149154243798,0.2354165362133965,0.9245380358449344,0.7225370055313097
47,0.82558748948163,0.6760522327546415,0.2990705212176745,0.9125690676015,0.7244791281406416
48,0.777678544665205,0.6577248568164891,0.2399073788306097,0.9267082728188614,0.7103788084260012
49,0.72444077298559,0.6209550487070248,0.2069714462970672,0.9488213185606332,0.7170870626525632
50,0.6988516306055004,0.5835143579491253,0.2306745476611279,0.9436853240276204,0.7179007323026853
