member_index	process_or_mode	sample_class	threeb_rows	promoted_pt_min	promoted_pt_mean	promoted_pt_max	promoted_eta_mean	promoted_btag_max	promoted_flavor_counts_json	candidate_category
1	ggf_hh4b	signal	193	30.828508377075195	117.5445141866417	717.9537963867188	-0.019523213583725104	0.0	"{""1"":28,""2"":30,""3"":19,""4"":9,""5"":68,""21"":39}"	exactly_3b_plus_highest_pt_untagged
18	ggf_hh4b	signal	195	30.16940689086914	118.74331217056665	669.0397338867188	-0.10590563976826767	0.0	"{""1"":22,""2"":36,""3"":24,""4"":3,""5"":63,""21"":47}"	exactly_3b_plus_highest_pt_untagged
99	vbf_hh4b	signal	1871	30.0504093170166	113.19533234825114	799.4749755859375	0.019970031491776192	0.0	"{""0"":1,""1"":343,""2"":461,""3"":215,""4"":145,""5"":597,""21"":109}"	exactly_3b_plus_highest_pt_untagged
108	bbh_hbb_4fs	background	1009	30.06380844116211	64.08961609877255	473.4965515136719	0.05356802409286338	0.0	"{""1"":77,""2"":86,""3"":68,""4"":25,""5"":550,""21"":203}"	exactly_3b_plus_highest_pt_untagged
123	qcd_hardqcd	background	1	35.332069396972656	35.332069396972656	35.332069396972656	-1.9439278841018677	0.0	"{""21"":1}"	exactly_3b_plus_highest_pt_untagged
184	qcd_hardqcd	background	2	38.3820686340332	53.23312950134277	68.08419036865234	1.6271310448646545	0.0	"{""4"":1,""21"":1}"	exactly_3b_plus_highest_pt_untagged
365	schannel_single_top	background	117	30.21846580505371	85.3763371166001	376.032470703125	0.02850588061647792	0.0	"{""0"":2,""1"":27,""2"":19,""3"":32,""4"":16,""5"":5,""21"":16}"	exactly_3b_plus_highest_pt_untagged
398	wwz_zbb	background	110	30.8695125579834	152.14254041151568	741.2322387695312	0.05644164424050938	0.0	"{""0"":2,""1"":17,""2"":20,""3"":43,""4"":17,""5"":4,""21"":7}"	exactly_3b_plus_highest_pt_untagged
413	qcd_bbbb_general	background	984	30.013885498046875	60.66700938852822	455.9591064453125	-0.06991736732169652	0.0	"{""0"":1,""1"":40,""2"":73,""3"":53,""4"":25,""5"":622,""21"":170}"	exactly_3b_plus_highest_pt_untagged
428	qcd_bbbb_iht400to600	background	2958	30.053871154785156	99.9969182552882	368.89007568359375	-3.543344985315403e-05	0.0	"{""0"":1,""1"":169,""2"":242,""3"":175,""4"":59,""5"":1875,""21"":437}"	exactly_3b_plus_highest_pt_untagged
443	ttbar_inclusive	background	417	30.80316925048828	113.53441929073928	1118.60302734375	0.03974719236971145	0.0	"{""0"":4,""1"":75,""2"":101,""3"":108,""4"":62,""5"":20,""21"":47}"	exactly_3b_plus_highest_pt_untagged
543	tth_hbb	background	2755	30.25141716003418	132.4127194904805	907.5421752929688	0.029210206469689	0.0	"{""0"":26,""1"":328,""2"":605,""3"":474,""4"":441,""5"":649,""21"":232}"	exactly_3b_plus_highest_pt_untagged
572	ww	background	1	51.86935806274414	51.86935806274414	51.86935806274414	0.44148364663124084	0.0	"{""3"":1}"	exactly_3b_plus_highest_pt_untagged
