member_index	process_or_mode	sample_class	candidate_position	total_threeb_rows	promoted_rows
1	ggf_hh4b	signal	1	193	71
1	ggf_hh4b	signal	2	193	51
1	ggf_hh4b	signal	3	193	32
1	ggf_hh4b	signal	4	193	39
18	ggf_hh4b	signal	1	195	77
18	ggf_hh4b	signal	2	195	39
18	ggf_hh4b	signal	3	195	46
18	ggf_hh4b	signal	4	195	33
99	vbf_hh4b	signal	1	1871	635
99	vbf_hh4b	signal	2	1871	470
99	vbf_hh4b	signal	3	1871	411
99	vbf_hh4b	signal	4	1871	355
108	bbh_hbb_4fs	background	1	1009	179
108	bbh_hbb_4fs	background	2	1009	226
108	bbh_hbb_4fs	background	3	1009	278
108	bbh_hbb_4fs	background	4	1009	326
123	qcd_hardqcd	background	1	1	0
123	qcd_hardqcd	background	2	1	0
123	qcd_hardqcd	background	3	1	1
123	qcd_hardqcd	background	4	1	0
184	qcd_hardqcd	background	1	2	1
184	qcd_hardqcd	background	2	2	0
184	qcd_hardqcd	background	3	2	0
184	qcd_hardqcd	background	4	2	1
365	schannel_single_top	background	1	117	26
365	schannel_single_top	background	2	117	26
365	schannel_single_top	background	3	117	22
365	schannel_single_top	background	4	117	43
398	wwz_zbb	background	1	110	51
398	wwz_zbb	background	2	110	35
398	wwz_zbb	background	3	110	13
398	wwz_zbb	background	4	110	11
413	qcd_bbbb_general	background	1	984	170
413	qcd_bbbb_general	background	2	984	214
413	qcd_bbbb_general	background	3	984	286
413	qcd_bbbb_general	background	4	984	314
428	qcd_bbbb_iht400to600	background	1	2958	576
428	qcd_bbbb_iht400to600	background	2	2958	608
428	qcd_bbbb_iht400to600	background	3	2958	871
428	qcd_bbbb_iht400to600	background	4	2958	903
443	ttbar_inclusive	background	1	417	163
443	ttbar_inclusive	background	2	417	100
443	ttbar_inclusive	background	3	417	94
443	ttbar_inclusive	background	4	417	60
543	tth_hbb	background	1	2755	1110
543	tth_hbb	background	2	2755	722
543	tth_hbb	background	3	2755	573
543	tth_hbb	background	4	2755	350
572	ww	background	1	1	0
572	ww	background	2	1	1
572	ww	background	3	1	0
572	ww	background	4	1	0
