member_index	sample_class	process_or_mode	threeb_unique_events	fourb_unique_events	intersection_size	intersection_events_json	disjointness_status
1	signal	ggf_hh4b	193	58	0	[]	pass
18	signal	ggf_hh4b	195	74	0	[]	pass
99	signal	vbf_hh4b	1871	612	0	[]	pass
108	background	bbh_hbb_4fs	1009	344	0	[]	pass
123	background	qcd_hardqcd	1	0	0	[]	pass
184	background	qcd_hardqcd	2	1	0	[]	pass
365	background	schannel_single_top	117	8	0	[]	pass
398	background	wwz_zbb	110	9	0	[]	pass
413	background	qcd_bbbb_general	984	334	0	[]	pass
428	background	qcd_bbbb_iht400to600	2958	1481	0	[]	pass
443	background	ttbar_inclusive	417	36	0	[]	pass
543	background	tth_hbb	2755	1189	0	[]	pass
572	background	ww	1	0	0	[]	pass
