member_index	process_or_mode	sample_class	candidate_category	unweighted_candidate_rows	counting_scope	physics_yield_interpretation
1	ggf_hh4b	signal	existing_canonical_fourb_registry	58	source_map_registry_diagnostic	none
1	ggf_hh4b	signal	threeb-control	193	reconstructed_train_canary_qa	none
1	ggf_hh4b	signal	fourb-parity	58	reconstructed_train_canary_qa	none
18	ggf_hh4b	signal	existing_canonical_fourb_registry	74	source_map_registry_diagnostic	none
18	ggf_hh4b	signal	threeb-control	195	reconstructed_train_canary_qa	none
18	ggf_hh4b	signal	fourb-parity	74	reconstructed_train_canary_qa	none
99	vbf_hh4b	signal	existing_canonical_fourb_registry	612	source_map_registry_diagnostic	none
99	vbf_hh4b	signal	threeb-control	1871	reconstructed_train_canary_qa	none
99	vbf_hh4b	signal	fourb-parity	612	reconstructed_train_canary_qa	none
108	bbh_hbb_4fs	background	existing_canonical_fourb_registry	344	source_map_registry_diagnostic	none
108	bbh_hbb_4fs	background	threeb-control	1009	reconstructed_train_canary_qa	none
108	bbh_hbb_4fs	background	fourb-parity	344	reconstructed_train_canary_qa	none
123	qcd_hardqcd	background	existing_canonical_fourb_registry	0	source_map_registry_diagnostic	none
123	qcd_hardqcd	background	threeb-control	1	reconstructed_train_canary_qa	none
123	qcd_hardqcd	background	fourb-parity	0	reconstructed_train_canary_qa	none
184	qcd_hardqcd	background	existing_canonical_fourb_registry	1	source_map_registry_diagnostic	none
184	qcd_hardqcd	background	threeb-control	2	reconstructed_train_canary_qa	none
184	qcd_hardqcd	background	fourb-parity	1	reconstructed_train_canary_qa	none
365	schannel_single_top	background	existing_canonical_fourb_registry	8	source_map_registry_diagnostic	none
365	schannel_single_top	background	threeb-control	117	reconstructed_train_canary_qa	none
365	schannel_single_top	background	fourb-parity	8	reconstructed_train_canary_qa	none
398	wwz_zbb	background	existing_canonical_fourb_registry	9	source_map_registry_diagnostic	none
398	wwz_zbb	background	threeb-control	110	reconstructed_train_canary_qa	none
398	wwz_zbb	background	fourb-parity	9	reconstructed_train_canary_qa	none
413	qcd_bbbb_general	background	existing_canonical_fourb_registry	334	source_map_registry_diagnostic	none
413	qcd_bbbb_general	background	threeb-control	984	reconstructed_train_canary_qa	none
413	qcd_bbbb_general	background	fourb-parity	334	reconstructed_train_canary_qa	none
428	qcd_bbbb_iht400to600	background	existing_canonical_fourb_registry	1481	source_map_registry_diagnostic	none
428	qcd_bbbb_iht400to600	background	threeb-control	2958	reconstructed_train_canary_qa	none
428	qcd_bbbb_iht400to600	background	fourb-parity	1481	reconstructed_train_canary_qa	none
443	ttbar_inclusive	background	existing_canonical_fourb_registry	36	source_map_registry_diagnostic	none
443	ttbar_inclusive	background	threeb-control	417	reconstructed_train_canary_qa	none
443	ttbar_inclusive	background	fourb-parity	36	reconstructed_train_canary_qa	none
543	tth_hbb	background	existing_canonical_fourb_registry	1189	source_map_registry_diagnostic	none
543	tth_hbb	background	threeb-control	2755	reconstructed_train_canary_qa	none
543	tth_hbb	background	fourb-parity	1189	reconstructed_train_canary_qa	none
572	ww	background	existing_canonical_fourb_registry	0	source_map_registry_diagnostic	none
572	ww	background	threeb-control	1	reconstructed_train_canary_qa	none
572	ww	background	fourb-parity	0	reconstructed_train_canary_qa	none
