canary_index	member_index	sample_class	process_family	process_or_mode	dataset_split	existing_canonical_4b_rows	selection_reasons	selection_policy	resolution_method	layout_rule	remote_bundle_path	root_container_member	root_archive_member
1	1	signal	ggf_hh4b	ggf_hh4b	train	58	"[""ggf_ext20k_campaign""]"	lowest_member_index_per_rule_then_deduplicate	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16000_1000_pythia8_delphes.root
2	18	signal	ggf_hh4b	ggf_hh4b	train	74	"[""ggf_ext80k_campaign""]"	lowest_member_index_per_rule_then_deduplicate	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851531_shard_16020_1000_pythia8_delphes.root
3	99	signal	vbf_hh4b	vbf_hh4b	train	612	"[""vbf_hh_signal""]"	lowest_member_index_per_rule_then_deduplicate	vbf_registry_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz		root/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_delphes.root
4	108	background	bbh_hbb_4fs	bbh_hbb_4fs	train	344	"[""single_higgs_non_tth""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root
5	123	background	qcd_hardqcd	qcd_hardqcd	train	0	"[""qcd_hardqcd_existing_zero_4b""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.root
6	184	background	qcd_hardqcd	qcd_hardqcd	train	1	"[""qcd_hardqcd_existing_nonzero_4b""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_delphes.root
7	365	background	schannel_single_top	schannel_single_top	train	8	"[""single_top""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz		root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root
8	398	background	wwz_zbb	wwz_zbb	train	9	"[""triboson_zbb""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz		root/wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root
9	413	background	qcd_bbbb_general	qcd_bbbb_general	train	334	"[""qcd_bbbb_general""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root
10	428	background	qcd_bbbb_iht400to600	qcd_bbbb_iht400to600	train	1481	"[""qcd_bbbb_iht400to600""]"	lowest_member_index_per_rule_then_deduplicate	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root
