region	latex_label	signal_rows	background_rows	total_rows	raw_fraction_all_rows	weighted_signal_fraction	weighted_background_fraction	balanced_overall_fraction
cms_signal_region	$R_{HH}^{125,120}<30$	5103	8126	13229	0.24884315864715398	0.5459552768532467	0.19941814395502427	0.3726867104041355
cms_control_region	$30\leq R_{HH}^{125,120}<55$	2599	11284	13883	0.26114517888717503	0.27834770328685743	0.279446562647218	0.2788971329670377
outside_geometry	$R_{HH}^{125,120}\geq55$	1635	24415	26050	0.49001166246567096	0.17569701985989586	0.5211352933977577	0.34841615662882675
