baseline	threshold_GeV	selected_signal_rows	selected_background_rows	weighted_signal_efficiency	weighted_background_efficiency	weighted_background_rejection_fraction	weighted_inverse_background_efficiency	balanced_efficiency_proxy	purity_proxy
cms_reference_rhh30	30.0	5103	8126	0.5459552768532467	0.19941814395502427	0.8005818560449758	5.014588844160213	1.222572810522598	2.7377412407186914
higher_purity_rhh31p5	31.5	5366	8818	0.5737189962283727	0.2151074241371972	0.7848925758628028	4.648840011036496	1.2370052135836018	2.667127824758156
optimized_nominal_rhh34	34.0	5758	9971	0.6156418377159854	0.24969606481203402	0.750303935187966	4.004868882306091	1.2320328194455596	2.4655648385144864
higher_efficiency_rhh35p5	35.5	5977	10667	0.6389752352864998	0.2639689876490516	0.7360310123509484	3.7883238061643296	1.2436769151869527	2.420645095385301
