tag,slice_label,n_generated,xsec_pb,n_ge4_jets,n_ge4_btags,candidate_rows,candidate_eff,effective_candidate_xsec_pb,median_mbb1,median_mbb2,median_avg_mbb,median_delta_mbb,median_mhh,median_ht_pt30_eta25
qcd_bbbb_iht100to200_10000,iht100to200,10000,204.9818878173828,1809,148,148,0.0148,3.0337319396972657,120.5987131250045,100.89406018600766,109.20503339389072,26.35740657243499,279.3769513660891,122.80608
qcd_bbbb_iht200to400_10000,iht200to400,10000,126.32364654541016,5287,662,662,0.0662,8.362625401306152,131.61076277284997,114.33723275818394,125.33402764803705,37.244272130344925,375.11894408557407,234.76245
qcd_bbbb_iht400to600_10000,iht400to600,10000,9.72539234161377,7762,1480,1480,0.148,1.439358066558838,173.42715307709364,129.62888052992815,157.4364372809847,70.1118735403583,585.0307873824629,455.99493
qcd_bbbb_iht600plus_10000,iht600plus,10000,1.7898633480072021,8663,1871,1871,0.1871,0.3348834324121475,232.28483386177388,163.96883191873405,214.68592087135306,112.42290604174971,841.4186675177621,708.4354
