tag,ptb_min_GeV,n_generated,xsec_pb,n_ge4_jets,n_ge4_btags,candidate_rows,candidate_eff,effective_candidate_xsec_pb,median_mbb1,median_mbb2,median_avg_mbb,median_delta_mbb,median_mhh
qcd_bbbb_ptb25_2000,25.0,2000,348.6047058105469,661,69,69,0.0345,12.026862350463867,128.86277446795702,119.01664230359385,123.22997937774389,32.4180511264443,371.6438028349989
qcd_bbbb_ptb40_2000,40.0,2000,41.19928741455078,1456,251,251,0.1255,5.170510570526123,141.59688679190205,118.94145053563511,134.65814678225945,43.53809440200487,439.9689140401919
qcd_bbbb_ptb60_2000,60.0,2000,5.846812725067139,1713,386,386,0.193,1.1284348559379578,159.5178974657416,126.87305386682573,148.99072201041284,52.85708537891712,553.2170834017082
qcd_bbbb_ptb80_2000,80.0,2000,1.3042681217193604,1828,462,462,0.231,0.30128593611717225,182.75939230780972,143.6999648399659,172.20995375176608,80.10014605992191,691.4644371302506
