tag,n_generated,xsec_pb,candidate_rows,event_weight_pb,candidate_xsec_pb,median_mhh,median_r_hh
qcd_bbbb_iht100to200_2000,2000,199.1509246826172,31,0.0995754623413086,3.0868393325805665,242.13485540055746,47.06727788534377
qcd_bbbb_iht200to400_2000,2000,122.99308776855469,114,0.061496543884277347,7.010606002807617,366.9830222642568,48.764522930449544
qcd_bbbb_iht400to600_2000,2000,9.832332611083984,298,0.004916166305541992,1.4650175590515138,590.2950261247458,79.93828490185189
qcd_bbbb_iht600plus_2000,2000,1.7696138620376587,375,0.0008848069310188293,0.331802599132061,857.0913664067775,165.960387019608
SUM_iht_slices,8000,333.7459589242935,818,,11.894265493571758,,
inclusive_qcd_100k,100000,346.80641174316406,3929,0.0034680641174316407,13.626023917388917,358.3176637079278,47.0789734588132
