campaign,shard,tag,run_name,seed,events_per_shard,event_parquet,candidate_parquet,root_kept,hepmc_deleted,lhe_deleted
qcd_bbbb_presel_100k,000,qcd_bbbb_presel_100k_shard000,run_qcd_bbbb_presel_100k_000,103000,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard000_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard000_hh4b_candidates.parquet,yes,yes,yes
qcd_bbbb_presel_100k,001,qcd_bbbb_presel_100k_shard001,run_qcd_bbbb_presel_100k_001,103001,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard001_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard001_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,002,qcd_bbbb_presel_100k_shard002,run_qcd_bbbb_presel_100k_002,103002,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard002_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard002_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,003,qcd_bbbb_presel_100k_shard003,run_qcd_bbbb_presel_100k_003,103003,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard003_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard003_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,004,qcd_bbbb_presel_100k_shard004,run_qcd_bbbb_presel_100k_004,103004,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard004_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard004_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,005,qcd_bbbb_presel_100k_shard005,run_qcd_bbbb_presel_100k_005,103005,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard005_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard005_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,006,qcd_bbbb_presel_100k_shard006,run_qcd_bbbb_presel_100k_006,103006,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard006_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard006_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,007,qcd_bbbb_presel_100k_shard007,run_qcd_bbbb_presel_100k_007,103007,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard007_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard007_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,008,qcd_bbbb_presel_100k_shard008,run_qcd_bbbb_presel_100k_008,103008,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard008_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard008_hh4b_candidates.parquet,no,yes,yes
qcd_bbbb_presel_100k,009,qcd_bbbb_presel_100k_shard009,run_qcd_bbbb_presel_100k_009,103009,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard009_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_presel_100k_shard009_hh4b_candidates.parquet,no,yes,yes
