member_index	original_member_name	field	frozen_value	source_path	source_locator	verification
324	ttbar_100k_shard001	source_member_id	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1/ttbar27_hold_inventory.tsv	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	member_name	ttbar_100k_shard001	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1/unresolved_ttbar_members.tsv	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	seed	105001	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_generate_events.log	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	event_count	10000	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_generate_events.log	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	legacy_rows	46	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1/unresolved_ttbar_members.tsv	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	sealed_test	False	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1/ttbar27_hold_inventory.tsv	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	process_definition	p p > t t~	configs/baselines/hh4b_ttbar27_canonical72_recovery_v1.yaml	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	generator_version	MadGraph5_aMC@NLO_3.5.3	configs/baselines/hh4b_ttbar27_canonical72_recovery_v1.yaml	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	process_card_sha256	9c771a8b9c596f02c9a21953936a2bacb2268f04253d38ef974e6ff6bea8bbf8	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/proc_card_mg5.dat	full_file_or_member_row	checksum_or_exact_value_verified
324	ttbar_100k_shard001	parameter_card_sha256	5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/param_card.dat	full_file_or_member_row	checksum_or_exact_value_verified
